 Taxa de analfabetismo - Brasil
Taxa de analfabetismo por Município
Período:2000
"Município";"Taxa_de_analfabetismo"
"110001 Alta Floresta D'Oeste";14,8
"110037 Alto Alegre dos Parecis";17,4
"110040 Alto Paraíso";17,0
"110034 Alvorada D'Oeste";16,1
"110002 Ariquemes";11,1
"110045 Buritis";13,4
"110003 Cabixi";16,8
"110060 Cacaulândia";11,5
"110004 Cacoal";11,5
"110070 Campo Novo de Rondônia";16,3
"110080 Candeias do Jamari";14,6
"110090 Castanheiras";14,1
"110005 Cerejeiras";12,4
"110092 Chupinguaia";14,6
"110006 Colorado do Oeste";13,2
"110007 Corumbiara";17,7
"110008 Costa Marques";15,6
"110094 Cujubim";18,3
"110009 Espigão D'Oeste";14,7
"110100 Governador Jorge Teixeira";19,3
"110010 Guajará-Mirim";10,6
"110110 Itapuã do Oeste";17,5
"110011 Jaru";14,7
"110012 Ji-Paraná";10,7
"110013 Machadinho D'Oeste";17,2
"110120 Ministro Andreazza";19,7
"110130 Mirante da Serra";18,6
"110140 Monte Negro";15,6
"110014 Nova Brasilândia D'Oeste";14,9
"110033 Nova Mamoré";17,2
"110143 Nova União";17,1
"110050 Novo Horizonte do Oeste";16,9
"110015 Ouro Preto do Oeste";13,6
"110145 Parecis";19,8
"110018 Pimenta Bueno";12,2
"110146 Pimenteiras do Oeste";13,6
"110020 Porto Velho";7,7
"110025 Presidente Médici";16,9
"110147 Primavera de Rondônia";16,1
"110026 Rio Crespo";15,3
"110028 Rolim de Moura";13,8
"110029 Santa Luzia D'Oeste";17,7
"110148 São Felipe D'Oeste";16,7
"110149 São Francisco do Guaporé";15,2
"110032 São Miguel do Guaporé";15,8
"110150 Seringueiras";15,0
"110155 Teixeirópolis";17,4
"110160 Theobroma";17,7
"110170 Urupá";16,1
"110175 Vale do Anari";19,5
"110180 Vale do Paraíso";15,0
"110030 Vilhena";8,8
"120001 Acrelândia";28,7
"120005 Assis Brasil";27,9
"120010 Brasiléia";24,0
"120013 Bujari";37,6
"120017 Capixaba";39,1
"120020 Cruzeiro do Sul";26,4
"120025 Epitaciolândia";23,4
"120030 Feijó";56,5
"120032 Jordão";62,3
"120033 Mâncio Lima";29,5
"120034 Manoel Urbano";44,2
"120035 Marechal Thaumaturgo";51,8
"120038 Plácido de Castro";24,5
"120080 Porto Acre";28,9
"120039 Porto Walter";52,6
"120040 Rio Branco";12,8
"120042 Rodrigues Alves";50,7
"120043 Santa Rosa do Purus";62,6
"120050 Sena Madureira";32,1
"120045 Senador Guiomard";24,8
"120060 Tarauacá";42,6
"120070 Xapuri";28,1
"130002 Alvarães";25,7
"130006 Amaturá";25,0
"130008 Anamã";24,6
"130010 Anori";25,6
"130014 Apuí";18,0
"130020 Atalaia do Norte";50,6
"130030 Autazes";18,9
"130040 Barcelos";41,2
"130050 Barreirinha";14,8
"130060 Benjamin Constant";28,4
"130063 Beruri";40,1
"130068 Boa Vista do Ramos";10,7
"130070 Boca do Acre";35,3
"130080 Borba";22,8
"130083 Caapiranga";24,8
"130090 Canutama";40,2
"130100 Carauari";42,2
"130110 Careiro";25,6
"130115 Careiro da Várzea";21,6
"130120 Coari";28,6
"130130 Codajás";26,8
"130140 Eirunepé";45,3
"130150 Envira";53,4
"130160 Fonte Boa";40,6
"130165 Guajará";48,2
