Percentual da população coberta pela Estratégia Saúde da Família (ESF) - Municípios da UF: Alagoas;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Água Branca;54,0;53,7;71,3;70,9;70,5;35,1;52,4;90,6;89,3;86,8;86,3;71,2;88,8;69,8;84,0;83,7;84,4;84,5;100,0;100,0
Anadia;90,6;90,9;75,6;94,6;100,6;100,8;103,6;100,0;99,9;100,0;100,0;79,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Arapiraca;46,8;47,7;52,1;51,2;57,2;51,3;49,0;61,4;59,7;59,6;70,5;80,6;83,0;83,8;80,3;87,3;89,6;96,4;98,7;100,0
Atalaia;41,4;81,0;95,5;95,0;94,5;94,5;95,7;100,0;100,0;99,7;97,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Barra de Santo Antônio;86,6;86,4;94,9;95,7;96,2;93,9;101,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Barra de São Miguel;100,1;100,0;95,5;95,5;95,6;93,8;98,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Batalha;0,0;89,1;87,5;86,0;84,5;92,5;94,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Belém;56,8;58,3;102,8;105,6;108,5;111,3;114,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Belo Monte;48,9;80,1;95,6;94,9;94,3;94,0;92,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Boca da Mata;83,2;87,2;96,7;96,7;96,7;96,0;97,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Branquinha;89,0;89,6;102,0;104,9;108,2;108,9;121,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Cacimbinhas;79,0;75,4;93,4;91,0;88,5;87,8;81,5;100,0;100,0;100,0;100,0;67,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Cajueiro;85,3;82,3;95,8;95,0;94,4;93,6;93,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;97,7
Campestre;96,4;92,0;0,0;86,2;0,0;80,9;67,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Campo Alegre;24,7;24,0;46,6;45,4;51,6;50,4;49,3;54,7;45,7;37,0;43,8;40,7;37,5;65,9;93,8;92,7;97,8;96,8;100,0;100,0
Campo Grande;75,9;116,7;98,5;97,4;96,1;95,9;92,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Canapi;0,0;58,1;77,5;77,4;77,4;95,0;92,6;84,3;96,9;94,2;93,8;100,0;100,0;100,0;96,5;96,0;96,0;95,9;95,9;97,3
Capela;107,9;108,9;98,9;100,0;100,9;101,7;102,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Carneiros;0,0;88,1;93,0;91,7;90,4;88,2;86,7;95,2;85,8;83,2;81,5;83,2;81,9;80,7;100,0;100,0;100,0;100,0;100,0;100,0
Chã Preta;0,0;91,4;104,7;104,2;103,5;109,5;46,7;100,0;100,0;100,0;97,6;48,3;96,6;96,6;100,0;100,0;100,0;100,0;100,0;100,0
Coité do Nóia;0,0;84,9;85,7;104,1;106,8;107,8;114,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Colônia Leopoldina;96,1;94,3;92,7;91,2;89,8;88,4;87,2;95,6;89,1;86,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Coqueiro Seco;99,1;98,9;96,0;96,0;95,7;62,5;96,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Coruripe;75,6;81,3;79,7;91,5;89,8;88,2;86,6;100,0;94,7;85,3;97,0;92,7;98,2;100,0;99,2;92,2;91,4;96,7;100,0;100,0
Craíbas;80,8;79,9;94,8;93,8;92,8;91,9;91,1;75,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Delmiro Gouveia;39,1;46,3;45,6;44,9;44,3;36,5;43,3;46,7;51,8;50,3;57,0;57,4;56,9;56,5;54,1;53,7;53,1;52,8;52,5;53,3
Dois Riachos;60,7;60,8;60,9;60,9;0,0;30,5;61,1;58,2;95,1;92,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Estrela de Alagoas;83,0;82,3;97,1;96,7;96,4;95,7;96,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Feira Grande;79,6;79,4;79,3;79,1;78,9;78,8;78,6;75,3;97,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Feliz Deserto;101,1;101,7;95,7;94,9;94,4;93,1;94,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Flexeiras;105,3;105,7;96,7;95,9;95,5;95,1;96,9;100,0;100,0;100,0;100,0;84,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Girau do Ponciano;33,7;43,7;63,8;31,2;40,7;39,8;91,2;100,0;100,0;95,2;100,0;56,6;100,0;100,0;100,0;86,0;100,0;100,0;91,9;100,0
Ibateguara;67,5;83,8;97,7;97,0;96,4;96,2;98,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Igaci;65,7;65,7;97,3;97,2;97,1;97,1;96,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Igreja Nova;47,0;85,8;92,0;91,0;90,1;94,6;96,0;91,5;100,0;100,0;100,0;100,0;82,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Inhapi;56,7;75,5;56,5;56,4;56,3;93,7;93,6;86,4;97,8;95,1;95,0;96,4;88,6;96,7;93,2;93,1;92,6;92,6;92,5;93,9
Jacaré dos Homens;0,0;93,4;95,1;97,7;100,5;105,0;110,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Jacuípe;91,9;92,3;92,7;93,0;93,4;0,0;99,1;100,0;100,0;100,0;100,0;98,6;99,0;99,3;100,0;96,1;96,3;100,0;100,0;100,0
Japaratinga;84,7;80,8;94,0;92,3;90,7;89,5;87,4;100,0;92,5;44,9;100,0;89,0;88,2;87,5;83,8;100,0;100,0;100,0;100,0;100,0
Jaramataia;58,1;94,4;101,1;103,5;106,2;106,6;114,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Jequiá da Praia;**;96,9;98,0;99,0;99,8;100,5;101,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Joaquim Gomes;16,2;81,1;95,1;94,0;92,9;92,0;87,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Jundiá;73,0;85,4;95,8;95,5;93,3;94,1;85,0;94,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Junqueiro;94,7;95,5;97,5;98,0;98,6;98,6;100,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Lagoa da Canoa;67,3;67,9;85,6;86,4;87,2;105,5;106,4;90,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Limoeiro de Anadia;27,9;41,2;27,1;40,0;39,5;39,0;64,3;99,2;100,0;100,0;91,4;89,5;100,0;89,2;97,7;97,0;100,0;100,0;100,0;100,0
