Percentual da população coberta pela Estratégia Saúde da Família (ESF) - Municípios da UF: Amapá;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Serra do Navio;0,0;0,0;0,0;0,0;88,8;86,4;105,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Amapá;0,0;0,0;0,0;0,0;0,0;0,0;0,0;92,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Pedra Branca do Amapari;0,0;0,0;0,0;0,0;67,8;70,1;81,6;100,0;100,0;100,0;100,0;64,1;91,7;87,8;80,7;77,2;74,0;71,1;68,4;65,0
Calçoene;0,0;0,0;0,0;0,0;0,0;42,2;82,1;87,6;79,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;94,7
Cutias;0,0;0,0;0,0;0,0;0,0;83,1;99,8;100,0;100,0;100,0;100,0;73,5;100,0;100,0;100,0;100,0;100,0;0,0;100,0;58,8
Ferreira Gomes;0,0;0,0;0,0;0,0;0,0;80,5;84,6;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Itaubal;0,0;0,0;0,0;0,0;0,0;90,6;89,3;84,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Laranjal do Jari;0,0;0,0;10,7;10,3;10,0;87,1;93,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Macapá;1,2;17,9;17,2;22,9;23,1;25,3;29,2;32,8;44,1;54,8;57,4;47,7;54,2;52,3;62,3;64,1;61,3;33,4;56,0;41,9
Mazagão;0,0;0,0;0,0;0,0;88,5;89,8;101,6;100,0;100,0;100,0;100,0;100,0;100,0;96,9;100,0;100,0;100,0;100,0;100,0;100,0
Oiapoque;0,0;0,0;0,0;0,0;62,2;59,4;56,9;100,0;89,9;85,3;82,3;84,1;81,8;63,7;75,0;29,2;71,1;69,3;81,1;77,7
Porto Grande;0,0;0,0;0,0;0,0;24,8;88,4;91,5;67,5;98,8;100,0;100,0;100,0;100,0;97,6;92,2;89,9;87,7;85,6;83,7;80,3
Pracuúba;0,0;0,0;0,0;0,0;0,0;0,0;89,8;100,0;100,0;97,7;94,3;91,0;88,3;85,8;80,7;78,3;76,1;74,1;100,0;100,0
Santana;12,3;40,0;39,1;38,2;37,3;32,9;100,2;100,0;100,0;100,0;100,0;92,0;50,3;39,7;95,0;93,6;89,2;90,9;89,6;86,5
Tartarugalzinho;0,0;0,0;0,0;37,6;70,9;67,1;63,7;77,4;55,7;52,4;75,2;82,4;79,7;77,3;72,4;70,2;90,7;66,1;85,7;81,9
Vitória do Jari;0,0;0,0;0,0;0,0;0,0;89,5;122,0;90,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Amapá;2,8;17,3;17,3;21,0;27,5;38,3;53,9;57,4;65,7;72,0;73,9;66,0;64,2;60,6;74,9;74,1;73,3;55,6;70,4;60,9
Norte;15,0;16,5;26,6;29,1;31,6;35,0;40,7;40,7;50,0;50,5;52,2;52,7;53,6;53,9;59,4;62,1;62,3;61,6;64,9;63,9
Brasil;14,8;20,9;29,4;33,1;37,1;40,3;44,7;41,7;50,4;50,8;52,4;53,8;55,1;56,3;59,7;61,6;62,8;62,5;64,7;63,8
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
