Percentual da população coberta pela Estratégia Saúde da Família (ESF) - Municípios da UF: Bahia;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Abaíra;0,0;0,0;0,0;0,0;77,8;78,0;78,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Abaré;0,0;0,0;0,0;0,0;22,3;90,0;91,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Acajutiba;0,0;0,0;0,0;0,0;0,0;45,8;68,3;67,3;70,8;91,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;87,5;100,0;100,0
Adustina;0,0;0,0;0,0;0,0;0,0;21,9;0,0;70,2;93,1;67,4;67,0;22,0;21,8;21,7;81,5;81,0;20,1;80,0;79,5;82,2
Água Fria;0,0;89,7;88,8;94,6;94,1;94,7;98,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Érico Cardoso;0,0;0,0;0,0;0,0;55,8;56,1;84,4;82,8;97,6;95,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Aiquara;0,0;0,0;0,0;0,0;0,0;0,0;69,3;79,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;72,0;100,0;100,0;100,0;100,0
Alagoinhas;5,1;45,6;45,0;44,5;46,4;29,0;57,4;46,9;46,8;40,2;52,6;41,3;48,3;55,3;56,5;56,2;55,8;53,3;75,2;70,9
Alcobaça;0,0;76,5;98,5;100,0;101,7;101,4;108,0;28,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Almadina;0,0;0,0;88,4;90,2;92,1;93,9;90,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Amargosa;42,9;42,3;41,7;51,4;50,8;50,2;59,5;72,4;82,3;79,0;78,2;90,4;89,7;89,1;83,7;82,7;82,1;81,6;90,2;93,2
Amélia Rodrigues;0,0;0,0;41,5;55,3;55,4;69,3;69,4;13,7;93,7;85,6;84,5;82,2;96,1;96,3;91,2;91,3;91,3;78,3;100,0;95,7
América Dourada;0,0;0,0;0,0;0,0;0,0;62,1;95,5;100,0;100,0;82,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Anagé;0,0;0,0;0,0;0,0;68,7;81,8;71,5;100,0;80,5;93,5;95,6;94,6;96,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Andaraí;0,0;0,0;94,3;94,4;94,0;94,2;94,1;100,0;98,0;94,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Andorinha;0,0;0,0;0,0;0,0;0,0;22,0;66,4;70,2;73,2;96,1;48,6;47,9;48,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Angical;0,0;0,0;0,0;0,0;0,0;0,0;23,1;25,2;46,9;45,5;45,4;49,0;49,2;49,3;93,5;70,2;93,7;100,0;100,0;100,0
Anguera;0,0;0,0;0,0;69,9;68,9;67,9;67,0;0,0;72,5;71,1;70,2;67,4;100,0;99,3;100,0;100,0;100,0;100,0;100,0;100,0
Antas;0,0;0,0;0,0;0,0;0,0;0,0;61,7;58,4;83,9;59,9;78,5;80,8;99,7;59,1;92,0;90,9;89,9;89,0;88,1;90,3
Antônio Cardoso;0,0;0,0;0,0;28,6;57,1;57,0;85,4;29,2;85,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Antônio Gonçalves;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;32,4;31,1;61,4;62,6;62,0;61,4;57,6;85,7;100,0;100,0;100,0;100,0
Aporá;0,0;0,0;78,2;95,4;95,2;94,5;95,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Apuarema;0,0;0,0;0,0;0,0;43,0;43,2;86,7;100,0;93,5;90,8;90,7;92,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;93,8
Aracatu;0,0;0,0;0,0;0,0;91,4;92,1;92,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Araças;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;29,6;28,5;84,8;89,5;89,2;88,9;83,8;83,5;100,0;100,0;100,0;100,0
Araci;0,0;0,0;0,0;0,0;47,1;46,5;59,2;63,1;66,5;51,0;56,8;66,8;70,3;79,1;68,2;65,3;58,8;49,6;67,8;63,8
Aramari;0,0;0,0;0,0;0,0;98,4;97,2;101,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Arataca;0,0;0,0;0,0;0,0;0,0;0,0;89,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Aratuípe;0,0;0,0;96,4;78,4;96,7;96,3;97,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Aurelino Leal;0,0;0,0;40,7;41,6;42,5;43,5;88,8;56,9;95,4;94,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Baianópolis;0,0;0,0;0,0;0,0;0,0;0,0;78,7;100,0;100,0;98,4;97,2;99,6;99,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Baixa Grande;0,0;0,0;0,0;0,0;0,0;0,0;65,5;88,2;82,2;79,5;63,3;100,0;100,0;100,0;97,8;97,7;97,7;96,8;96,7;100,0
Banzaê;0,0;0,0;0,0;0,0;84,6;90,1;88,9;31,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Barra;0,0;0,0;0,0;0,0;0,0;7,0;6,9;7,3;36,1;41,6;41,2;42,0;41,6;48,2;58,2;70,6;76,4;82,2;75,4;84,3
Barra da Estiva;0,0;0,0;0,0;0,0;0,0;58,9;89,2;69,6;99,8;99,0;100,0;97,7;98,7;99,7;92,4;91,7;92,4;93,1;100,0;100,0
Barra do Choça;24,5;58,1;59,0;102,6;104,1;105,7;107,2;78,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Barra do Mendes;0,0;0,0;0,0;0,0;23,2;0,0;0,0;0,0;49,1;71,6;95,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Barra do Rocha;0,0;0,0;0,0;0,0;0,0;0,0;94,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Barreiras;0,0;0,0;5,6;5,5;8,0;15,6;25,5;25,0;29,3;28,0;30,0;45,2;44,6;46,5;43,4;49,9;49,3;48,8;54,7;60,6
