Percentual da população coberta pela Estratégia Saúde da Família (ESF) - Municípios da UF: Ceará;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Abaiara;80,4;78,2;76,1;74,2;72,5;70,9;87,6;100,0;100,0;95,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Acarape;77,1;75,7;95,2;95,3;95,7;94,3;98,9;92,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Acaraú;48,2;40,5;39,8;39,1;32,0;69,4;68,4;100,0;92,7;82,7;50,4;54,0;83,0;99,7;100,0;100,0;100,0;100,0;100,0;100,0
Acopiara;21,5;42,5;63,3;69,7;69,2;61,8;81,8;83,3;85,0;88,8;81,5;100,0;100,0;80,0;100,0;100,0;100,0;100,0;100,0;100,0
Aiuaba;46,7;46,1;90,9;44,9;88,8;65,9;65,3;89,8;88,5;63,7;84,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alcântaras;0,0;34,8;0,0;0,0;0,0;33,1;96,3;100,0;100,0;96,7;100,0;100,0;95,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Altaneira;59,3;102,0;95,1;94,5;54,5;53,5;95,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alto Santo;0,0;21,8;21,6;0,0;0,0;85,1;84,7;82,6;72,0;67,8;99,4;100,0;84,0;83,6;100,0;100,0;100,0;81,5;100,0;100,0
Amontada;20,9;40,7;19,9;19,5;19,1;65,6;73,7;45,8;73,6;69,9;60,1;26,4;45,1;70,2;92,1;82,8;98,3;64,9;96,5;96,0
Antonina do Norte;94,6;51,4;98,6;100,0;100,7;100,1;49,7;91,3;100,0;98,4;97,7;100,0;98,3;100,0;100,0;100,0;100,0;95,1;100,0;94,2
Apuiarés;53,8;79,7;98,3;99,2;100,4;99,5;100,9;93,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Aquiraz;44,6;43,6;64,0;78,5;87,2;94,7;99,2;68,1;100,0;98,0;87,0;95,0;93,8;78,8;99,6;100,0;100,0;100,0;100,0;100,0
Aracati;44,1;43,5;80,4;79,4;78,4;67,1;46,0;55,3;62,7;55,1;74,3;69,8;64,3;73,5;72,1;76,4;94,9;94,3;84,3;97,8
Aracoiaba;84,1;97,6;97,1;96,6;96,1;95,7;95,2;95,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Ararendá;0,0;0,0;33,4;66,5;33,1;33,0;99,9;98,4;100,0;100,0;100,0;100,0;100,0;65,3;100,0;100,0;100,0;100,0;100,0;100,0
Araripe;86,0;85,5;97,9;98,5;99,1;98,6;101,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Aratuba;105,9;109,3;101,3;111,7;114,1;115,0;112,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Arneiroz;89,1;87,9;89,4;89,3;89,2;0,0;89,1;90,2;94,5;92,0;92,2;100,0;100,0;90,0;100,0;100,0;100,0;100,0;100,0;100,0
Assaré;47,7;31,6;62,9;46,9;77,8;61,9;92,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Aurora;40,1;40,3;67,4;40,6;67,9;68,2;82,1;100,0;84,6;100,0;68,7;98,3;100,0;100,0;100,0;100,0;100,0;100,0;98,6;100,0
Baixio;0,0;114,3;58,3;58,0;57,8;97,0;57,3;100,0;100,0;100,0;100,0;57,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Banabuiú;83,4;41,4;61,7;20,4;60,9;0,0;80,2;59,1;59,3;37,9;93,8;99,6;99,1;98,6;97,0;96,7;96,3;96,0;100,0;100,0
Barbalha;86,0;84,4;96,1;94,9;93,3;94,5;90,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Barreira;99,0;97,4;95,9;95,8;95,7;94,4;97,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Barro;50,6;50,2;66,4;65,9;81,8;95,2;64,6;100,0;83,4;80,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Barroquinha;72,7;48,3;72,2;71,9;71,7;71,5;71,2;23,5;100,0;89,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Baturité;56,4;66,8;66,3;65,5;64,8;64,1;84,6;87,0;98,0;94,2;93,3;82,8;92,4;91,7;100,0;99,3;98,7;78,5;100,0;97,0
Beberibe;55,8;70,4;76,8;75,6;81,9;80,7;43,4;66,9;74,7;78,7;84,9;91,0;62,3;89,1;80,5;86,4;92,3;85,1;90,9;96,9
Bela Cruz;59,5;23,6;81,7;92,6;91,8;56,9;67,8;45,8;70,0;89,9;89,3;89,4;88,8;77,3;97,6;97,2;96,7;96,3;95,9;95,3
Boa Viagem;20,1;26,7;26,6;46,4;39,6;46,0;26,2;26,5;64,4;31,0;36,8;19,7;19,7;52,2;45,0;77,1;64,1;83,1;76,6;57,0
Brejo Santo;52,6;68,7;75,9;82,9;94,4;93,0;95,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Camocim;18,2;18,1;23,9;35,6;52,9;58,4;34,8;58,8;70,8;79,5;78,8;80,3;85,5;85,0;83,6;88,7;93,9;82,5;87,6;92,5
Campos Sales;26,4;39,4;52,4;78,4;65,1;52,0;51,8;63,3;100,0;91,6;91,4;78,1;51,9;90,6;100,0;100,0;100,0;100,0;100,0;100,0
Canindé;58,1;43,3;66,9;75,9;70,7;46,9;51,3;36,6;74,7;76,3;75,6;74,1;78,4;78,0;81,2;80,9;80,7;75,9;71,2;79,6
Capistrano;60,5;80,3;82,7;82,2;81,8;81,4;96,0;84,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Caridade;86,4;83,7;60,9;79,0;76,9;90,6;95,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;76,9
Cariré;37,3;0,0;0,0;0,0;0,0;18,6;37,2;17,9;18,6;54,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Caririaçu;78,2;65,1;91,0;100,3;101,8;101,7;107,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Cariús;89,7;54,9;91,5;91,5;73,2;73,2;91,6;90,4;74,0;71,6;100,0;100,0;100,0;92,8;100,0;100,0;100,0;100,0;100,0;100,0
Carnaubal;44,3;65,7;97,0;96,9;97,0;96,1;98,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Cascavel;59,0;75,4;85,6;89,8;94,0;87,3;70,0;80,5;70,2;87,5;91,4;93,9;92,9;81,8;100,0;99,3;100,0;100,0;100,0;100,0
Catarina;43,4;21,2;20,7;0,0;19,9;94,5;99,3;100,0;100,0;100,0;100,0;100,0;100,0;89,7;100,0;69,4;100,0;100,0;100,0;100,0
Catunda;36,3;0,0;35,8;71,1;70,6;70,2;96,6;100,0;98,5;93,8;92,4;100,0;100,0;68,6;100,0;67,3;67,0;100,0;100,0;100,0
Caucaia;6,6;33,3;57,3;59,3;69,6;65,7;68,7;58,3;74,0;68,6;60,9;70,0;72,0;71,9;65,0;63,2;54,6;64,5;68,6;71,1
Cedro;56,4;56,3;84,3;84,2;84,0;98,9;97,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Chaval;55,5;55,3;82,6;82,4;100,4;100,2;103,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Choró;28,1;55,8;97,5;97,8;82,0;54,3;101,2;53,5;100,0;77,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Chorozinho;72,1;72,1;90,1;90,1;90,1;90,0;72,0;65,5;94,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Coreaú;16,9;0,0;16,5;0,0;64,9;80,4;79,7;47,5;100,0;78,3;93,2;100,0;62,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Crateús;47,6;47,5;42,6;23,6;33,0;42,4;47,0;41,9;66,7;73,7;73,4;71,1;66,2;56,6;69,8;93,0;79,0;92,8;97,3;87,4
Crato;38,7;41,2;49,8;61,3;66,4;71,4;67,5;77,9;83,8;71,5;79,8;90,9;92,8;91,8;100,0;100,0;100,0;100,0;100,0;100,0
Croatá;85,8;42,5;84,3;98,8;98,7;61,7;61,3;100,0;79,7;95,5;100,0;100,0;100,0;99,9;100,0;100,0;100,0;58,1;100,0;100,0
Cruz;51,1;96,9;98,1;98,0;96,7;95,6;78,7;86,6;100,0;89,2;87,9;76,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
