Percentual da população coberta pela Estratégia Saúde da Família (ESF) - Municípios da UF: Espírito Santo;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Afonso Cláudio;0,0;0,0;20,8;52,1;62,7;62,8;62,9;10,2;33,6;21,9;33,0;55,5;77,9;66,9;95,4;100,0;100,0;0,0;95,9;100,0
Águia Branca;0,0;0,0;0,0;0,0;0,0;0,0;0,0;36,6;37,2;72,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Água Doce do Norte;78,7;79,2;79,6;26,7;26,9;81,1;100,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alegre;63,3;63,4;97,7;98,1;98,6;99,3;100,6;21,1;100,0;100,0;100,0;100,0;78,7;56,3;100,0;100,0;100,0;100,0;100,0;100,0
Alfredo Chaves;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;24,7;23,8;71,0;74,2;74,0;73,9;69,7;92,5;100,0;91,8;100,0;100,0
Alto Rio Novo;96,1;96,7;94,5;93,4;92,1;91,8;93,1;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Anchieta;94,3;93,9;94,2;93,8;93,4;91,1;94,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Apiacá;85,8;85,3;97,8;98,4;99,1;99,6;104,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;87,1;100,0;100,0;100,0
Aracruz;36,2;40,2;73,3;47,6;60,2;58,7;66,0;98,4;94,1;93,6;78,9;84,3;62,2;77,6;100,0;70,2;58,1;57,1;63,1;38,2
Atilio Vivacqua;80,3;84,7;95,3;95,1;95,0;93,2;97,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Baixo Guandu;0,0;0,0;11,9;23,6;23,4;81,5;80,9;48,7;96,4;100,0;100,0;100,0;100,0;100,0;100,0;88,2;100,0;100,0;86,8;78,3
