Percentual da população coberta pela Estratégia Saúde da Família (ESF) - Municípios da UF: Goiás;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Abadia de Goiás;68,4;65,6;95,5;95,2;95,4;92,2;100,0;52,8;100,0;100,0;100,0;100,0;98,3;96,3;91,2;89,2;87,4;85,7;100,0;100,0
Abadiânia;59,4;57,0;54,8;52,8;50,9;49,3;88,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;91,9;87,9
Acreúna;85,9;85,8;90,6;89,5;88,4;87,4;86,4;80,5;93,0;90,0;89,6;85,1;100,0;100,0;96,9;96,1;95,3;63,0;93,8;77,8
Adelândia;0,0;0,0;99,8;99,0;99,3;99,1;100,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Água Fria de Goiás;0,0;0,0;0,0;72,6;71,5;96,2;106,2;100,0;68,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Água Limpa;0,0;0,0;101,6;103,5;105,6;106,4;111,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Águas Lindas de Goiás;16,1;15,2;28,9;27,5;26,3;25,2;24,2;20,4;31,4;29,6;28,9;26,0;0,0;26,8;31,0;34,0;33,2;32,4;31,7;30,0
Alexânia;0,0;0,0;0,0;0,0;0,0;30,7;30,2;30,4;34,4;66,8;83,3;72,4;71,6;70,7;67,7;80,2;79,2;78,2;100,0;100,0
Aloândia;95,0;95,6;99,9;100,7;101,6;101,9;104,2;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alto Horizonte;0,0;103,9;86,1;81,6;77,8;73,5;73,1;100,0;100,0;100,0;100,0;76,6;100,0;100,0;67,1;100,0;100,0;100,0;59,6;100,0
Alto Paraíso de Goiás;95,2;96,6;99,6;101,2;102,9;101,6;114,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alvorada do Norte;0,0;89,2;97,0;96,5;96,0;95,2;101,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Amaralina;83,9;80,6;96,2;95,1;94,1;103,6;102,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Americano do Brasil;0,0;0,0;67,1;66,2;93,9;92,8;92,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Amorinópolis;0,0;83,1;84,2;85,3;86,5;87,6;88,7;87,7;97,8;97,2;99,0;95,6;96,7;97,8;96,6;97,8;98,9;100,0;100,0;100,0
Anápolis;0,0;0,0;12,7;13,6;31,1;40,3;37,5;0,0;46,6;31,2;49,3;50,5;47,9;45,3;50,2;49,6;49,9;39,1;49,7;64,1
Anhanguera;0,0;92,1;94,5;94,5;93,4;92,0;91,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Anicuns;0,0;89,8;97,1;96,4;95,8;94,9;95,0;72,0;77,9;76,2;95,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Aparecida de Goiânia;10,2;9,8;20,8;20,0;19,3;18,7;21,4;23,6;20,3;23,7;23,0;30,3;23,7;19,6;36,5;40,5;41,6;42,8;43,3;48,2
Aparecida do Rio Doce;0,0;106,5;100,6;102,4;104,2;104,0;110,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
