Percentual da população coberta pela Estratégia Saúde da Família (ESF) - Municípios da UF: Maranhão;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Açailândia;0,0;0,0;0,0;0,0;0,0;17,6;52,1;32,4;39,1;44,8;51,2;49,7;52,4;55,1;54,4;53,9;56,6;74,9;71,3;80,3
Afonso Cunha;0,0;0,0;0,0;0,0;0,0;87,4;86,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Água Doce do Maranhão;0,0;0,0;0,0;0,0;0,0;0,0;99,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alcântara;0,0;0,0;0,0;15,8;78,8;99,7;104,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Aldeias Altas;0,0;0,0;0,0;33,2;32,4;31,7;31,0;0,0;95,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Altamira do Maranhão;0,0;0,0;0,0;0,0;50,5;89,9;93,0;100,0;100,0;100,0;100,0;93,6;61,5;90,9;100,0;100,0;89,1;100,0;100,0;100,0
Alto Alegre do Maranhão;0,0;0,0;0,0;0,0;15,6;61,0;59,9;28,6;78,4;91,3;90,3;84,1;69,1;81,7;80,4;92,7;100,0;100,0;100,0;100,0
Alto Alegre do Pindaré;0,0;55,7;55,7;55,6;100,0;99,9;99,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;66,2;99,2;100,0;100,0
Alto Parnaíba;0,0;0,0;0,0;32,7;32,6;32,4;64,7;68,6;67,0;100,0;100,0;100,0;31,9;95,3;94,9;100,0;100,0;100,0;100,0;100,0
Amapá do Maranhão;0,0;0,0;0,0;0,0;0,0;98,2;109,9;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Amarante do Maranhão;0,0;0,0;0,0;0,0;0,0;0,0;96,4;0,0;96,6;84,3;92,3;91,0;89,7;88,6;87,2;100,0;100,0;100,0;100,0;100,0
Anajatuba;0,0;71,8;70,4;76,1;74,7;93,0;95,6;100,0;100,0;100,0;100,0;100,0;53,8;66,5;100,0;100,0;100,0;100,0;100,0;100,0
Anapurus;0,0;31,6;0,0;88,4;85,8;83,3;81,6;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Apicum-Açu;0,0;74,1;56,8;55,1;53,4;51,9;100,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;98,7;58,4;96,1;100,0;75,1;100,0
Araguanã;0,0;30,6;29,7;28,9;56,3;54,9;53,6;0,0;100,0;100,0;100,0;98,8;97,0;100,0;100,0;100,0;91,9;100,0;100,0;100,0
Araioses;0,0;0,0;0,0;0,0;0,0;61,3;88,9;88,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Arame;0,0;0,0;0,0;0,0;0,0;0,0;55,0;51,4;50,7;37,0;49,7;43,5;43,3;76,1;75,8;86,4;86,2;75,3;100,0;95,1
Arari;0,0;12,7;12,6;12,5;62,3;74,3;101,8;100,0;100,0;100,0;100,0;100,0;86,7;98,2;100,0;100,0;100,0;100,0;100,0;100,0
Axixá;0,0;97,3;96,0;96,0;95,4;94,8;96,1;100,0;96,8;93,6;90,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bacabal;7,3;43,5;43,2;42,9;67,6;77,7;77,3;53,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bacabeira;90,7;87,7;88,7;88,9;86,7;83,8;83,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bacuri;0,0;0,0;0,0;0,0;0,0;100,3;103,0;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bacurituba;0,0;0,0;0,0;69,6;68,8;68,1;113,8;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Balsas;0,0;37,7;36,4;35,2;34,0;32,9;54,8;70,1;65,6;80,4;90,8;86,7;80,9;67,4;89,0;91,3;78,6;75,8;96,6;100,0
Barão de Grajaú;0,0;43,2;42,6;42,0;95,6;94,3;96,5;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Barra do Corda;8,6;8,5;16,9;37,8;46,6;46,1;45,7;48,3;39,4;29,8;29,7;29,2;28,9;32,8;73,0;80,6;68,1;71,7;79,2;47,2
Barreirinhas;0,0;0,0;7,9;7,7;37,0;71,7;104,0;82,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Belágua;0,0;62,6;61,3;92,1;90,5;97,0;93,5;0,0;100,0;100,0;100,0;100,0;100,0;98,8;97,1;96,0;94,9;93,9;93,0;93,1
Bela Vista do Maranhão;0,0;0,0;0,0;0,0;0,0;101,5;109,5;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Benedito Leite;0,0;0,0;0,0;98,7;99,3;99,2;101,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bequimão;0,0;0,0;68,2;68,1;94,5;94,4;91,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bernardo do Mearim;0,0;0,0;62,6;61,9;61,1;97,6;102,5;57,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Boa Vista do Gurupi;0,0;0,0;0,0;0,0;53,9;51,6;89,4;100,0;93,4;90,3;87,4;86,8;42,2;82,4;80,0;100,0;100,0;100,0;100,0;100,0
Bom Jardim;0,0;0,0;0,0;94,3;93,3;92,3;91,3;90,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bom Jesus das Selvas;0,0;0,0;0,0;0,0;0,0;44,9;96,0;0,0;100,0;97,9;94,8;84,9;94,0;91,2;88,1;96,6;83,9;82,1;100,0;92,7
Bom Lugar;0,0;0,0;27,7;27,0;26,3;51,4;50,2;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Brejo;12,2;12,0;11,8;46,2;45,3;44,5;65,7;57,4;66,7;64,7;100,0;100,0;100,0;100,0;99,3;98,2;97,3;96,4;95,6;95,5
Brejo de Areia;0,0;0,0;0,0;0,0;85,3;90,3;115,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;66,1;100,0;100,0
Buriti;0,0;0,0;54,7;40,6;40,2;53,1;52,6;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Buriti Bravo;0,0;0,0;31,1;77,3;77,0;46,0;45,8;0,0;46,5;60,2;59,8;75,3;75,0;74,6;74,2;74,0;73,8;73,6;88,1;72,4
Buriticupu;0,0;0,0;0,0;0,0;23,8;23,3;56,9;67,6;73,0;59,8;53,3;47,6;41,6;61,4;90,5;89,3;88,2;96,9;91,1;77,0
Buritirana;0,0;0,0;0,0;0,0;0,0;55,1;126,7;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Cachoeira Grande;0,0;0,0;44,5;87,8;86,7;85,7;84,7;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Cajapió;0,0;0,0;0,0;68,2;67,7;98,7;103,1;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Cajari;0,0;0,0;0,0;24,4;24,2;87,5;81,9;0,0;100,0;100,0;100,0;94,1;100,0;100,0;100,0;100,0;91,1;90,6;90,3;89,3
Campestre do Maranhão;0,0;0,0;0,0;0,0;0,0;96,7;101,3;52,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
