Percentual da população coberta pela Estratégia Saúde da Família (ESF) - Municípios da UF: Minas Gerais;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Abadia dos Dourados;0,0;0,0;0,0;0,0;51,5;51,2;51,0;53,8;100,0;100,0;100,0;100,0;100,0;100,0;99,0;98,7;98,4;98,1;97,7;99,0
Abaeté;45,6;0,0;75,5;75,3;75,1;74,9;74,7;58,5;76,8;74,4;74,2;76,0;75,9;75,9;88,3;88,1;88,0;87,8;87,7;89,1
Abre Campo;50,9;50,8;50,8;50,7;76,0;76,0;75,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Acaiaca;0,0;0,0;86,9;86,8;86,6;86,4;86,3;83,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Açucena;29,6;29,9;90,6;91,6;101,8;62,3;102,8;61,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Água Boa;0,0;0,0;0,0;80,0;81,2;82,4;83,6;0,0;84,0;82,3;82,9;90,8;92,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Água Comprida;106,8;109,2;105,4;101,9;103,5;103,7;108,3;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Aguanil;90,8;89,5;92,2;90,7;89,4;88,1;86,9;0,0;85,1;81,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Águas Formosas;57,1;75,7;75,3;74,9;74,6;74,2;92,4;93,6;93,2;89,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Águas Vermelhas;0,0;0,0;0,0;0,0;55,2;98,1;101,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Aimorés;0,0;0,0;13,5;13,5;27,0;27,0;27,0;14,3;56,9;97,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Aiuruoca;0,0;0,0;98,8;99,2;99,3;99,7;99,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alagoa;0,0;0,0;99,1;99,5;99,9;100,1;100,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Albertina;0,0;0,0;0,0;0,0;100,5;100,2;103,7;0,0;100,0;100,0;0,0;0,0;0,0;0,0;100,0;100,0;100,0;100,0;100,0;0,0
Além Paraíba;30,3;40,3;40,1;40,0;39,8;39,7;39,6;38,8;41,2;40,0;39,9;50,2;60,2;60,1;67,9;67,8;58,0;57,8;67,3;68,4
Alfenas;20,3;0,0;4,9;39,1;43,5;43,0;52,0;49,0;53,0;55,6;59,6;60,8;60,4;60,0;62,2;66,2;57,0;61,0;82,2;82,5
Alfredo Vasconcelos;0,0;65,0;63,6;62,3;61,1;59,9;58,9;65,0;58,5;55,7;54,8;56,8;56,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Almenara;38,4;37,9;37,5;37,0;36,6;36,3;35,9;56,5;74,8;72,1;71,6;80,1;79,5;79,0;84,7;92,5;91,9;66,4;99,1;99,4
Alpercata;0,0;0,0;48,3;0,0;0,0;47,7;47,5;48,4;49,2;47,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alpinópolis;59,8;59,1;78,0;77,2;76,5;75,7;75,1;55,4;77,4;93,3;92,6;93,3;92,7;92,2;89,0;88,4;87,9;87,4;86,9;100,0
Alterosa;0,0;0,0;77,3;76,7;98,6;97,9;100,3;0,0;100,0;100,0;99,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alto Caparaó;72,7;71,5;70,3;69,3;68,3;67,3;102,3;63,6;100,0;100,0;100,0;100,0;100,0;0,0;100,0;100,0;100,0;100,0;100,0;100,0
Alto Rio Doce;73,5;74,5;75,4;76,4;77,3;78,3;79,2;75,9;81,8;80,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alvarenga;0,0;0,0;0,0;0,0;0,0;70,4;97,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alvinópolis;0,0;0,0;0,0;65,6;65,6;65,7;65,8;43,7;90,5;88,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alvorada de Minas;95,7;0,0;95,9;95,8;94,6;94,4;91,1;100,0;99,1;96,2;96,2;97,3;97,3;97,2;94,3;94,2;94,1;94,0;100,0;100,0
Amparo do Serra;0,0;0,0;98,2;97,8;97,1;97,8;93,9;70,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Andradas;0,0;0,0;0,0;0,0;0,0;0,0;9,4;9,5;19,7;19,0;18,8;18,5;27,5;27,3;26,3;34,7;34,4;34,2;33,9;33,9
Cachoeira de Pajeú;0,0;0,0;0,0;78,0;77,5;94,3;92,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Andrelândia;55,2;55,2;55,2;55,2;82,8;82,8;82,8;85,0;86,0;83,6;83,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;84,5
Angelândia;0,0;0,0;0,0;0,0;0,0;43,5;86,3;73,0;84,9;81,4;100,0;86,2;100,0;85,4;100,0;100,0;100,0;100,0;100,0;100,0
Antônio Carlos;31,2;31,1;31,0;61,8;61,6;61,3;61,1;59,2;92,6;89,5;89,0;93,1;93,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Antônio Dias;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,3;100,0;100,0;100,0;100,0;100,0;72,7;100,0;100,0;100,0;100,0;100,0;100,0
Antônio Prado de Minas;0,0;0,0;0,0;0,0;0,0;93,5;85,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
