Percentual da população coberta pela Estratégia Saúde da Família (ESF) - Municípios da UF: Mato Grosso do Sul;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Água Clara;0,0;0,0;57,7;56,1;54,5;53,1;51,8;96,3;100,0;100,0;99,4;95,7;94,0;92,4;99,0;97,1;95,3;70,2;92,0;90,5
Alcinópolis;0,0;0,0;85,6;78,5;71,0;69,5;50,0;100,0;80,3;77,7;76,4;75,5;74,4;73,3;70,7;69,5;68,5;67,5;66,5;65,5
Amambai;22,9;33,7;55,3;54,4;64,2;63,2;62,2;64,5;61,9;70,0;69,0;69,5;68,7;77,7;75,2;83,6;82,6;81,6;80,7;79,7
Anastácio;0,0;0,0;29,7;29,5;44,1;43,8;43,6;56,7;77,1;75,0;74,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Anaurilândia;0,0;42,1;83,8;83,3;82,8;82,3;81,8;81,6;82,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Angélica;45,8;44,7;43,7;42,7;41,7;81,7;80,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Antônio João;82,6;81,3;89,2;88,3;87,5;86,6;98,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;77,6
Aparecida do Taboado;0,0;17,9;35,2;34,5;33,8;33,2;65,2;66,4;87,0;84,4;100,0;92,7;91,5;90,3;87,2;86,0;84,8;83,7;82,6;81,4
Aquidauana;0,0;7,7;7,7;30,7;30,5;45,6;45,4;44,5;53,8;67,1;66,8;90,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Aral Moreira;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;72,4;71,3;67,3;66,2;97,8;100,0;100,0;100,0;100,0;100,0;100,0
Bandeirantes;0,0;0,0;97,6;52,2;98,1;97,9;98,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bataguassu;41,6;40,7;39,9;39,0;38,3;37,5;55,2;52,5;100,0;100,0;100,0;100,0;100,0;100,0;97,9;96,4;95,1;100,0;100,0;100,0
Batayporã;63,5;63,3;63,2;63,1;62,9;62,8;94,0;82,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bela Vista;0,0;77,0;76,6;76,1;75,7;75,3;74,9;72,8;75,4;73,2;87,2;100,0;88,9;88,5;86,7;86,2;85,8;85,5;85,1;84,5
Bodoquena;0,0;0,0;0,0;81,9;82,4;82,9;83,3;80,7;84,5;82,1;82,2;86,4;86,7;87,0;86,5;86,9;87,4;100,0;100,0;100,0
Bonito;19,9;19,6;19,3;38,1;37,5;37,0;36,5;38,3;59,9;58,2;77,3;70,5;69,7;69,1;83,8;82,8;82,0;81,1;80,3;79,4
Brasilândia;28,2;28,3;56,6;85,1;85,3;85,4;85,6;78,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Caarapó;16,3;15,9;31,1;45,6;44,6;43,6;57,0;71,2;60,7;58,9;58,2;53,6;52,8;52,0;50,1;61,6;60,7;59,8;58,9;58,0
Camapuã;0,0;0,0;82,1;82,2;74,1;74,3;74,4;72,3;78,5;76,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Campo Grande;3,6;7,0;10,8;11,1;19,9;21,4;22,0;23,4;30,0;28,6;30,6;28,1;30,1;35,6;36,1;36,1;36,8;36,0;46,6;44,8
Caracol;0,0;0,0;96,2;95,8;95,6;94,1;96,7;67,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Cassilândia;50,4;83,6;98,0;98,6;99,2;98,8;101,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;95,5;100,0;94,6
Chapadão do Sul;28,9;54,1;50,8;47,9;45,3;43,0;41,0;42,9;42,6;41,1;39,9;35,1;68,1;66,2;64,9;78,6;91,5;88,9;86,5;84,3
Corguinho;84,5;78,1;87,7;84,9;82,3;79,9;77,6;97,8;82,8;80,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;59,1
Coronel Sapucaia;0,0;0,0;25,8;25,6;50,8;50,3;49,9;75,6;74,0;71,8;71,0;73,6;73,1;72,6;70,9;70,4;69,9;69,4;68,9;68,3
Corumbá;3,5;3,5;31,2;44,8;58,1;57,7;57,3;58,0;60,9;62,6;59,0;59,9;59,5;62,0;64,3;86,2;82,6;82,1;78,5;77,8
Costa Rica;21,8;84,8;93,7;92,1;91,3;89,1;89,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Coxim;21,9;21,8;43,4;43,3;53,9;75,2;74,9;82,6;86,7;84,2;83,8;85,8;85,6;85,3;94,2;94,0;93,7;93,4;93,2;92,6
Deodápolis;0,0;0,0;0,0;0,0;29,0;28,8;28,6;35,9;30,6;59,6;89,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Dois Irmãos do Buriti;0,0;71,5;70,8;70,1;69,4;68,7;97,8;100,0;100,0;100,0;100,0;99,9;99,1;98,4;63,9;95,1;94,4;93,7;100,0;100,0
Douradina;0,0;0,0;0,0;68,6;67,8;67,0;66,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Dourados;18,4;30,1;29,6;29,1;41,9;41,2;42,4;62,9;66,4;68,0;72,7;73,9;73,0;68,5;68,2;67,3;68,1;80,1;68,0;60,9
Eldorado;0,0;0,0;60,4;60,1;89,7;89,2;88,8;93,4;100,0;100,0;83,3;88,5;88,1;87,8;86,0;85,7;85,3;85,0;84,7;84,1
Fátima do Sul;0,0;0,0;70,8;70,8;70,9;71,0;71,1;81,8;73,4;71,4;71,4;72,5;72,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Figueirão;**;**;**;**;**;**;99,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Glória de Dourados;0,0;0,0;0,0;0,0;0,0;93,1;87,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Guia Lopes da Laguna;0,0;0,0;61,6;62,1;62,6;63,1;63,6;55,0;67,6;65,8;99,5;99,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Iguatemi;0,0;24,6;97,4;96,6;95,8;95,0;94,2;89,2;94,3;91,5;68,0;92,8;92,2;91,6;89,4;88,8;88,3;87,7;87,1;86,4
Inocência;0,0;0,0;86,3;86,6;86,9;87,2;87,5;78,1;94,0;91,5;92,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Itaporã;19,8;38,7;75,8;74,2;72,7;71,3;69,9;77,2;74,2;71,9;71,2;66,1;81,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Itaquiraí;0,0;0,0;82,6;96,2;96,1;97,6;96,8;77,7;100,0;98,9;98,0;92,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;99,0
Ivinhema;0,0;31,1;46,5;61,9;61,7;61,6;61,4;68,9;67,1;81,6;81,9;77,2;77,0;76,8;90,7;90,5;90,3;90,1;89,9;100,0
Japorã;0,0;0,0;52,2;51,0;49,8;0,0;0,0;47,0;46,9;45,3;44,5;89,3;87,9;86,6;100,0;100,0;100,0;100,0;100,0;100,0
Jaraguari;0,0;0,0;0,0;59,5;58,5;94,6;98,7;100,0;61,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Jardim;0,0;0,0;14,7;29,3;29,1;28,9;43,0;41,5;59,1;71,7;71,4;70,9;70,5;84,1;82,2;81,7;100,0;100,0;100,0;93,0
Jateí;0,0;0,0;0,0;83,7;91,5;91,7;85,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Juti;0,0;0,0;65,3;64,2;89,5;88,1;92,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Ladário;0,0;0,0;0,0;20,3;19,8;38,7;56,7;58,2;57,8;56,0;55,0;70,3;61,4;82,6;81,7;100,0;100,0;77,6;91,6;100,0
Laguna Carapã;0,0;107,8;96,3;96,2;96,1;94,6;97,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Maracaju;0,0;0,0;11,8;11,4;11,0;10,6;10,3;36,2;33,5;43,2;53,1;64,6;63,1;70,6;75,5;90,1;88,1;78,3;84,3;82,6
Miranda;0,0;0,0;14,4;14,2;28,1;27,8;13,8;13,7;14,4;14,0;13,9;13,5;26,8;26,6;38,8;38,5;38,2;50,5;62,7;62,1
