Percentual da população coberta pela Estratégia Saúde da Família (ESF) - Municípios da UF: Mato Grosso;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Acorizal;0,0;58,4;58,8;59,2;59,7;60,1;121,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Água Boa;60,5;65,9;63,5;81,6;59,1;57,2;55,4;46,4;54,5;52,3;51,0;66,2;80,9;79,2;76,5;100,0;100,0;100,0;100,0;95,7
Alta Floresta;7,2;14,4;43,2;43,1;43,0;64,3;64,1;73,0;77,2;87,7;87,2;91,2;90,9;90,6;100,0;100,0;100,0;100,0;100,0;100,0
Alto Araguaia;59,1;85,6;82,7;89,3;87,0;84,4;85,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alto Boa Vista;0,0;0,0;92,8;88,2;83,9;80,0;76,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alto Garças;40,5;39,6;38,7;37,9;74,2;88,0;86,3;100,0;100,0;73,1;100,0;100,0;98,5;97,1;94,9;93,5;92,2;90,9;89,8;87,2
Alto Paraguai;0,0;0,0;76,2;75,1;74,0;72,9;71,9;100,0;84,7;82,5;82,8;68,5;67,8;67,1;65,9;65,1;64,5;31,9;63,2;61,4
Alto Taquari;74,6;69,8;65,0;60,8;57,2;54,0;51,1;62,1;56,9;54,6;53,0;42,7;82,7;80,1;76,1;73,6;71,3;100,0;100,0;98,0
Apiacás;50,6;49,3;48,0;46,8;45,7;44,6;43,6;100,0;87,1;83,9;82,3;80,5;79,2;77,9;75,9;74,6;73,4;72,2;100,0;100,0
Araguaiana;0,0;99,3;99,7;100,6;101,6;102,5;103,8;99,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Araguainha;0,0;0,0;101,0;103,4;0,0;107,6;108,4;100,0;100,0;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Araputanga;24,7;24,4;24,2;47,8;47,3;46,9;46,4;47,6;45,0;43,5;42,9;45,0;44,6;44,2;43,7;43,3;43,0;42,8;42,5;62,0
Arenápolis;29,1;29,5;89,6;90,8;92,0;93,3;94,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Aripuanã;0,0;0,0;45,0;0,0;0,0;41,5;60,6;71,2;72,3;69,2;50,5;74,0;72,6;71,3;52,0;68,0;66,8;65,7;64,6;62,8
Barão de Melgaço;0,0;0,0;44,2;44,3;44,5;44,6;44,7;0,0;90,6;88,0;87,9;90,9;91,0;91,1;0,0;91,5;91,7;87,5;100,0;80,6
Barra do Bugres;12,3;12,1;11,9;11,8;23,3;57,5;34,0;63,2;63,7;61,4;60,3;65,1;64,4;63,8;62,7;62,0;61,4;62,1;61,5;59,8
Barra do Garças;25,9;25,7;63,9;69,8;81,9;81,4;68,4;78,9;84,2;81,7;93,9;91,5;90,9;90,4;83,6;89,1;88,6;88,2;93,6;91,0
Bom Jesus do Araguaia;**;0,0;83,7;80,6;77,7;75,1;72,7;73,4;76,3;73,5;72,0;64,9;63,5;62,1;59,9;58,6;100,0;100,0;100,0;53,5
Brasnorte;0,0;0,0;61,8;58,9;56,3;80,8;77,5;83,0;74,1;70,8;91,5;89,9;87,4;85,2;81,7;99,4;96,8;94,5;92,3;89,6
Cáceres;31,4;28,8;32,7;32,5;32,3;24,1;27,9;26,7;41,0;39,7;35,6;35,3;39,0;3,9;38,5;34,5;41,9;41,8;45,4;44,1
Campinápolis;0,0;0,0;59,2;58,4;57,6;57,0;56,3;53,6;50,5;73,2;72,4;72,4;71,6;70,9;69,8;69,1;68,5;67,9;67,3;65,4
Campo Novo do Parecis;19,1;36,2;68,8;65,6;78,3;75,0;72,0;64,9;77,3;59,4;72,5;62,6;60,9;59,3;45,5;55,3;53,9;63,2;72,0;89,8
Campo Verde;19,6;54,2;67,2;62,7;58,9;83,2;78,8;81,1;93,2;88,9;85,8;76,5;84,4;81,8;77,6;75,0;81,7;88,9;86,4;88,5
Campos de Júlio;0,0;0,0;91,4;89,8;88,9;84,0;79,8;0,0;72,3;68,9;66,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Canabrava do Norte;0,0;0,0;104,2;108,3;113,1;69,7;140,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Canarana;21,9;42,9;84,2;82,6;81,0;79,6;78,2;71,4;60,2;77,6;76,6;73,6;72,6;71,7;70,1;69,2;68,3;84,3;83,3;97,1
Carlinda;53,1;26,9;54,4;0,0;55,8;84,7;79,2;100,0;85,5;86,0;85,6;62,8;95,0;95,9;97,4;98,6;99,9;100,0;34,0;99,4
Castanheira;0,0;86,3;94,7;85,6;85,3;92,3;91,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Chapada dos Guimarães;42,8;84,7;83,7;82,8;81,9;60,8;80,2;100,0;100,0;96,0;100,0;100,0;100,0;100,0;100,0;93,0;100,0;100,0;100,0;100,0
Cláudia;65,8;68,1;67,3;66,6;66,0;97,9;109,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Cocalinho;0,0;62,9;62,8;62,8;62,8;62,7;62,7;0,0;59,1;57,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Colíder;0,0;0,0;11,8;23,5;23,3;23,1;23,0;12,9;22,5;21,7;32,2;56,1;55,7;55,3;54,7;76,2;75,7;75,2;85,5;83,1
Colniza;**;0,0;0,0;22,3;40,3;36,8;33,9;73,2;61,9;58,2;54,6;65,4;62,5;59,9;55,9;53,5;51,4;49,4;47,7;46,3
Comodoro;89,7;44,0;43,2;42,4;41,6;40,9;60,3;53,0;57,7;92,6;90,9;94,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Confresa;0,0;18,2;17,5;16,9;49,0;94,8;107,1;84,5;100,0;93,3;91,6;68,7;53,7;78,9;89,0;87,0;97,4;83,5;93,7;90,9
Conquista D'Oeste;**;0,0;94,4;93,4;92,6;90,2;93,1;0,0;100,0;100,0;100,0;100,0;100,0;98,4;100,0;100,0;100,0;100,0;100,0;100,0
Cotriguaçu;0,0;68,3;93,5;93,2;89,7;85,2;81,3;77,3;100,0;95,8;92,2;92,1;89,3;65,0;82,7;80,2;77,9;75,8;92,3;71,7
Cuiabá;10,5;10,3;11,6;12,8;17,3;17,1;18,9;5,1;20,3;36,7;39,5;38,8;37,8;38,7;36,8;37,7;38,9;39,5;42,1;40,9
Curvelândia;**;0,0;73,7;73,3;72,9;0,0;72,1;69,5;71,4;69,1;68,5;70,9;70,5;70,2;69,5;69,2;100,0;100,0;100,0;100,0
Denise;0,0;44,6;44,1;87,1;86,1;85,1;84,1;72,7;66,7;63,8;61,9;81,0;80,2;79,5;78,3;100,0;100,0;100,0;100,0;100,0
Diamantino;18,1;54,0;71,5;70,9;88,0;87,4;86,7;84,2;93,6;91,0;90,8;84,8;84,2;83,7;100,0;100,0;100,0;100,0;100,0;100,0
Dom Aquino;40,1;40,3;40,5;81,3;81,7;101,6;101,9;84,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;85,9;100,0;100,0;100,0
Feliz Natal;49,8;47,0;88,8;84,3;80,3;76,6;73,3;100,0;100,0;96,1;92,7;94,7;92,0;89,5;85,6;83,2;81,0;78,8;51,3;49,8
