Percentual da população coberta pela Estratégia Saúde da Família (ESF) - Municípios da UF: Pará;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Abaetetuba;11,2;5,5;5,4;5,4;10,5;15,6;20,5;23,3;63,4;27,5;39,5;39,1;38,7;38,2;35,1;37,1;36,7;38,6;40,5;44,1
Abel Figueiredo;0,0;0,0;97,7;98,9;100,3;99,2;105,1;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Acará;0,0;0,0;0,0;0,0;0,0;0,0;6,4;10,9;14,4;21,2;42,7;38,6;38,6;44,9;38,3;44,7;51,1;51,0;51,0;49,7
Afuá;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,6;9,8;9,7;9,6;18,9;18,6;18,5;18,3;27,1;26,6
Água Azul do Norte;0,0;0,0;0,0;0,0;0,0;28,7;28,4;31,0;60,2;56,8;55,3;68,8;68,2;67,6;66,6;66,1;65,6;65,1;64,7;63,3
Alenquer;7,0;7,0;6,9;0,0;0,0;0,0;13,4;8,7;13,1;12,4;12,1;13,1;13,0;12,9;12,8;12,7;12,6;12,6;50,0;48,9
Almeirim;9,9;9,9;29,8;29,9;30,0;0,0;30,2;30,1;33,5;32,9;33,2;30,8;30,8;30,8;61,7;61,9;72,4;72,6;72,8;60,6
Altamira;30,2;29,5;28,7;32,1;47,0;45,9;44,9;44,3;44,9;42,8;41,9;41,8;41,1;47,2;62,4;71,1;70,0;72,2;68,1;67,1
Anajás;0,0;0,0;0,0;0,0;0,0;0,0;15,3;16,2;13,8;26,0;37,8;41,8;41,0;13,4;39,0;38,3;37,6;36,9;36,4;35,9
Ananindeua;5,1;10,9;16,4;16,1;15,9;18,0;31,5;33,2;54,1;55,0;56,0;65,8;69,3;65,6;68,4;78,0;74,4;77,0;70,9;72,2
Anapu;0,0;0,0;0,0;0,0;0,0;22,4;41,9;0,0;58,2;17,8;67,6;67,2;64,5;77,6;73,1;70,3;67,9;65,7;76,4;76,2
Augusto Corrêa;50,7;49,6;48,7;47,7;65,6;64,4;72,2;78,9;83,7;89,0;96,5;93,7;92,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Aurora do Pará;0,0;0,0;0,0;0,0;15,0;43,8;42,6;41,1;48,7;46,8;46,4;52,0;51,0;62,6;60,7;59,5;58,5;57,5;56,6;55,8
Aveiro;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,4;17,0;21,8;21,7;21,7;21,6;0,0;86,5;86,5;100,0;100,0
Bagre;0,0;0,0;0,0;0,0;0,0;0,0;17,0;0,0;0,0;34,9;33,8;43,4;28,0;27,2;38,8;37,6;36,6;59,3;69,4;69,0
Baião;15,8;14,8;13,8;0,0;0,0;0,0;11,0;31,5;39,5;62,4;61,0;46,8;45,3;43,9;50,2;64,9;63,1;69,1;74,8;74,3
Bannach;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;90,5;87,7;87,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Barcarena;10,6;10,0;9,5;0,0;0,0;8,3;47,6;54,4;49,0;46,0;48,5;44,9;50,4;49,1;50,2;61,1;77,5;81,5;82,6;84,6
Belém;5,7;14,3;16,0;16,1;17,1;18,0;19,4;22,5;23,8;23,7;19,4;18,1;17,5;22,0;22,0;24,6;24,0;22,7;23,8;22,3
Belterra;22,9;22,7;22,5;22,3;22,1;21,9;21,7;58,6;81,5;80,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Benevides;18,8;63,1;60,6;74,9;72,2;69,6;67,3;67,8;87,7;98,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bom Jesus do Tocantins;0,0;0,0;0,0;0,0;0,0;47,6;70,5;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bonito;0,0;0,0;0,0;0,0;29,7;28,8;27,9;96,2;91,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bragança;14,3;17,5;17,2;16,9;16,6;19,6;19,3;23,3;27,1;29,3;41,9;45,7;51,1;53,5;61,0;68,9;79,5;84,2;100,0;100,0
Brasil Novo;0,0;0,0;0,0;0,0;0,0;0,0;41,7;32,3;55,2;53,0;87,3;100,0;100,0;96,0;100,0;100,0;100,0;100,0;100,0;100,0
Brejo Grande do Araguaia;44,8;45,0;45,2;45,4;45,6;45,8;46,0;0,0;46,3;89,9;44,9;47,2;94,4;94,6;94,7;95,1;95,4;95,8;96,1;100,0
Breu Branco;10,3;9,7;9,2;8,7;8,3;7,9;7,6;0,0;22,0;34,2;26,4;26,3;25,5;43,5;41,6;40,5;39,4;38,5;32,2;37,3
Breves;12,5;16,5;20,3;20,0;19,8;0,0;15,4;20,0;18,3;17,4;23,9;26,0;25,7;25,5;42,9;42,5;49,2;52,2;51,8;57,6
Bujaru;0,0;0,0;15,3;15,0;29,5;28,9;28,4;0,0;30,6;29,5;29,2;67,1;66,2;65,3;51,1;63,1;62,3;61,6;48,7;59,8
Cachoeira do Piriá;0,0;0,0;0,0;0,0;33,9;32,1;30,6;16,6;58,6;56,0;55,1;39,1;63,1;73,5;81,8;79,4;88,2;75,1;83,8;83,2
Cachoeira do Arari;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,9;16,6;16,3;31,7;31,2;15,4;15,1;14,9;29,4
Cametá;27,4;10,1;26,3;25,7;25,2;21,6;24,3;35,5;34,4;32,9;32,4;31,4;30,9;30,5;29,8;29,4;29,0;36,4;41,2;40,5
Canaã dos Carajás;0,0;0,0;0,0;42,8;38,9;35,7;65,3;100,0;87,1;79,2;74,8;100,0;100,0;100,0;100,0;95,9;92,3;99,0;100,0;100,0
Capanema;11,7;23,2;34,5;45,6;45,2;50,4;66,6;67,3;84,4;81,1;80,3;92,2;96,8;96,1;100,0;100,0;100,0;98,2;100,0;100,0
