Percentual da população coberta pela Estratégia Saúde da Família (ESF) - Municípios da UF: Paraíba;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Água Branca;0,0;107,4;96,8;95,8;94,7;93,5;92,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Aguiar;60,7;101,3;95,8;93,6;90,9;91,0;82,0;100,0;100,0;100,0;100,0;62,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alagoa Grande;23,5;100,8;94,2;99,0;98,9;99,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alagoa Nova;0,0;0,0;72,7;72,3;97,9;97,2;99,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alagoinha;28,9;28,6;56,7;84,3;97,4;91,5;97,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alcantil;69,0;86,8;99,7;100,3;101,0;100,3;104,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Algodão de Jandaíra;83,2;81,8;99,2;99,1;99,4;110,8;113,1;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alhandra;21,5;96,4;98,5;98,6;98,8;97,5;102,3;96,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
São João do Rio do Peixe;75,1;87,2;96,0;96,2;96,3;96,3;96,7;96,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Amparo;83,2;81,9;98,7;98,7;98,9;97,8;100,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Aparecida;83,5;81,9;97,7;86,3;96,7;95,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Araçagi;0,0;38,0;76,3;76,6;100,5;100,9;103,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Arara;59,4;58,9;99,1;99,8;99,9;98,9;83,7;81,2;100,0;100,0;100,0;81,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Araruna;82,4;81,3;97,3;96,5;95,8;94,5;98,1;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Areia;78,6;79,2;79,9;80,6;81,3;82,0;82,7;84,0;82,8;80,5;94,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Areia de Baraúnas;94,1;96,0;101,0;104,8;107,2;108,1;114,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Areial;56,7;101,5;97,5;96,8;96,0;95,3;95,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Aroeiras;35,1;35,1;70,4;88,1;88,3;88,4;99,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Assunção;0,0;77,5;97,4;96,8;96,4;94,7;97,5;100,0;100,0;100,0;99,4;98,0;96,8;95,6;92,4;100,0;100,0;89,0;100,0;100,0
Baía da Traição;0,0;51,5;96,2;95,8;95,2;93,1;95,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bananeiras;0,0;0,0;45,8;45,9;92,1;92,3;96,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Baraúna;0,0;73,3;95,4;94,1;93,2;90,4;89,6;93,7;89,3;87,0;85,3;81,8;80,2;100,0;100,0;100,0;100,0;100,0;100,0;71,4
Barra de Santana;82,4;99,3;99,7;99,9;100,2;100,3;101,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Barra de Santa Rosa;52,2;94,4;95,5;94,4;97,7;102,5;96,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Barra de São Miguel;0,0;106,9;97,7;97,0;96,3;95,4;95,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bayeux;7,3;65,0;64,5;64,1;93,0;92,4;95,1;0,0;100,0;100,0;100,0;96,9;96,5;96,1;94,0;100,0;100,0;100,0;100,0;100,0
Belém;82,4;103,8;102,3;99,3;99,6;99,2;100,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Belém do Brejo do Cruz;97,6;97,4;96,4;95,1;93,3;93,1;87,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bernardino Batista;0,0;96,0;96,8;96,0;95,4;93,5;95,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Boa Ventura;0,0;0,0;53,2;53,9;107,3;108,7;112,2;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Boa Vista;0,0;89,7;96,3;95,2;94,4;92,2;94,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;98,8;97,4;100,0
Bom Jesus;0,0;80,6;99,1;100,5;101,4;100,5;105,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bom Sucesso;0,0;101,3;97,6;96,5;95,1;95,5;89,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bonito de Santa Fé;74,2;80,1;96,0;94,6;93,2;91,6;90,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
