Percentual da população coberta pela Estratégia Saúde da Família (ESF) - Municípios da UF: Pernambuco;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Abreu e Lima;64,2;63,8;93,3;92,8;92,3;91,8;91,3;88,1;93,5;90,2;89,6;91,3;90,9;94,2;95,3;87,8;94,5;97,6;93,7;86,6
Afogados da Ingazeira;30,7;50,8;50,4;50,1;49,8;49,5;49,2;48,8;60,8;78,2;77,7;78,7;78,3;87,7;100,0;100,0;100,0;100,0;100,0;100,0
Afrânio;44,8;0,0;21,6;0,0;0,0;20,6;60,9;84,8;83,8;80,1;79,1;98,1;77,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Agrestina;33,6;89,8;96,1;95,7;95,5;94,3;93,3;80,1;96,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Água Preta;82,5;81,2;79,9;78,7;77,5;65,4;100,2;90,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Águas Belas;0,0;0,0;18,0;0,0;0,0;0,0;60,7;0,0;18,2;17,5;34,8;68,6;85,2;84,6;82,1;97,9;97,3;96,7;100,0;100,0
Alagoinha;0,0;0,0;52,6;52,1;97,2;96,3;99,7;100,0;98,5;93,9;100,0;75,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Aliança;0,0;63,3;63,3;63,3;63,3;63,3;81,3;0,0;99,3;97,3;97,9;92,2;92,2;92,1;90,2;90,2;90,2;90,2;100,0;100,0
Altinho;0,0;60,8;60,7;75,9;75,8;75,8;95,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Amaraji;94,7;94,5;94,2;94,0;93,7;93,5;93,2;92,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;91,2;100,0;100,0
Angelim;74,1;36,6;72,3;94,7;94,0;92,9;93,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Araçoiaba;82,9;82,8;85,5;83,8;82,2;80,8;100,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;88,1;100,0;100,0;100,0;100,0
Araripina;71,2;65,8;69,9;50,8;50,4;36,3;36,0;35,2;40,9;39,3;51,8;66,9;75,4;74,9;68,5;71,3;70,8;74,6;82,4;16,4
Arcoverde;21,8;21,6;21,3;21,1;41,7;56,7;56,1;57,6;90,4;86,9;86,3;85,3;84,6;83,9;100,0;100,0;100,0;94,3;100,0;98,1
Barra de Guabiraba;30,8;30,2;59,4;87,7;86,3;85,0;83,8;100,0;99,3;100,0;50,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Barreiros;68,8;68,5;68,2;68,0;67,7;67,5;67,2;0,0;66,1;63,4;62,9;76,2;76,0;75,8;74,0;81,9;89,9;89,7;89,4;89,2
Belém de Maria;31,7;94,3;93,7;92,6;90,6;90,9;86,8;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;86,7;100,0;100,0
Belém do São Francisco;0,0;0,0;0,0;0,0;66,6;66,7;66,7;0,0;67,2;64,9;64,7;85,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Belo Jardim;9,8;34,1;38,8;38,6;38,4;38,2;33,2;37,0;38,9;37,5;51,3;52,4;52,2;52,0;50,7;64,2;68,6;63,8;72,6;72,5
Betânia;89,3;0,0;88,2;87,7;87,2;86,7;86,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bezerros;52,8;52,7;70,1;70,0;69,8;69,7;69,6;67,6;85,3;82,8;82,8;82,3;82,2;76,2;80,2;100,0;100,0;100,0;100,0;100,0
Bodocó;74,2;73,4;72,6;96,4;96,4;95,4;97,4;100,0;100,0;99,4;98,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;91,2;100,0
Bom Conselho;15,9;39,4;47,0;46,6;46,3;46,0;45,7;48,4;63,6;61,3;61,0;45,5;60,3;60,0;80,3;87,1;93,9;93,5;100,0;100,0
Bom Jardim;72,7;72,6;72,4;72,3;81,2;81,0;80,9;0,0;97,3;93,5;92,7;91,2;100,0;100,0;97,8;97,6;97,5;97,4;97,2;97,0
Bonito;17,8;62,4;62,5;71,5;80,5;71,6;80,6;78,0;79,4;76,5;76,0;82,7;82,7;82,7;90,1;90,5;90,6;90,6;90,7;90,4
Brejão;86,1;85,2;98,0;98,4;98,7;98,8;102,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Brejinho;92,2;91,1;92,5;92,5;97,0;97,0;96,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Brejo da Madre de Deus;70,6;52,0;68,0;66,8;73,8;72,6;71,4;71,9;77,1;82,3;81,7;38,2;52,8;29,8;71,9;71,1;70,3;83,4;75,7;68,7
