Percentual da população coberta pela Estratégia Saúde da Família (ESF) - Municípios da UF: Piauí;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Acauã;0,0;61,3;60,6;60,0;59,3;58,9;96,3;100,0;100,0;100,0;93,8;100,0;100,0;100,0;100,0;99,8;100,0;100,0;100,0;100,0
Agricolândia;102,9;103,7;99,7;100,0;100,3;100,8;101,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Água Branca;70,5;92,9;97,5;97,3;97,4;96,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alagoinha do Piauí;49,6;96,1;95,1;92,9;90,6;90,0;84,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alegrete do Piauí;67,9;85,3;92,6;92,9;93,1;92,9;94,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alto Longá;85,1;101,8;96,0;94,8;93,6;99,2;99,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Altos;78,3;84,2;83,5;98,4;98,7;99,9;103,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alvorada do Gurguéia;80,9;78,9;0,0;75,4;90,5;95,1;105,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Amarante;40,4;101,9;98,6;98,9;98,9;102,2;103,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Angical do Piauí;100,4;100,7;100,5;101,6;102,8;103,1;106,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Anísio de Abreu;0,0;46,0;89,2;86,7;84,0;87,9;89,3;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Antônio Almeida;85,0;82,4;95,5;93,6;91,5;99,4;91,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Aroazes;56,6;102,7;100,1;101,2;102,0;102,5;104,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Aroeiras do Itaim;**;**;**;**;**;**;105,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Arraial;69,4;92,6;99,3;99,4;99,4;99,9;98,5;73,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Assunção do Piauí;49,2;91,4;96,4;95,5;98,2;97,5;99,9;92,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Avelino Lopes;35,5;34,9;34,4;33,9;66,9;64,8;64,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Baixa Grande do Ribeiro;43,8;41,9;40,2;38,8;37,5;87,2;90,0;38,5;100,0;98,3;95,8;98,4;96,5;63,1;100,0;100,0;100,0;100,0;100,0;100,0
Barra D'Alcântara;0,0;82,9;83,0;83,0;103,9;103,8;94,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Barras;50,0;49,4;65,1;72,5;71,8;100,7;104,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Barreiras do Piauí;0,0;0,0;0,0;0,0;99,0;98,6;100,4;100,0;100,0;99,9;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
