Percentual da população coberta pela Estratégia Saúde da Família (ESF) - Municípios da UF: Paraná;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Abatiá;82,7;83,1;83,5;83,9;84,3;84,7;85,1;100,0;88,6;86,6;87,0;88,9;89,3;89,7;87,6;87,9;88,2;88,5;88,8;0,0
Adrianópolis;0,0;0,0;49,5;50,0;50,4;0,0;86,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Agudos do Sul;93,8;93,8;97,3;97,0;96,9;95,4;98,5;100,0;84,2;100,0;100,0;100,0;100,0;100,0;39,2;77,6;76,8;100,0;100,0;100,0
Almirante Tamandaré;0,0;7,6;7,4;7,3;7,1;7,0;6,9;0,0;11,1;14,3;14,2;13,4;19,8;19,6;21,9;21,6;21,4;21,2;9,0;35,3
Altamira do Paraná;0,0;0,0;0,0;55,7;58,3;61,0;64,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Altônia;0,0;0,0;0,0;0,0;34,2;34,0;77,5;0,0;100,0;100,0;99,7;100,0;100,0;99,9;96,3;95,7;95,2;94,7;91,8;94,4
Alto Paraná;80,5;79,7;78,9;78,1;96,7;95,8;96,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;96,3;95,7;95,1;94,5;93,9;94,0
Alto Piquiri;95,2;63,7;96,0;96,4;95,3;64,8;90,6;0,0;100,0;99,1;99,5;100,0;100,0;100,0;100,0;100,0;100,0;67,3;100,0;100,0
Alvorada do Sul;93,8;91,5;95,7;93,9;92,3;91,2;89,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Amaporã;0,0;71,8;70,4;69,0;67,8;94,1;97,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Ampére;21,9;21,5;63,8;62,9;62,1;81,9;80,9;79,3;100,0;96,7;76,5;79,7;79,1;78,6;75,5;74,8;74,2;73,6;73,1;72,7
