Percentual da população coberta pela Estratégia Saúde da Família (ESF) - Municípios da UF: Rio de Janeiro;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Angra dos Reis;33,8;32,3;30,9;37,2;35,9;44,0;42,7;69,4;76,7;73,5;73,6;75,3;73,6;72,1;100,0;100,0;100,0;90,1;74,5;74,0
Aperibé;0,0;40,6;79,1;77,2;75,4;73,7;95,1;74,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Araruama;12,2;11,7;30,1;29,2;28,3;27,5;26,8;6,9;28,1;25,7;25,2;30,8;33,2;29,6;29,0;34,2;33,7;27,6;38,1;42,3
Areal;67,8;66,8;95,8;96,5;96,8;95,6;99,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Armação dos Búzios;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;100,0;99,6;96,3;100,0;97,6;95,3;92,6;90,7;88,8;87,1;85,6;72,7
Arraial do Cabo;56,2;55,3;81,7;80,6;79,5;78,5;77,5;0,0;82,0;90,7;89,8;87,1;86,2;97,5;96,4;95,6;94,9;94,9;94,2;68,8
Barra do Piraí;0,0;0,0;0,0;0,0;3,7;7,4;14,7;0,0;25,1;23,6;23,3;25,5;25,4;21,6;25,1;25,0;24,9;10,7;24,8;24,2
Barra Mansa;2,0;3,9;21,5;25,4;29,2;31,1;44,7;47,0;47,2;52,8;58,5;60,1;61,9;65,6;71,1;74,9;74,8;74,7;73,1;75,0
Belford Roxo;10,8;1,5;3,0;5,3;12,0;11,2;17,1;0,0;18,7;15,3;19,3;25,0;17,5;20,4;27,5;28,1;29,4;27,2;29,9;27,8
Bom Jardim;44,4;43,9;58,0;71,7;71,1;70,4;69,8;28,6;100,0;100,0;100,0;100,0;100,0;100,0;93,0;92,4;91,9;91,4;90,9;88,6
Bom Jesus do Itabapoana;19,9;19,9;59,4;59,2;98,4;98,1;97,9;94,7;100,0;100,0;97,7;97,4;97,1;96,7;96,3;100,0;100,0;100,0;100,0;100,0
Cabo Frio;0,0;15,1;26,4;29,9;37,6;36,3;39,2;27,1;51,0;53,5;55,6;63,0;63,3;60,1;60,3;55,7;57,9;56,9;54,3;49,6
Cachoeiras de Macacu;0,0;0,0;20,3;33,5;39,8;46,0;45,6;44,1;58,5;54,9;54,2;57,2;56,8;56,3;55,8;61,6;61,3;73,1;90,7;88,4
Cambuci;0,0;0,0;96,8;97,1;97,0;97,1;96,5;100,0;100,0;100,0;100,0;100,0;100,0;0,0;0,0;100,0;100,0;100,0;100,0;100,0
Carapebus;101,3;0,0;90,1;87,8;86,0;82,8;86,6;66,4;100,0;100,0;100,0;100,0;100,0;98,4;95,8;70,3;92,0;90,2;88,6;86,0
Comendador Levy Gasparian;84,7;84,6;98,3;99,1;100,0;99,9;103,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Campos dos Goytacazes;16,5;16,3;24,9;26,2;31,4;33,3;38,4;0,8;25,9;24,8;0,0;0,0;0,0;0,0;6,5;7,9;11,4;11,3;17,6;14,4
Cantagalo;93,8;94,5;98,5;99,5;100,4;100,6;103,1;82,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Cardoso Moreira;0,0;0,0;0,0;0,0;0,0;0,0;27,0;0,0;28,3;55,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Carmo;43,9;43,3;64,1;63,3;62,6;61,9;61,3;0,0;62,0;58,2;57,4;59,4;58,8;58,3;57,7;57,3;100,0;100,0;100,0;100,0
