Percentual da população coberta pela Estratégia Saúde da Família (ESF) - Municípios da UF: Rio Grande do Norte;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Acari;90,5;90,5;98,1;98,3;98,5;98,6;99,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Açu;7,0;20,9;27,5;33,9;33,5;33,1;52,4;54,0;87,5;98,0;97,1;100,0;100,0;100,0;98,0;100,0;100,0;100,0;98,4;100,0
Afonso Bezerra;0,0;84,4;93,0;93,0;92,9;97,9;103,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Água Nova;98,4;99,2;96,9;96,9;96,9;95,8;98,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alexandria;0,0;92,3;97,0;97,0;96,5;96,6;94,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Almino Afonso;64,9;65,3;97,1;97,5;97,1;0,0;95,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;71,1;100,0
Alto do Rodrigues;35,5;34,4;33,3;64,7;62,9;87,7;88,9;99,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;97,6;96,1;48,2
Angicos;29,0;29,0;29,0;29,0;29,0;99,5;98,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Antônio Martins;49,9;89,9;95,6;94,4;93,0;92,7;88,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Apodi;0,0;0,0;19,6;19,6;39,1;48,7;77,8;56,9;59,8;58,1;57,9;59,5;79,3;89,1;86,1;86,0;85,8;85,6;85,5;100,0
Areia Branca;0,0;14,8;14,6;14,4;56,7;28,0;69,1;0,0;84,8;82,3;95,1;95,4;94,6;93,8;100,0;100,0;100,0;100,0;100,0;100,0
Arês;0,0;0,0;86,6;85,3;92,4;91,1;90,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;96,5;97,2
Augusto Severo;0,0;74,5;74,2;73,9;73,6;73,3;96,5;75,8;100,0;100,0;100,0;74,3;100,0;100,0;100,0;100,0;100,0;100,0;70,6;100,0
Baía Formosa;0,0;0,0;84,4;83,5;95,8;94,9;96,2;100,0;100,0;100,0;100,0;80,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Baraúna;0,0;34,6;50,3;48,9;15,9;77,4;90,6;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Barcelona;84,6;84,6;84,6;84,6;84,6;84,7;103,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;84,8;100,0;100,0;100,0;100,0
Bento Fernandes;0,0;0,0;96,9;96,0;95,5;97,6;104,5;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bodó;85,9;86,0;100,4;101,7;103,0;0,0;105,7;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bom Jesus;0,0;77,5;97,2;97,9;98,3;97,3;101,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Brejinho;0,0;64,5;95,5;62,8;93,0;97,8;103,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Caiçara do Norte;0,0;115,0;57,3;57,1;56,8;96,3;96,3;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Caiçara do Rio do Vento;0,0;0,0;95,5;94,7;93,9;92,5;93,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Caicó;0,0;58,5;57,8;68,6;73,5;72,8;72,0;72,7;68,3;88,3;87,6;100,0;100,0;97,7;100,0;100,0;100,0;100,0;100,0;100,0
Campo Redondo;0,0;96,1;94,8;93,7;92,4;91,3;89,8;100,0;98,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Canguaretama;62,5;89,1;96,2;96,2;96,1;94,7;97,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Caraúbas;0,0;0,0;0,0;0,0;70,3;87,4;92,4;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Carnaúba dos Dantas;98,4;99,0;96,6;96,5;96,5;95,3;98,3;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;86,6;100,0;100,0;100,0;100,0
Carnaubais;82,4;80,6;78,9;77,4;92,3;90,6;101,1;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Ceará-Mirim;0,0;80,2;79,4;78,5;98,6;99,9;105,0;100,0;100,0;100,0;100,0;100,0;100,0;95,0;100,0;95,3;99,4;98,7;93,4;99,1
Cerro Corá;0,0;88,2;93,1;92,9;92,8;105,3;105,6;62,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Coronel Ezequiel;0,0;62,3;96,5;95,7;94,7;94,7;91,7;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Coronel João Pessoa;0,0;71,6;71,4;71,2;71,1;96,5;96,1;73,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Cruzeta;41,5;83,0;83,2;83,3;83,4;83,5;83,6;82,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Currais Novos;0,0;0,0;0,0;0,0;0,0;64,3;64,0;67,0;65,6;63,7;63,4;48,5;64,5;64,3;100,0;100,0;100,0;100,0;100,0;100,0
Doutor Severiano;51,5;82,9;98,0;98,2;98,3;98,4;98,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;96,0;100,0
Parnamirim;21,6;53,1;64,2;69,6;76,6;79,0;77,4;81,2;69,9;75,2;78,7;71,6;69,5;67,6;64,7;68,7;75,4;59,7;59,6;64,7
Encanto;0,0;93,2;95,9;95,1;94,3;93,4;93,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Equador;0,0;59,3;59,1;58,9;58,7;96,9;58,3;59,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;56,5;100,0;100,0
Espírito Santo;0,0;0,0;0,0;99,4;100,1;100,2;104,1;0,0;100,0;66,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Extremoz;0,0;0,0;81,5;79,4;77,5;75,6;73,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Felipe Guerra;0,0;88,6;95,7;94,6;93,3;59,6;89,7;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Fernando Pedroza;95,6;93,7;95,5;94,1;92,8;92,0;89,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Florânia;37,6;95,9;75,1;75,0;75,0;97,3;102,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Francisco Dantas;0,0;0,0;97,7;97,4;97,0;97,5;95,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Frutuoso Gomes;0,0;74,2;74,8;99,7;100,3;101,0;101,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Galinhos;0,0;108,0;117,6;114,1;111,1;105,7;0,0;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Goianinha;0,0;0,0;92,2;89,8;87,5;85,4;83,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Governador Dix-Sept Rosad;0,0;28,5;56,6;84,4;83,9;99,8;82,9;100,0;100,0;100,0;100,0;100,0;100,0;55,4;100,0;100,0;100,0;100,0;100,0;100,0
Grossos;0,0;80,5;79,3;78,1;77,0;94,0;96,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Guamaré;0,0;0,0;37,1;35,3;0,0;85,2;89,3;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Ielmo Marinho;0,0;64,5;94,7;92,9;93,3;91,6;94,5;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Ipanguaçu;0,0;0,0;27,3;53,6;92,7;91,2;107,0;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Ipueira;94,0;93,7;96,8;96,8;96,8;95,9;98,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Itajá;0,0;0,0;0,0;98,9;100,0;98,8;104,7;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;91,1;100,0
Itaú;0,0;0,0;63,1;62,7;97,3;96,7;99,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Jaçanã;0,0;102,2;112,2;110,7;109,3;93,0;108,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Jandaíra;0,0;0,0;0,0;0,0;92,7;94,4;97,4;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Janduís;105,7;106,4;97,8;97,6;97,3;97,6;95,8;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Januário Cicco;0,0;43,0;84,5;95,0;94,5;92,9;95,2;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Japi;53,3;54,0;54,8;55,5;56,2;56,9;109,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Jardim de Angicos;0,0;0,0;0,0;100,1;101,1;101,3;104,1;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;0,0
Jardim de Piranhas;0,0;83,2;27,3;27,0;26,6;78,8;77,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Jardim do Seridó;0,0;0,0;83,8;83,7;83,6;97,6;98,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
João Câmara;11,5;11,4;22,5;22,3;22,0;96,5;99,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
João Dias;86,3;85,2;98,4;97,1;96,7;96,6;95,9;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
José da Penha;57,1;89,4;98,5;99,1;99,7;99,7;101,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Jucurutu;0,0;97,1;96,8;77,2;77,0;95,9;105,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Jundiá;**;0,0;94,9;93,6;92,2;91,1;89,1;100,0;98,1;95,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Lagoa d'Anta;0,0;88,2;96,5;96,3;96,1;95,0;96,9;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Lagoa de Pedras;0,0;103,2;98,3;98,9;99,8;98,9;104,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Lagoa de Velhos;85,7;87,5;100,6;102,6;104,9;104,8;126,1;0,0;100,0;100,0;100,0;100,0;100,0;100,0;0,0;100,0;100,0;100,0;100,0;100,0
Lagoa Nova;56,0;82,4;95,5;94,8;94,2;92,7;96,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;91,3;100,0;100,0;100,0;100,0
Lagoa Salgada;0,0;0,0;96,4;95,4;95,9;94,8;96,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Lajes;0,0;70,9;70,1;69,3;95,5;94,4;103,5;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Lajes Pintadas;74,5;74,3;97,3;97,3;97,2;96,9;97,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;0,0;100,0;100,0;100,0;100,0;100,0
Lucrécia;95,3;94,6;95,8;95,2;94,6;93,4;94,4;100,0;100,0;98,0;97,2;95,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Luís Gomes;36,9;98,0;97,3;97,3;97,3;96,7;98,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Macaíba;12,3;47,7;52,2;50,8;49,5;80,5;78,6;87,2;92,6;95,0;98,7;99,3;100,0;100,0;100,0;100,0;100,0;100,0;94,8;99,5
