Percentual da população coberta pela Estratégia Saúde da Família (ESF) - Municípios da UF: Rio Grande do Sul;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Aceguá;**;0,0;0,0;0,0;0,0;80,4;79,4;82,4;83,4;80,0;79,4;78,5;77,9;77,3;74,4;73,9;73,4;72,9;72,5;71,0
Água Santa;0,0;0,0;90,2;90,2;90,1;90,1;90,1;86,1;96,8;94,8;95,3;92,7;92,8;92,9;89,9;89,9;89,8;89,8;89,8;91,9
Agudo;0,0;0,0;0,0;19,8;19,8;39,7;39,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;20,1;20,2;20,2;20,2;41,8
Ajuricaba;0,0;0,0;0,0;90,1;90,5;99,9;98,6;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alecrim;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alegrete;8,1;8,2;8,2;8,3;8,4;8,4;8,5;7,8;8,8;8,7;8,7;13,3;26,8;31,5;69,8;78,8;87,9;88,2;88,5;88,4
Alegria;0,0;0,0;0,0;102,7;103,2;105,3;101,5;0,0;0,0;0,0;72,3;80,2;81,8;83,3;81,3;82,4;83,4;84,5;85,5;96,9
Almirante Tamandaré do Su;**;0,0;0,0;0,0;0,0;105,8;109,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alpestre;0,0;0,0;0,0;36,0;99,0;101,2;91,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alto Alegre;95,0;96,1;102,2;103,7;105,0;106,4;107,7;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alto Feliz;0,0;82,2;97,9;97,7;97,3;96,8;96,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;0,0;100,0;100,0;100,0;100,0
Alvorada;0,0;3,7;7,3;9,0;25,0;31,9;35,1;0,0;38,3;44,1;41,9;45,8;43,9;45,4;47,2;48,6;48,4;49,9;49,7;52,8
Amaral Ferrador;0,0;0,0;0,0;94,0;92,4;91,3;89,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;82,5;81,9;81,4;81,0;80,5;49,5
Ametista do Sul;0,0;0,0;0,0;0,0;91,9;91,8;106,9;100,0;100,0;100,0;80,8;100,0;100,0;94,4;100,0;100,0;100,0;100,0;100,0;100,0
André da Rocha;0,0;0,0;0,0;0,0;95,6;94,6;0,0;0,0;0,0;0,0;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Anta Gorda;0,0;0,0;0,0;0,0;54,6;54,7;54,8;100,0;100,0;100,0;54,5;56,8;100,0;100,0;55,3;100,0;100,0;100,0;100,0;100,0
Antônio Prado;0,0;0,0;0,0;0,0;0,0;0,0;0,0;48,1;50,8;48,7;48,3;53,8;53,8;53,8;52,0;100,0;100,0;100,0;100,0;95,1
Arambaré;0,0;0,0;0,0;0,0;88,9;89,3;116,8;0,0;100,0;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;91,9;100,0;100,0
Araricá;0,0;0,0;80,1;78,1;76,3;0,0;73,3;0,0;72,2;67,9;66,6;70,9;70,0;69,1;100,0;100,0;100,0;100,0;100,0;100,0
Aratiba;0,0;0,0;48,8;49,1;98,4;98,9;95,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Arroio do Meio;0,0;0,0;19,5;38,5;56,9;56,2;55,6;55,7;57,2;54,8;54,3;55,1;54,7;54,3;52,3;52,0;68,8;68,4;85,1;83,6
Arroio do Sal;64,9;60,9;57,5;54,7;52,3;0,0;48,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;100,0;100,0;77,3;100,0;100,0
Arroio do Padre;**;0,0;0,0;98,3;98,4;97,5;100,0;100,0;100,0;100,0;100,0;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Arroio dos Ratos;0,0;0,0;0,0;0,0;50,3;25,0;24,9;47,7;50,7;48,9;97,3;100,0;100,0;100,0;73,2;97,4;97,2;97,0;96,8;97,7
Arroio do Tigre;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;54,6;52,6;52,2;54,6;54,4;43,2;52,1;67,6;77,7;77,5;77,3;77,6
Arroio Grande;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;54,6;54,6;54,7;54,7;56,4
Arvorezinha;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;100,0;97,9;97,8;97,7;97,6;97,5;99,3
Augusto Pestana;0,0;44,3;44,7;45,1;45,4;45,8;46,1;0,0;94,9;93,1;93,7;97,2;98,0;98,7;95,8;96,2;96,6;97,0;97,3;100,0
Áurea;88,0;88,5;88,9;89,2;89,6;99,6;98,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bagé;0,0;0,0;0,0;0,0;26,3;35,0;52,2;53,5;64,4;62,6;65,6;65,0;64,9;63,9;62,6;62,5;65,2;62,2;70,6;71,3
Balneário Pinhal;0,0;69,5;81,6;77,7;74,4;71,5;96,8;100,0;98,4;90,5;87,4;95,3;93,1;91,0;87,0;85,5;84,1;82,8;81,7;75,2
Barão;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;65,2;63,4;63,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;56,5;100,0
