Percentual da população coberta pela Estratégia Saúde da Família (ESF) - Municípios da UF: Santa Catarina;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Abdon Batista;102,9;101,1;97,0;95,9;94,7;95,2;90,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;0,0;100,0;100,0;100,0;100,0
Abelardo Luz;61,8;61,6;61,4;61,1;101,5;101,2;118,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Agrolândia;0,0;42,6;83,7;82,2;93,7;92,1;78,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Agronômica;0,0;0,0;77,4;76,3;75,2;74,2;73,1;74,8;73,8;70,9;70,1;70,4;69,6;69,2;100,0;100,0;65,0;100,0;63,5;100,0
Água Doce;0,0;86,2;97,7;97,9;97,8;98,3;98,1;100,0;100,0;99,2;99,2;99,1;99,0;98,9;100,0;100,0;100,0;100,0;100,0;100,0
Águas de Chapecó;0,0;58,3;58,0;57,7;92,8;92,3;88,3;0,0;56,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Águas Frias;0,0;105,1;95,4;93,9;91,8;93,3;84,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Águas Mornas;62,9;90,9;96,4;95,9;95,5;108,9;65,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alfredo Wagner;76,5;76,1;95,4;94,4;92,8;92,3;88,5;100,0;100,0;68,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alto Bela Vista;109,8;109,8;96,8;95,9;94,7;95,4;90,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Anchieta;47,5;96,0;96,6;95,0;93,1;94,3;86,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Angelina;58,7;101,6;98,9;99,1;99,2;100,1;98,3;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Anita Garibaldi;33,0;33,5;34,0;34,6;35,2;71,6;72,9;69,1;75,5;74,2;100,0;100,0;81,2;100,0;83,8;100,0;100,0;100,0;100,0;100,0
Anitápolis;95,1;93,1;97,0;96,3;95,4;95,5;92,3;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Antônio Carlos;95,2;94,8;96,6;96,5;96,2;94,8;97,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Apiúna;0,0;0,0;0,0;38,4;37,9;0,0;74,1;75,8;67,2;64,0;94,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Arabutã;0,0;0,0;0,0;81,3;81,3;98,8;81,2;81,7;87,1;84,9;85,2;82,3;82,2;82,2;100,0;0,0;100,0;100,0;100,0;100,0
Araquari;0,0;0,0;0,0;22,5;20,6;38,1;17,7;0,0;16,2;30,7;74,7;69,5;66,7;64,2;93,3;88,9;85,0;81,5;78,3;84,6
Araranguá;43,4;73,5;72,7;71,9;71,0;76,1;75,3;71,8;78,5;75,8;75,3;73,2;72,6;72,0;69,6;68,9;68,2;77,9;77,1;76,6
Armazém;49,3;48,7;96,3;95,1;94,0;92,9;91,8;92,7;94,4;91,0;90,2;89,0;88,2;87,5;84,6;83,6;82,7;81,8;81,0;80,4
Arroio Trinta;97,1;97,0;97,0;97,0;97,0;97,0;97,0;95,7;98,1;95,1;94,8;98,5;98,5;98,5;96,9;96,8;96,8;96,8;96,8;97,2
Arvoredo;97,8;95,9;96,4;95,4;94,0;94,4;89,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;0,0;100,0;100,0;100,0
Ascurra;0,0;97,1;96,5;95,9;95,3;94,6;94,0;0,0;100,0;99,3;99,4;93,1;92,6;92,2;89,8;89,2;88,7;88,1;87,6;87,5
Atalanta;0,0;99,2;98,0;97,7;97,3;98,1;95,5;100,0;100,0;100,0;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Aurora;0,0;0,0;96,6;95,6;94,5;94,5;90,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Balneário Arroio do Silva;56,1;83,5;91,4;89,5;87,7;83,8;83,5;92,9;85,3;80,6;100,0;100,0;100,0;100,0;95,2;92,0;89,1;86,4;83,8;100,0
Balneário Camboriú;0,0;17,7;16,9;16,2;23,4;37,6;47,0;49,3;36,6;38,1;37,2;28,7;40,5;42,6;37,1;41,5;37,7;34,0;51,0;47,2
Balneário Barra do Sul;0,0;0,0;0,0;0,0;0,0;0,0;45,6;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;98,1
Balneário Gaivota;62,2;59,3;56,6;54,2;51,9;49,8;47,9;100,0;94,4;89,2;86,7;100,0;100,0;79,7;100,0;100,0;100,0;100,0;66,3;96,8
Bandeirante;0,0;0,0;97,8;97,1;96,3;97,5;92,7;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Barra Bonita;0,0;0,0;99,1;99,3;99,4;100,6;99,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Barra Velha;0,0;83,7;80,5;77,4;92,3;88,9;86,7;89,7;92,9;88,6;86,9;92,5;90,3;88,4;100,0;100,0;100,0;100,0;100,0;100,0
Bela Vista do Toldo;0,0;0,0;0,0;0,0;58,1;96,0;96,0;100,0;100,0;100,0;100,0;100,0;100,0;57,1;55,7;55,5;55,2;100,0;100,0;100,0
Belmonte;0,0;0,0;94,9;92,6;90,0;90,1;81,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Benedito Novo;0,0;0,0;72,8;71,8;95,4;94,2;95,2;100,0;100,0;100,0;100,0;100,0;99,2;98,3;94,9;100,0;100,0;100,0;100,0;100,0
Biguaçu;0,0;0,0;81,3;79,8;78,2;76,8;75,3;23,6;83,9;86,8;85,6;94,8;81,9;98,2;100,0;100,0;100,0;100,0;100,0;100,0
Blumenau;27,2;30,5;31,3;35,7;37,5;36,9;39,8;48,5;55,3;48,9;53,0;56,9;61,8;69,8;68,1;68,2;67,2;65,2;65,3;64,6
Bocaina do Sul;94,6;93,9;96,5;92,3;96,8;96,3;96,3;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;99,7
Bombinhas;0,0;71,7;92,2;90,9;89,8;85,5;91,9;0,0;100,0;100,0;100,0;96,6;100,0;100,0;100,0;100,0;98,7;95,6;92,6;100,0
Bom Jardim da Serra;102,2;101,7;96,4;95,7;94,9;94,3;93,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bom Jesus;109,7;109,7;94,4;92,4;90,7;89,1;87,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bom Jesus do Oeste;0,0;97,3;97,6;97,4;97,1;97,2;95,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bom Retiro;0,0;0,0;83,1;97,0;96,9;95,8;97,8;100,0;83,6;80,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Botuverá;0,0;0,0;0,0;86,4;84,8;83,2;81,7;97,6;83,6;80,3;79,4;77,2;76,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Braço do Norte;0,0;53,8;79,3;100,1;101,5;100,3;99,6;11,2;99,5;95,5;94,1;95,1;94,0;93,0;89,4;88,1;86,9;85,7;84,5;83,6
Braço do Trombudo;0,0;0,0;99,1;100,2;101,3;100,5;101,4;93,7;100,0;100,0;100,0;99,8;99,2;98,6;100,0;100,0;100,0;100,0;100,0;100,0
Brunópolis;101,7;103,1;100,0;101,9;103,2;104,9;105,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Brusque;0,0;0,0;66,4;64,1;62,0;63,8;61,8;65,7;61,8;58,7;60,7;58,9;73,6;78,4;73,9;80,7;81,5;82,3;80,3;81,2
Caçador;0,0;0,0;0,0;0,0;10,2;20,3;25,1;23,8;25,5;24,6;24,4;24,4;24,2;24,0;32,5;55,2;54,6;58,6;58,0;70,9
Caibi;103,0;101,3;96,4;95,3;93,9;94,2;89,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Calmon;0,0;0,0;98,2;98,4;98,7;106,7;118,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Camboriú;65,4;62,4;59,6;57,1;61,6;65,7;63,1;58,6;64,6;73,5;71,6;66,4;64,7;73,7;78,8;81,2;78,8;72,1;83,3;76,8
Capão Alto;0,0;0,0;100,2;102,1;103,6;104,6;107,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Campo Alegre;0,0;0,0;0,0;0,0;29,0;29,0;29,0;27,0;30,3;58,9;58,9;58,7;58,7;58,6;57,6;57,6;86,3;86,2;86,2;86,4
Campo Belo do Sul;0,0;0,0;0,0;86,0;86,6;87,2;87,9;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;48,7
Campo Erê;0,0;66,1;66,7;67,3;68,0;68,7;69,4;82,6;72,0;100,0;100,0;100,0;100,0;37,4;100,0;100,0;100,0;100,0;100,0;100,0
Campos Novos;35,0;69,4;95,5;92,4;91,5;87,1;86,2;90,7;97,0;94,5;94,7;84,1;83,5;82,9;80,3;79,5;78,7;78,0;77,3;76,8
Canelinha;75,3;74,0;96,1;95,3;94,6;93,1;94,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Canoinhas;0,0;58,9;98,3;97,9;13,0;0,0;13,0;13,0;13,1;12,7;18,9;26,2;32,6;32,6;38,4;38,3;38,2;38,1;57,1;57,2
