Percentual da população coberta pela Estratégia Saúde da Família (ESF) - Municípios da UF: São Paulo;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Adamantina;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,0;10,2;10,2;30,6;59,2;59,1;98,4;98,3;100,0;100,0
Adolfo;0,0;0,0;92,3;92,5;92,8;93,0;93,3;86,5;95,6;93,0;93,0;97,0;97,3;97,5;100,0;100,0;100,0;100,0;100,0;100,0
Aguaí;12,0;11,8;23,2;34,3;33,8;0,0;21,9;0,0;0,0;0,0;10,7;0,0;10,6;0,0;10,1;10,0;39,6;39,2;38,9;38,4
Águas da Prata;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;86,0;85,6;85,1;84,8
Águas de Lindóia;0,0;0,0;0,0;0,0;0,0;0,0;99,7;0,0;43,5;42,2;42,2;40,0;51,7;51,4;49,5;49,3;49,0;48,7;48,5;55,6
Águas de Santa Bárbara;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;58,4;100,0;100,0;100,0;100,0
Águas de São Pedro;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Agudos;0,0;0,0;0,0;10,2;10,1;30,1;29,9;30,3;30,2;28,9;38,1;40,0;39,8;39,6;47,7;47,5;66,1;75,2;65,5;55,9
Alambari;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;70,6;69,3;68,0;64,4;63,2;62,1;51,8;51,0;49,6
Alfredo Marcondes;91,4;90,8;90,2;89,6;89,1;88,5;97,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Altair;95,8;94,8;93,9;93,0;92,2;91,4;90,6;92,1;100,0;100,0;0,0;90,4;89,9;89,4;86,0;85,5;85,0;84,5;84,0;83,5
Altinópolis;65,5;65,4;99,0;99,9;100,8;100,6;104,1;61,5;100,0;88,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alto Alegre;0,0;0,0;97,2;96,3;95,4;95,7;92,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alumínio;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Álvares Florence;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;88,5;89,3;90,0;88,1;88,8;89,5;90,2;90,9;92,9
Álvares Machado;0,0;44,5;44,3;44,1;73,1;72,8;72,4;67,7;75,5;72,8;72,5;73,4;73,2;87,6;70,5;70,2;70,0;69,7;97,3;97,3
Álvaro de Carvalho;70,6;68,5;79,8;78,6;77,5;97,8;103,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Alvinlândia;93,8;93,7;97,9;98,0;98,3;97,6;100,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Americana;0,0;0,0;0,0;1,8;1,7;1,7;5,0;10,2;12,1;11,9;11,8;16,4;16,2;17,7;16,9;16,7;15,0;14,9;14,8;5,8
Américo Brasiliense;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,6;18,3;18,1;17,8;35,2;34,5
Américo de Campos;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;100,0;100,0;100,0;100,0;100,0
Amparo;56,0;60,9;65,7;70,4;80,5;85,0;94,8;97,1;100,0;100,0;100,0;94,3;90,9;99,4;85,9;98,8;93,3;97,5;96,9;96,2
Analândia;94,4;92,2;90,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Andradina;18,4;0,0;6,1;24,4;36,6;36,5;6,1;6,0;6,3;6,1;6,1;56,1;68,6;68,6;66,4;66,3;66,3;66,2;66,2;78,5
