Percentual da população coberta pela Estratégia Saúde da Família (ESF) - Municípios da UF: Tocantins;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Abreulândia;0,0;89,1;96,9;97,2;97,4;96,6;109,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Aguiarnópolis;0,0;87,7;0,0;84,6;81,8;80,0;76,3;94,5;86,4;83,7;81,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Aliança do Tocantins;96,7;98,1;100,1;101,6;103,2;104,1;107,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Almas;39,7;40,2;0,0;82,2;83,1;84,0;85,0;38,0;46,1;89,7;90,7;91,0;91,8;92,6;100,0;100,0;100,0;100,0;100,0;100,0
Alvorada;39,6;39,6;39,7;79,5;97,1;97,2;79,9;83,3;86,5;84,1;84,5;82,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Ananás;64,0;0,0;32,4;65,3;65,7;66,2;119,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Angico;78,7;0,0;95,6;94,6;93,7;92,8;93,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Aparecida do Rio Negro;0,0;0,0;91,8;90,0;88,3;86,6;85,1;93,2;85,9;0,0;82,1;81,9;80,9;79,9;100,0;100,0;100,0;100,0;100,0;100,0
Aragominas;54,5;54,7;55,0;110,2;111,2;111,7;167,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Araguacema;62,2;61,1;96,2;95,9;95,9;94,7;112,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Araguaçu;36,0;0,0;36,5;98,2;98,3;98,9;99,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Araguaína;50,6;17,2;25,0;32,3;54,8;50,7;41,9;45,1;35,8;78,2;92,3;87,1;58,5;76,0;81,2;78,4;75,0;83,7;72,5;58,3
Araguanã;80,3;78,6;77,0;101,0;103,3;101,4;117,9;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Araguatins;12,9;25,3;24,8;24,3;35,7;35,0;34,4;34,6;39,8;64,6;77,3;88,1;87,0;96,6;100,0;100,0;100,0;99,1;98,0;97,6
Arapoema;47,9;0,0;96,6;97,0;97,0;97,4;96,1;100,0;50,4;98,1;100,0;100,0;51,3;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Arraias;61,3;30,7;30,8;61,9;62,1;62,3;62,5;63,0;64,9;63,1;63,2;64,8;65,0;65,1;100,0;95,8;100,0;100,0;100,0;97,6
Augustinópolis;51,9;76,0;74,2;72,5;94,4;92,6;90,7;92,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;99,2;97,9;96,6;95,4;94,9
Aurora do Tocantins;0,0;0,0;93,7;91,8;0,0;88,7;84,3;0,0;100,0;99,0;97,9;100,0;99,4;98,6;100,0;100,0;100,0;100,0;100,0;100,0
Axixá do Tocantins;0,0;0,0;0,0;0,0;37,3;37,1;73,9;86,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Babaçulândia;32,6;32,6;65,0;65,0;64,9;64,8;64,8;61,3;66,5;64,7;64,5;66,2;66,1;66,1;96,5;96,5;96,4;96,3;96,3;97,1
Bandeirantes do Tocantins;0,0;71,6;93,9;92,1;90,5;88,8;89,6;100,0;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;99,7;98,6;98,2
Barra do Ouro;0,0;0,0;0,0;89,7;88,3;92,4;93,2;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Barrolândia;85,9;82,7;94,6;92,8;90,8;90,3;85,2;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bernardo Sayão;74,0;74,1;74,3;99,3;100,0;100,2;145,0;100,0;100,0;100,0;100,0;77,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Bom Jesus do Tocantins;81,0;71,5;85,3;80,1;75,5;71,9;67,1;100,0;100,0;100,0;100,0;91,6;88,9;86,5;100,0;100,0;100,0;100,0;100,0;100,0
Brasilândia do Tocantins;91,5;91,5;97,2;97,5;97,8;97,1;99,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Brejinho de Nazaré;69,0;90,0;93,8;91,2;88,6;88,1;82,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Buriti do Tocantins;0,0;0,0;0,0;39,8;38,9;76,0;74,4;86,2;84,5;82,1;100,0;100,0;69,6;100,0;100,0;96,9;100,0;100,0;100,0;100,0
Cachoeirinha;0,0;0,0;99,1;101,1;103,0;106,7;119,7;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Campos Lindos;0,0;0,0;0,0;52,2;50,2;48,4;46,7;47,2;90,6;87,8;85,4;84,8;82,8;81,0;100,0;100,0;36,7;100,0;100,0;100,0
Cariri do Tocantins;68,3;62,6;93,4;91,7;90,2;99,1;96,9;100,0;96,9;94,0;92,3;91,9;90,4;89,1;100,0;100,0;100,0;100,0;100,0;100,0
Carmolândia;66,2;61,4;96,1;95,1;94,6;93,3;98,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Carrasco Bonito;0,0;0,0;0,0;0,0;0,0;97,1;95,8;100,0;100,0;100,0;100,0;93,5;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Caseara;111,1;89,5;95,2;94,7;94,5;93,3;121,5;100,0;100,0;100,0;100,0;100,0;73,8;100,0;100,0;100,0;67,4;100,0;100,0;100,0
Centenário;0,0;0,0;95,1;94,1;93,3;91,7;93,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Chapada de Areia;73,4;70,7;95,4;94,1;92,8;92,3;89,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Chapada da Natividade;97,6;100,1;98,9;101,3;102,7;102,7;102,7;92,8;93,8;91,0;89,8;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Colinas do Tocantins;93,1;102,9;95,1;94,4;93,9;92,0;95,1;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Combinado;74,4;74,1;73,9;73,6;73,4;73,1;72,9;80,8;70,7;68,7;68,0;73,9;73,7;73,5;71,5;100,0;100,0;100,0;100,0;100,0
Conceição do Tocantins;76,9;77,3;77,6;78,0;78,4;78,7;104,1;100,0;78,4;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
Couto Magalhães;92,4;0,0;0,0;0,0;0,0;0,0;70,7;88,6;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0
