Índice de Desenvolvimento Humano - Municípios da UF: Alagoas;;;
Abrangências geográficas;1991;2000;2010
Água Branca;0,282;0,392;0,549
Anadia;0,302;0,428;0,568
Arapiraca;0,359;0,476;0,649
Atalaia;0,285;0,407;0,561
Barra de Santo Antônio;0,265;0,378;0,557
Barra de São Miguel;0,275;0,440;0,615
Batalha;0,291;0,401;0,594
Belém;0,298;0,416;0,593
Belo Monte;0,227;0,331;0,517
Boca da Mata;0,333;0,420;0,604
Branquinha;0,197;0,311;0,513
Cacimbinhas;0,282;0,359;0,531
Cajueiro;0,288;0,385;0,562
Campestre;0,312;0,412;0,559
Campo Alegre;0,292;0,393;0,570
Campo Grande;0,214;0,337;0,524
Canapi;0,205;0,306;0,506
Capela;0,288;0,379;0,573
Carneiros;0,271;0,356;0,526
Chã Preta;0,287;0,383;0,575
Coité do Nóia;0,235;0,354;0,533
Colônia Leopoldina;0,255;0,377;0,517
Coqueiro Seco;0,344;0,466;0,586
Coruripe;0,317;0,419;0,626
Craíbas;0,204;0,344;0,525
Delmiro Gouveia;0,334;0,436;0,612
Dois Riachos;0,261;0,370;0,532
Estrela de Alagoas;0,221;0,322;0,534
Feira Grande;0,250;0,371;0,533
Feliz Deserto;0,329;0,411;0,565
Flexeiras;0,232;0,373;0,527
Girau do Ponciano;0,241;0,335;0,536
Ibateguara;0,266;0,337;0,518
Igaci;0,241;0,366;0,564
Igreja Nova;0,220;0,374;0,568
Inhapi;0,189;0,281;0,484
Jacaré dos Homens;0,296;0,400;0,583
Jacuípe;0,229;0,358;0,548
Japaratinga;0,331;0,414;0,570
Jaramataia;0,221;0,386;0,552
Jequiá da Praia;0,260;0,382;0,556
Joaquim Gomes;0,223;0,349;0,531
Jundiá;0,278;0,380;0,562
Junqueiro;0,281;0,426;0,575
Lagoa da Canoa;0,248;0,383;0,552
Limoeiro de Anadia;0,214;0,369;0,580
Maceió;0,507;0,584;0,721
Major Isidoro;0,281;0,365;0,566
Maragogi;0,278;0,419;0,574
Maravilha;0,300;0,343;0,569
Marechal Deodoro;0,349;0,463;0,642
Maribondo;0,327;0,452;0,597
Mar Vermelho;0,274;0,412;0,577
Mata Grande;0,253;0,356;0,504
Matriz de Camaragibe;0,332;0,394;0,584
Messias;0,306;0,379;0,568
Minador do Negrão;0,263;0,384;0,563
Monteirópolis;0,251;0,380;0,539
Murici;0,273;0,391;0,527
Novo Lino;0,281;0,355;0,521
Olho d'Água das Flores;0,322;0,405;0,565
Olho d'Água do Casado;0,259;0,362;0,525
Olho d'Água Grande;0,238;0,368;0,503
Olivença;0,217;0,301;0,493
Ouro Branco;0,291;0,396;0,547
Palestina;0,317;0,402;0,558
Palmeira dos Índios;0,385;0,482;0,638
Pão de Açúcar;0,345;0,434;0,593
Pariconha;0,227;0,350;0,548
Paripueira;0,312;0,423;0,605
Passo de Camaragibe;0,249;0,382;0,533
Paulo Jacinto;0,282;0,420;0,589
Penedo;0,411;0,495;0,630
Piaçabuçu;0,316;0,417;0,572
Pilar;0,325;0,418;0,610
Pindoba;0,252;0,355;0,574
Piranhas;0,398;0,432;0,589
Poço das Trincheiras;0,240;0,313;0,526
Porto Calvo;0,322;0,423;0,586
Porto de Pedras;0,255;0,344;0,541
Porto Real do Colégio;0,274;0,378;0,551
Quebrangulo;0,300;0,384;0,559
Rio Largo;0,389;0,505;0,643
Roteiro;0,219;0,339;0,505
Santa Luzia do Norte;0,375;0,434;0,597
Santana do Ipanema;0,349;0,425;0,591
Santana do Mundaú;0,266;0,356;0,519
São Brás;0,304;0,436;0,572
São José da Laje;0,304;0,402;0,573
São José da Tapera;0,204;0,319;0,527
São Luís do Quitunde;0,267;0,396;0,536
São Miguel dos Campos;0,365;0,506;0,623
São Miguel dos Milagres;0,337;0,444;0,591
São Sebastião;0,246;0,351;0,549
Satuba;0,416;0,543;0,660
Senador Rui Palmeira;0,211;0,299;0,518
Tanque d'Arca;0,260;0,395;0,555
Taquarana;0,279;0,375;0,541
Teotônio Vilela;0,253;0,398;0,564
Traipu;0,248;0,320;0,532
União dos Palmares;0,312;0,406;0,593
Viçosa;0,306;0,415;0,586
;;;
;;;
;;;
PROADESS - Projeto de Avaliação do Desempenho do Sistema de Saúde;;;
URL: https://www.proadess.icict.fiocruz.br/;;;
