Índice de Desenvolvimento Humano - Municípios da UF: Amazonas;;;
Abrangências geográficas;1991;2000;2010
Alvarães;0,306;0,373;0,527
Amaturá;0,254;0,413;0,560
Anamã;0,307;0,408;0,594
Anori;0,357;0,428;0,561
Apuí;0,322;0,437;0,637
Atalaia do Norte;0,246;0,348;0,450
Autazes;0,357;0,420;0,577
Barcelos;0,317;0,384;0,500
Barreirinha;0,293;0,399;0,574
Benjamin Constant;0,300;0,389;0,574
Beruri;0,272;0,340;0,506
Boa Vista do Ramos;0,287;0,372;0,565
Boca do Acre;0,288;0,401;0,588
Borba;0,305;0,389;0,560
Caapiranga;0,258;0,403;0,569
Canutama;0,212;0,380;0,530
Carauari;0,268;0,344;0,549
Careiro;0,237;0,337;0,557
Careiro da Várzea;0,248;0,387;0,568
Coari;0,312;0,389;0,586
Codajás;0,355;0,440;0,563
Eirunepé;0,295;0,409;0,563
Envira;0,263;0,346;0,509
Fonte Boa;0,243;0,320;0,530
Guajará;0,266;0,381;0,532
Humaitá;0,296;0,475;0,605
Ipixuna;0,257;0,318;0,481
Iranduba;0,323;0,437;0,613
Itacoatiara;0,408;0,491;0,644
Itamarati;0,210;0,331;0,477
Itapiranga;0,409;0,478;0,654
Japurá;0,208;0,304;0,522
Juruá;0,291;0,362;0,522
Jutaí;0,187;0,304;0,516
Lábrea;0,254;0,386;0,531
Manacapuru;0,339;0,437;0,614
Manaquiri;0,244;0,429;0,596
Manaus;0,521;0,601;0,737
Manicoré;0,287;0,398;0,582
Maraã;0,265;0,291;0,498
Maués;0,333;0,454;0,588
Nhamundá;0,356;0,441;0,586
Nova Olinda do Norte;0,321;0,373;0,558
Novo Airão;0,264;0,428;0,570
Novo Aripuanã;0,293;0,387;0,554
Parintins;0,414;0,488;0,658
Pauini;0,177;0,287;0,496
Presidente Figueiredo;0,461;0,537;0,647
Rio Preto da Eva;0,353;0,434;0,611
Santa Isabel do Rio Negro;0,236;0,384;0,479
Santo Antônio do Içá;0,206;0,306;0,490
São Gabriel da Cachoeira;0,388;0,478;0,609
São Paulo de Olivença;0,269;0,324;0,521
São Sebastião do Uatumã;0,354;0,428;0,577
Silves;0,373;0,486;0,632
Tabatinga;0,333;0,470;0,616
Tapauá;0,151;0,293;0,502
Tefé;0,349;0,438;0,639
Tonantins;0,257;0,327;0,548
Uarini;0,290;0,358;0,527
Urucará;0,386;0,487;0,620
Urucurituba;0,254;0,427;0,588
;;;
;;;
;;;
PROADESS - Projeto de Avaliação do Desempenho do Sistema de Saúde;;;
URL: https://www.proadess.icict.fiocruz.br/;;;
