Índice de Desenvolvimento Humano - Municípios da UF: Amapá;;;
Abrangências geográficas;1991;2000;2010
Serra do Navio;0,416;0,569;0,709
Amapá;0,391;0,498;0,642
Pedra Branca do Amapari;0,235;0,442;0,626
Calçoene;0,342;0,488;0,643
Cutias;0,161;0,444;0,628
Ferreira Gomes;0,320;0,537;0,656
Itaubal;0,268;0,415;0,576
Laranjal do Jari;0,349;0,481;0,665
Macapá;0,525;0,622;0,733
Mazagão;0,319;0,434;0,592
Oiapoque;0,388;0,537;0,658
Porto Grande;0,407;0,520;0,640
Pracuúba;0,203;0,440;0,614
Santana;0,426;0,562;0,692
Tartarugalzinho;0,311;0,450;0,592
Vitória do Jari;0,336;0,459;0,619
;;;
;;;
;;;
PROADESS - Projeto de Avaliação do Desempenho do Sistema de Saúde;;;
URL: https://www.proadess.icict.fiocruz.br/;;;
