Índice de Desenvolvimento Humano - Municípios da UF: Bahia;;;
Abrangências geográficas;1991;2000;2010
Abaíra;0,352;0,495;0,603
Abaré;0,332;0,422;0,575
Acajutiba;0,285;0,422;0,582
Adustina;0,206;0,347;0,546
Água Fria;0,230;0,382;0,550
Érico Cardoso;0,285;0,379;0,584
Aiquara;0,293;0,436;0,583
Alagoinhas;0,452;0,550;0,683
Alcobaça;0,272;0,453;0,608
Almadina;0,261;0,405;0,563
Amargosa;0,375;0,487;0,625
Amélia Rodrigues;0,379;0,513;0,666
América Dourada;0,290;0,391;0,561
Anagé;0,191;0,308;0,540
Andaraí;0,279;0,375;0,555
Andorinha;0,206;0,383;0,588
Angical;0,312;0,426;0,625
Anguera;0,285;0,427;0,589
Antas;0,309;0,444;0,592
Antônio Cardoso;0,249;0,395;0,561
Antônio Gonçalves;0,284;0,422;0,598
Aporá;0,284;0,398;0,548
Apuarema;0,250;0,386;0,552
Aracatu;0,237;0,342;0,581
Araças;0,255;0,363;0,570
Araci;0,244;0,362;0,534
Aramari;0,330;0,454;0,588
Arataca;0,247;0,372;0,559
Aratuípe;0,293;0,435;0,575
Aurelino Leal;0,263;0,365;0,568
Baianópolis;0,259;0,383;0,589
Baixa Grande;0,269;0,422;0,585
Banzaê;0,234;0,393;0,579
Barra;0,303;0,378;0,557
Barra da Estiva;0,293;0,412;0,575
Barra do Choça;0,219;0,316;0,551
Barra do Mendes;0,317;0,468;0,630
Barra do Rocha;0,223;0,386;0,577
Barreiras;0,408;0,572;0,721
Barro Alto;0,279;0,435;0,607
Barrocas;0,284;0,421;0,610
Barro Preto;0,226;0,421;0,602
Belmonte;0,310;0,441;0,598
Belo Campo;0,252;0,378;0,575
Biritinga;0,277;0,396;0,538
Boa Nova;0,232;0,319;0,567
Boa Vista do Tupim;0,230;0,365;0,551
Bom Jesus da Lapa;0,372;0,486;0,633
Bom Jesus da Serra;0,187;0,298;0,546
Boninal;0,299;0,436;0,612
Bonito;0,250;0,326;0,561
Boquira;0,304;0,414;0,603
Botuporã;0,257;0,393;0,575
Brejões;0,299;0,437;0,597
Brejolândia;0,271;0,414;0,592
Brotas de Macaúbas;0,274;0,404;0,570
Brumado;0,387;0,519;0,656
Buerarema;0,309;0,420;0,613
Buritirama;0,193;0,335;0,565
Caatiba;0,262;0,348;0,561
Cabaceiras do Paraguaçu;0,240;0,389;0,581
Cachoeira;0,399;0,516;0,647
Caculé;0,356;0,501;0,637
Caém;0,272;0,387;0,546
Caetanos;0,180;0,318;0,542
Caetité;0,331;0,454;0,625
Cafarnaum;0,257;0,417;0,584
Cairu;0,259;0,437;0,627
Caldeirão Grande;0,273;0,397;0,573
Camacan;0,316;0,441;0,581
Camaçari;0,422;0,551;0,694
Camamu;0,270;0,377;0,565
Campo Alegre de Lourdes;0,273;0,365;0,557
Campo Formoso;0,261;0,421;0,586
Canápolis;0,285;0,435;0,565
Canarana;0,296;0,421;0,587
Canavieiras;0,318;0,439;0,590
Candeal;0,315;0,453;0,587
Candeias;0,408;0,548;0,691
Candiba;0,333;0,463;0,591
Cândido Sales;0,236;0,423;0,601
Cansanção;0,251;0,349;0,557
Canudos;0,254;0,379;0,562
Capela do Alto Alegre;0,280;0,456;0,599
Capim Grosso;0,293;0,444;0,621
Caraíbas;0,167;0,322;0,555
Caravelas;0,271;0,473;0,616
Cardeal da Silva;0,270;0,382;0,552
Carinhanha;0,250;0,382;0,576
Casa Nova;0,280;0,373;0,570
Castro Alves;0,351;0,451;0,613
Catolândia;0,294;0,426;0,582
Catu;0,404;0,536;0,677
Caturama;0,246;0,394;0,571
Central;0,323;0,453;0,596
Chorrochó;0,305;0,426;0,600
Cícero Dantas;0,290;0,417;0,585
Cipó;0,348;0,444;0,601
Coaraci;0,354;0,433;0,613
Cocos;0,260;0,413;0,596
Conceição da Feira;0,365;0,496;0,634
Conceição do Almeida;0,356;0,482;0,606
Conceição do Coité;0,313;0,446;0,611
Conceição do Jacuípe;0,397;0,531;0,663
Conde;0,258;0,398;0,560
Condeúba;0,298;0,419;0,582
Contendas do Sincorá;0,299;0,417;0,577
Coração de Maria;0,309;0,434;0,592
Cordeiros;0,265;0,386;0,579
Coribe;0,314;0,397;0,600
Coronel João Sá;0,176;0,328;0,535
Correntina;0,279;0,442;0,603
Cotegipe;0,261;0,405;0,590
Cravolândia;0,287;0,442;0,599
Crisópolis;0,251;0,366;0,543
Cristópolis;0,282;0,427;0,614
Cruz das Almas;0,451;0,574;0,699
Curaçá;0,291;0,424;0,581
Dário Meira;0,203;0,348;0,540
Dias d'Ávila;0,416;0,540;0,676
Dom Basílio;0,310;0,434;0,591
Dom Macedo Costa;0,326;0,469;0,632
Elísio Medrado;0,341;0,472;0,623
Encruzilhada;0,234;0,359;0,544
Entre Rios;0,298;0,451;0,615
Esplanada;0,336;0,435;0,589
Euclides da Cunha;0,257;0,408;0,567
Eunápolis;0,392;0,540;0,677
Fátima;0,230;0,362;0,559
Feira da Mata;0,292;0,442;0,588
Feira de Santana;0,460;0,585;0,712
Filadélfia;0,246;0,369;0,565
Firmino Alves;0,341;0,472;0,578
Floresta Azul;0,347;0,454;0,557
Formosa do Rio Preto;0,376;0,449;0,618
Gandu;0,380;0,484;0,632
Gavião;0,301;0,422;0,599
Gentio do Ouro;0,293;0,414;0,559
Glória;0,308;0,421;0,593
Gongogi;0,277;0,389;0,576
Governador Mangabeira;0,359;0,514;0,643
Guajeru;0,221;0,333;0,569
Guanambi;0,413;0,548;0,673
Guaratinga;0,253;0,356;0,558
Heliópolis;0,227;0,370;0,563
Iaçu;0,281;0,396;0,574
Ibiassucê;0,301;0,437;0,611
Ibicaraí;0,334;0,449;0,625
Ibicoara;0,270;0,393;0,591
Ibicuí;0,305;0,424;0,584
Ibipeba;0,318;0,455;0,616
Ibipitanga;0,231;0,389;0,584
Ibiquera;0,199;0,368;0,511
Ibirapitanga;0,229;0,391;0,558
Ibirapuã;0,358;0,488;0,614
Ibirataia;0,297;0,422;0,576
Ibitiara;0,288;0,424;0,585
Ibititá;0,285;0,435;0,602
Ibotirama;0,331;0,500;0,636
Ichu;0,427;0,516;0,631
Igaporã;0,345;0,468;0,614
Igrapiúna;0,219;0,342;0,574
Iguaí;0,267;0,411;0,552
Ilhéus;0,389;0,521;0,690
Inhambupe;0,263;0,381;0,565
Ipecaetá;0,223;0,363;0,550
Ipiaú;0,362;0,498;0,670
Ipirá;0,264;0,382;0,549
Ipupiara;0,323;0,464;0,590
Irajuba;0,244;0,378;0,576
Iramaia;0,276;0,393;0,571
Iraquara;0,277;0,422;0,599
Irará;0,317;0,461;0,620
Irecê;0,407;0,542;0,691
Itabela;0,291;0,445;0,599
Itaberaba;0,344;0,472;0,620
Itabuna;0,453;0,581;0,712
Itacaré;0,241;0,384;0,583
Itaeté;0,220;0,373;0,572
Itagi;0,265;0,397;0,543
Itagibá;0,296;0,421;0,589
Itagimirim;0,309;0,493;0,634
Itaguaçu da Bahia;0,203;0,378;0,562
Itaju do Colônia;0,270;0,431;0,592
Itajuípe;0,338;0,451;0,599
Itamaraju;0,334;0,462;0,627
Itamari;0,328;0,428;0,578
Itambé;0,332;0,390;0,578
Itanagra;0,300;0,399;0,584
Itanhém;0,346;0,496;0,637
Itaparica;0,407;0,522;0,670
Itapé;0,263;0,448;0,599
Itapebi;0,218;0,394;0,572
Itapetinga;0,398;0,529;0,667
Itapicuru;0,198;0,311;0,486
Itapitanga;0,325;0,409;0,571
Itaquara;0,264;0,393;0,553
Itarantim;0,298;0,443;0,610
Itatim;0,291;0,447;0,582
Itiruçu;0,318;0,464;0,600
Itiúba;0,241;0,385;0,544
Itororó;0,322;0,444;0,594
Ituaçu;0,308;0,420;0,570
Ituberá;0,301;0,418;0,606
Iuiú;0,280;0,414;0,591
Jaborandi;0,235;0,374;0,613
Jacaraci;0,299;0,445;0,593
Jacobina;0,363;0,496;0,649
Jaguaquara;0,309;0,439;0,580
Jaguarari;0,318;0,465;0,659
Jaguaripe;0,271;0,407;0,556
Jandaíra;0,265;0,375;0,550
Jequié;0,382;0,504;0,665
Jeremoabo;0,244;0,383;0,547
Jiquiriçá;0,283;0,426;0,553
Jitaúna;0,248;0,401;0,575
João Dourado;0,290;0,431;0,593
Juazeiro;0,396;0,531;0,677
Jucuruçu;0,202;0,354;0,541
Jussara;0,256;0,394;0,571
Jussari;0,299;0,426;0,567
Jussiape;0,369;0,449;0,602
Lafaiete Coutinho;0,255;0,395;0,599
Lagoa Real;0,210;0,360;0,545
Laje;0,289;0,431;0,586
Lajedão;0,382;0,496;0,632
Lajedinho;0,234;0,341;0,546
Lajedo do Tabocal;0,174;0,400;0,584
Lamarão;0,248;0,390;0,518
Lapão;0,338;0,447;0,596
Lauro de Freitas;0,474;0,616;0,754
Lençóis;0,340;0,478;0,623
Licínio de Almeida;0,328;0,488;0,621
Livramento de Nossa Senho;0,367;0,486;0,611
Luís Eduardo Magalhães;0,391;0,547;0,716
Macajuba;0,247;0,374;0,524
Macarani;0,309;0,449;0,605
Macaúbas;0,271;0,432;0,609
Macururé;0,282;0,392;0,604
Madre de Deus;0,467;0,565;0,708
Maetinga;0,218;0,311;0,538
Maiquinique;0,299;0,420;0,576
Mairi;0,274;0,384;0,572
Malhada;0,220;0,391;0,562
Malhada de Pedras;0,244;0,379;0,578
Manoel Vitorino;0,221;0,357;0,566
Mansidão;0,252;0,389;0,599
Maracás;0,289;0,412;0,607
Maragogipe;0,341;0,456;0,621
Maraú;0,244;0,354;0,593
Marcionílio Souza;0,193;0,408;0,561
Mascote;0,208;0,356;0,581
Mata de São João;0,378;0,506;0,668
Matina;0,259;0,383;0,572
Medeiros Neto;0,374;0,516;0,625
Miguel Calmon;0,307;0,425;0,586
Milagres;0,332;0,476;0,622
Mirangaba;0,241;0,361;0,542
Mirante;0,173;0,286;0,527
Monte Santo;0,195;0,283;0,506
Morpará;0,277;0,439;0,558
Morro do Chapéu;0,293;0,433;0,588
Mortugaba;0,342;0,472;0,618
Mucugê;0,327;0,401;0,606
Mucuri;0,275;0,525;0,665
Mulungu do Morro;0,216;0,362;0,566
Mundo Novo;0,289;0,416;0,590
Muniz Ferreira;0,363;0,483;0,617
Muquém de São Francisco;0,229;0,372;0,549
Muritiba;0,411;0,529;0,660
Mutuípe;0,287;0,458;0,601
Nazaré;0,407;0,513;0,641
Nilo Peçanha;0,236;0,384;0,547
Nordestina;0,200;0,346;0,560
Nova Canaã;0,258;0,392;0,545
Nova Fátima;0,291;0,462;0,597
Nova Ibiá;0,249;0,395;0,570
Nova Itarana;0,181;0,351;0,524
Nova Redenção;0,272;0,378;0,567
Nova Soure;0,295;0,405;0,555
Nova Viçosa;0,318;0,455;0,654
Novo Horizonte;0,310;0,429;0,597
Novo Triunfo;0,241;0,422;0,554
Olindina;0,273;0,423;0,559
Oliveira dos Brejinhos;0,239;0,393;0,554
Ouriçangas;0,279;0,391;0,607
Ourolândia;0,219;0,352;0,560
Palmas de Monte Alto;0,272;0,415;0,586
Palmeiras;0,351;0,511;0,643
Paramirim;0,321;0,499;0,615
Paratinga;0,251;0,371;0,590
Paripiranga;0,299;0,405;0,577
Pau Brasil;0,259;0,401;0,583
Paulo Afonso;0,429;0,551;0,674
Pé de Serra;0,239;0,410;0,587
Pedrão;0,324;0,419;0,588
Pedro Alexandre;0,166;0,319;0,513
Piatã;0,250;0,419;0,571
Pilão Arcado;0,172;0,304;0,506
Pindaí;0,321;0,447;0,603
Pindobaçu;0,231;0,406;0,577
Pintadas;0,254;0,438;0,612
Piraí do Norte;0,270;0,334;0,533
Piripá;0,256;0,406;0,575
Piritiba;0,303;0,428;0,578
Planaltino;0,241;0,363;0,572
Planalto;0,207;0,392;0,560
Poções;0,281;0,430;0,604
Pojuca;0,445;0,524;0,666
Ponto Novo;0,210;0,370;0,580
Porto Seguro;0,367;0,495;0,676
Potiraguá;0,311;0,416;0,625
Prado;0,298;0,471;0,621
Presidente Dutra;0,334;0,468;0,614
Presidente Jânio Quadros;0,206;0,322;0,542
Presidente Tancredo Neves;0,192;0,387;0,559
Queimadas;0,267;0,434;0,592
Quijingue;0,191;0,343;0,544
Quixabeira;0,250;0,412;0,578
Rafael Jambeiro;0,243;0,353;0,564
Remanso;0,294;0,432;0,579
Retirolândia;0,321;0,478;0,636
Riachão das Neves;0,267;0,389;0,578
Riachão do Jacuípe;0,342;0,480;0,628
Riacho de Santana;0,327;0,451;0,615
Ribeira do Amparo;0,192;0,330;0,512
Ribeira do Pombal;0,321;0,450;0,601
Ribeirão do Largo;0,203;0,364;0,540
Rio de Contas;0,389;0,494;0,605
Rio do Antônio;0,269;0,385;0,576
Rio do Pires;0,299;0,434;0,594
Rio Real;0,306;0,412;0,572
Rodelas;0,435;0,500;0,632
Ruy Barbosa;0,318;0,447;0,610
Salinas da Margarida;0,373;0,466;0,617
Salvador;0,563;0,654;0,759
Santa Bárbara;0,279;0,417;0,583
Santa Brígida;0,197;0,316;0,546
Santa Cruz Cabrália;0,334;0,486;0,654
Santa Cruz da Vitória;0,308;0,430;0,610
Santa Inês;0,296;0,464;0,574
Santaluz;0,309;0,458;0,598
Santa Luzia;0,249;0,378;0,556
Santa Maria da Vitória;0,322;0,449;0,614
Santana;0,348;0,471;0,608
Santanópolis;0,297;0,427;0,592
Santa Rita de Cássia;0,329;0,453;0,605
Santa Teresinha;0,278;0,414;0,587
Santo Amaro;0,402;0,516;0,646
Santo Antônio de Jesus;0,450;0,560;0,700
Santo Estêvão;0,323;0,430;0,626
São Desidério;0,272;0,398;0,579
São Domingos;0,315;0,469;0,640
São Félix;0,388;0,489;0,639
São Félix do Coribe;0,308;0,462;0,639
São Felipe;0,293;0,464;0,616
