Índice de Desenvolvimento Humano - Municípios da UF: Ceará;;;
Abrangências geográficas;1991;2000;2010
Abaiara;0,286;0,452;0,628
Acarape;0,349;0,490;0,606
Acaraú;0,277;0,415;0,601
Acopiara;0,254;0,412;0,595
Aiuaba;0,256;0,365;0,569
Alcântaras;0,285;0,422;0,600
Altaneira;0,288;0,417;0,602
Alto Santo;0,304;0,438;0,601
Amontada;0,241;0,423;0,606
Antonina do Norte;0,309;0,431;0,599
Apuiarés;0,274;0,431;0,618
Aquiraz;0,327;0,499;0,641
Aracati;0,371;0,523;0,655
Aracoiaba;0,319;0,451;0,615
Ararendá;0,201;0,437;0,590
Araripe;0,250;0,371;0,564
Aratuba;0,288;0,453;0,622
Arneiroz;0,275;0,419;0,618
Assaré;0,271;0,370;0,600
Aurora;0,294;0,435;0,605
Baixio;0,323;0,452;0,627
Banabuiú;0,286;0,456;0,606
Barbalha;0,381;0,517;0,683
Barreira;0,310;0,463;0,616
Barro;0,286;0,442;0,599
Barroquinha;0,192;0,356;0,571
Baturité;0,368;0,488;0,619
Beberibe;0,283;0,455;0,638
Bela Cruz;0,260;0,406;0,623
Boa Viagem;0,296;0,419;0,598
Brejo Santo;0,363;0,503;0,647
Camocim;0,305;0,462;0,620
Campos Sales;0,314;0,471;0,630
Canindé;0,302;0,448;0,612
Capistrano;0,277;0,457;0,611
Caridade;0,287;0,421;0,592
Cariré;0,269;0,416;0,596
Caririaçu;0,245;0,392;0,578
Cariús;0,260;0,438;0,597
Carnaubal;0,250;0,419;0,593
Cascavel;0,318;0,493;0,646
Catarina;0,266;0,412;0,618
Catunda;0,249;0,427;0,609
Caucaia;0,411;0,555;0,682
Cedro;0,373;0,473;0,627
Chaval;0,274;0,398;0,586
Choró;0,246;0,380;0,585
Chorozinho;0,253;0,437;0,604
Coreaú;0,302;0,406;0,610
Crateús;0,360;0,503;0,644
Crato;0,444;0,577;0,713
Croatá;0,214;0,372;0,590
Cruz;0,268;0,435;0,632
Deputado Irapuan Pinheiro;0,264;0,449;0,609
Ererê;0,291;0,433;0,610
Eusébio;0,377;0,507;0,701
Farias Brito;0,308;0,447;0,633
Forquilha;0,314;0,464;0,644
Fortaleza;0,546;0,652;0,754
Fortim;0,276;0,480;0,624
Frecheirinha;0,326;0,450;0,604
General Sampaio;0,261;0,392;0,568
Graça;0,149;0,381;0,570
Granja;0,250;0,371;0,559
Granjeiro;0,266;0,372;0,585
Groaíras;0,355;0,451;0,633
Guaiúba;0,333;0,454;0,617
Guaraciaba do Norte;0,301;0,430;0,609
Guaramiranga;0,326;0,500;0,637
Hidrolândia;0,250;0,424;0,597
Horizonte;0,311;0,493;0,658
Ibaretama;0,272;0,406;0,577
Ibiapina;0,284;0,451;0,608
Ibicuitinga;0,306;0,451;0,606
Icapuí;0,301;0,478;0,616
Icó;0,299;0,445;0,606
Iguatu;0,394;0,546;0,677
Independência;0,326;0,495;0,632
Ipaporanga;0,157;0,409;0,579
Ipaumirim;0,329;0,444;0,606
Ipu;0,318;0,473;0,618
Ipueiras;0,241;0,401;0,573
Iracema;0,323;0,499;0,652
Irauçuba;0,314;0,428;0,605
Itaiçaba;0,346;0,496;0,656
Itaitinga;0,320;0,475;0,626
Itapagé;0,354;0,459;0,623
Itapipoca;0,332;0,477;0,640
Itapiúna;0,318;0,479;0,604
Itarema;0,249;0,389;0,606
Itatira;0,208;0,362;0,562
Jaguaretama;0,305;0,445;0,612
Jaguaribara;0,361;0,468;0,618
Jaguaribe;0,370;0,518;0,621
Jaguaruana;0,355;0,498;0,624
Jardim;0,304;0,439;0,614
Jati;0,327;0,474;0,651
Jijoca de Jericoacoara;0,189;0,422;0,652
Juazeiro do Norte;0,419;0,544;0,694
Jucás;0,246;0,441;0,598
Lavras da Mangabeira;0,336;0,460;0,613
Limoeiro do Norte;0,433;0,561;0,682
Madalena;0,287;0,443;0,610
Maracanaú;0,420;0,575;0,686
Maranguape;0,369;0,524;0,659
Marco;0,306;0,446;0,612
Martinópole;0,275;0,407;0,599
Massapê;0,298;0,423;0,616
Mauriti;0,278;0,445;0,605
Meruoca;0,306;0,440;0,618
Milagres;0,327;0,450;0,628
Milhã;0,282;0,466;0,626
Miraíma;0,269;0,394;0,592
Missão Velha;0,302;0,444;0,622
Mombaça;0,269;0,399;0,582
Monsenhor Tabosa;0,306;0,437;0,610
Morada Nova;0,335;0,485;0,610
Moraújo;0,323;0,386;0,581
Morrinhos;0,296;0,415;0,588
Mucambo;0,291;0,458;0,607
Mulungu;0,342;0,480;0,607
Nova Olinda;0,313;0,451;0,625
Nova Russas;0,324;0,459;0,614
Novo Oriente;0,284;0,422;0,605
Ocara;0,278;0,434;0,594
Orós;0,366;0,465;0,636
Pacajus;0,355;0,508;0,659
Pacatuba;0,385;0,533;0,675
Pacoti;0,345;0,484;0,635
Pacujá;0,384;0,486;0,621
Palhano;0,310;0,492;0,638
Palmácia;0,352;0,497;0,622
Paracuru;0,340;0,457;0,637
Paraipaba;0,357;0,495;0,634
Parambu;0,304;0,387;0,570
Paramoti;0,231;0,405;0,583
Pedra Branca;0,247;0,420;0,603
Penaforte;0,401;0,530;0,646
Pentecoste;0,307;0,467;0,629
Pereiro;0,296;0,445;0,601
Pindoretama;0,318;0,493;0,636
Piquet Carneiro;0,292;0,427;0,600
Pires Ferreira;0,241;0,393;0,591
Poranga;0,199;0,401;0,581
Porteiras;0,296;0,477;0,622
Potengi;0,304;0,396;0,562
Potiretama;0,251;0,425;0,604
Quiterianópolis;0,240;0,405;0,594
Quixadá;0,383;0,524;0,659
Quixelô;0,258;0,367;0,591
Quixeramobim;0,356;0,482;0,642
Quixeré;0,330;0,475;0,622
Redenção;0,349;0,478;0,626
Reriutaba;0,298;0,454;0,601
Russas;0,398;0,527;0,674
Saboeiro;0,223;0,374;0,575
Salitre;0,189;0,326;0,540
Santana do Acaraú;0,314;0,431;0,587
Santana do Cariri;0,302;0,424;0,612
Santa Quitéria;0,281;0,431;0,616
São Benedito;0,289;0,433;0,611
São Gonçalo do Amarante;0,325;0,459;0,665
São João do Jaguaribe;0,399;0,523;0,654
São Luís do Curu;0,365;0,506;0,620
Senador Pompeu;0,371;0,487;0,619
Senador Sá;0,249;0,377;0,603
Sobral;0,406;0,537;0,714
Solonópole;0,309;0,454;0,625
Tabuleiro do Norte;0,362;0,522;0,645
Tamboril;0,241;0,385;0,580
Tarrafas;0,210;0,377;0,576
Tauá;0,338;0,477;0,633
Tejuçuoca;0,253;0,421;0,584
Tianguá;0,341;0,460;0,657
Trairi;0,291;0,420;0,606
Tururu;0,298;0,418;0,606
Ubajara;0,331;0,464;0,648
Umari;0,265;0,419;0,591
Umirim;0,275;0,395;0,587
Uruburetama;0,344;0,456;0,639
Uruoca;0,235;0,394;0,566
Varjota;0,351;0,459;0,611
Várzea Alegre;0,307;0,462;0,629
Viçosa do Ceará;0,235;0,369;0,571
;;;
;;;
;;;
PROADESS - Projeto de Avaliação do Desempenho do Sistema de Saúde;;;
URL: https://www.proadess.icict.fiocruz.br/;;;
