Índice de Desenvolvimento Humano - Municípios da UF: Espírito Santo;;;
Abrangências geográficas;1991;2000;2010
Afonso Cláudio;0,386;0,553;0,667
Águia Branca;0,380;0,539;0,678
Água Doce do Norte;0,351;0,527;0,652
Alegre;0,469;0,616;0,721
Alfredo Chaves;0,480;0,604;0,710
Alto Rio Novo;0,364;0,564;0,664
Anchieta;0,472;0,627;0,730
Apiacá;0,426;0,553;0,673
Aracruz;0,501;0,638;0,752
Atilio Vivacqua;0,383;0,574;0,708
Baixo Guandu;0,447;0,592;0,702
Barra de São Francisco;0,400;0,565;0,683
Boa Esperança;0,416;0,564;0,679
Bom Jesus do Norte;0,510;0,622;0,734
Brejetuba;0,431;0,509;0,656
Cachoeiro de Itapemirim;0,524;0,631;0,746
Cariacica;0,497;0,613;0,718
Castelo;0,476;0,651;0,726
Colatina;0,546;0,657;0,746
Conceição da Barra;0,407;0,570;0,681
Conceição do Castelo;0,408;0,551;0,670
Divino de São Lourenço;0,352;0,470;0,632
Domingos Martins;0,388;0,541;0,669
Dores do Rio Preto;0,406;0,570;0,654
Ecoporanga;0,397;0,542;0,662
Fundão;0,495;0,598;0,718
Governador Lindenberg;0,389;0,544;0,694
Guaçuí;0,487;0,599;0,703
Guarapari;0,500;0,637;0,731
Ibatiba;0,374;0,542;0,647
Ibiraçu;0,484;0,652;0,726
Ibitirama;0,356;0,483;0,622
Iconha;0,491;0,654;0,729
Irupi;0,315;0,486;0,637
Itaguaçu;0,471;0,612;0,702
Itapemirim;0,372;0,525;0,654
Itarana;0,480;0,581;0,684
Iúna;0,371;0,531;0,666
Jaguaré;0,423;0,524;0,678
Jerônimo Monteiro;0,452;0,600;0,698
João Neiva;0,536;0,658;0,753
Laranja da Terra;0,355;0,551;0,656
Linhares;0,470;0,621;0,724
Mantenópolis;0,374;0,528;0,657
Marataízes;0,441;0,592;0,696
Marechal Floriano;0,410;0,585;0,710
Marilândia;0,482;0,597;0,696
Mimoso do Sul;0,415;0,572;0,670
Montanha;0,423;0,558;0,667
Mucurici;0,383;0,519;0,666
Muniz Freire;0,399;0,540;0,645
Muqui;0,431;0,589;0,694
Nova Venécia;0,459;0,627;0,712
Pancas;0,359;0,527;0,667
Pedro Canário;0,386;0,544;0,654
Pinheiros;0,424;0,567;0,673
Piúma;0,505;0,624;0,727
Ponto Belo;0,415;0,547;0,669
Presidente Kennedy;0,369;0,532;0,657
Rio Bananal;0,407;0,567;0,681
Rio Novo do Sul;0,480;0,593;0,711
Santa Leopoldina;0,319;0,468;0,626
Santa Maria de Jetibá;0,333;0,502;0,671
Santa Teresa;0,494;0,620;0,714
São Domingos do Norte;0,445;0,562;0,682
São Gabriel da Palha;0,448;0,617;0,709
São José do Calçado;0,461;0,608;0,688
São Mateus;0,470;0,610;0,735
São Roque do Canaã;0,436;0,603;0,700
Serra;0,515;0,634;0,739
Sooretama;0,332;0,523;0,662
Vargem Alta;0,403;0,555;0,663
Venda Nova do Imigrante;0,487;0,654;0,728
Viana;0,438;0,592;0,686
Vila Pavão;0,297;0,518;0,681
Vila Valério;0,372;0,515;0,675
Vila Velha;0,611;0,709;0,800
Vitória;0,644;0,759;0,845
;;;
;;;
;;;
PROADESS - Projeto de Avaliação do Desempenho do Sistema de Saúde;;;
URL: https://www.proadess.icict.fiocruz.br/;;;
