Índice de Desenvolvimento Humano - Municípios da UF: Goiás;;;
Abrangências geográficas;1991;2000;2010
Abadia de Goiás;0,408;0,569;0,708
Abadiânia;0,410;0,503;0,689
Acreúna;0,429;0,571;0,686
Adelândia;0,437;0,529;0,702
Água Fria de Goiás;0,315;0,481;0,671
Água Limpa;0,454;0,585;0,722
Águas Lindas de Goiás;0,387;0,497;0,686
Alexânia;0,378;0,520;0,682
Aloândia;0,453;0,587;0,697
Alto Horizonte;0,342;0,557;0,719
Alto Paraíso de Goiás;0,428;0,572;0,713
Alvorada do Norte;0,402;0,533;0,660
Amaralina;0,264;0,484;0,609
Americano do Brasil;0,422;0,591;0,700
Amorinópolis;0,435;0,559;0,681
Anápolis;0,518;0,641;0,737
Anhanguera;0,518;0,589;0,725
Anicuns;0,428;0,598;0,714
Aparecida de Goiânia;0,445;0,582;0,718
Aparecida do Rio Doce;0,373;0,565;0,693
Aporé;0,372;0,574;0,693
Araçu;0,416;0,567;0,693
Aragarças;0,414;0,594;0,732
Aragoiânia;0,450;0,562;0,684
Araguapaz;0,362;0,553;0,674
Arenópolis;0,415;0,534;0,687
Aruanã;0,355;0,504;0,675
Aurilândia;0,480;0,588;0,700
Avelinópolis;0,430;0,559;0,660
Baliza;0,321;0,490;0,655
Barro Alto;0,399;0,543;0,742
Bela Vista de Goiás;0,446;0,560;0,716
Bom Jardim de Goiás;0,421;0,542;0,670
Bom Jesus de Goiás;0,450;0,570;0,701
Bonfinópolis;0,413;0,548;0,683
Bonópolis;0,261;0,451;0,630
Brazabrantes;0,415;0,538;0,701
Britânia;0,429;0,548;0,672
Buriti Alegre;0,493;0,589;0,710
Buriti de Goiás;0,401;0,530;0,687
Buritinópolis;0,261;0,433;0,704
Cabeceiras;0,392;0,546;0,668
Cachoeira Alta;0,475;0,579;0,710
Cachoeira de Goiás;0,378;0,575;0,727
Cachoeira Dourada;0,440;0,589;0,698
Caçu;0,452;0,621;0,730
Caiapônia;0,442;0,562;0,693
Caldas Novas;0,497;0,623;0,733
Caldazinha;0,380;0,542;0,685
Campestre de Goiás;0,420;0,524;0,653
Campinaçu;0,373;0,494;0,631
Campinorte;0,389;0,547;0,688
Campo Alegre de Goiás;0,466;0,608;0,694
Campo Limpo de Goiás;0,324;0,495;0,661
Campos Belos;0,408;0,511;0,692
Campos Verdes;0,320;0,519;0,654
Carmo do Rio Verde;0,449;0,578;0,713
Castelândia;0,374;0,546;0,701
Catalão;0,533;0,662;0,766
Caturaí;0,396;0,527;0,664
Cavalcante;0,285;0,396;0,584
Ceres;0,543;0,654;0,775
Cezarina;0,434;0,581;0,711
Chapadão do Céu;0,425;0,618;0,742
Cidade Ocidental;0,538;0,638;0,717
Cocalzinho de Goiás;0,363;0,506;0,657
Colinas do Sul;0,377;0,472;0,658
Córrego do Ouro;0,428;0,550;0,686
Corumbá de Goiás;0,333;0,500;0,680
Corumbaíba;0,427;0,573;0,698
Cristalina;0,474;0,578;0,699
Cristianópolis;0,403;0,623;0,688
Crixás;0,404;0,565;0,708
Cromínia;0,429;0,617;0,706
Cumari;0,465;0,625;0,737
Damianópolis;0,368;0,496;0,654
Damolândia;0,478;0,563;0,697
Davinópolis;0,437;0,587;0,716
Diorama;0,414;0,558;0,729
Doverlândia;0,331;0,504;0,668
Edealina;0,415;0,600;0,702
Edéia;0,465;0,589;0,739
Estrela do Norte;0,431;0,550;0,707
Faina;0,347;0,504;0,650
Fazenda Nova;0,434;0,573;0,685
Firminópolis;0,499;0,610;0,732
Flores de Goiás;0,231;0,447;0,597
Formosa;0,482;0,598;0,744
Formoso;0,467;0,576;0,715
Gameleira de Goiás;0,233;0,446;0,659
Divinópolis de Goiás;0,374;0,521;0,653
Goianápolis;0,400;0,507;0,703
Goiandira;0,521;0,639;0,760
Goianésia;0,448;0,571;0,727
