Índice de Desenvolvimento Humano - Municípios da UF: Maranhão;;;
Abrangências geográficas;1991;2000;2010
Açailândia;0,344;0,498;0,672
Afonso Cunha;0,278;0,337;0,529
Água Doce do Maranhão;0,210;0,293;0,500
Alcântara;0,271;0,405;0,573
Aldeias Altas;0,257;0,349;0,513
Altamira do Maranhão;0,270;0,384;0,549
Alto Alegre do Maranhão;0,209;0,331;0,554
Alto Alegre do Pindaré;0,190;0,336;0,558
Alto Parnaíba;0,308;0,435;0,633
Amapá do Maranhão;0,165;0,327;0,520
Amarante do Maranhão;0,284;0,374;0,555
Anajatuba;0,260;0,397;0,581
Anapurus;0,292;0,421;0,581
Apicum-Açu;0,238;0,327;0,568
Araguanã;0,184;0,359;0,533
Araioses;0,199;0,298;0,521
Arame;0,210;0,334;0,512
Arari;0,331;0,470;0,626
Axixá;0,310;0,464;0,641
Bacabal;0,372;0,481;0,651
Bacabeira;0,341;0,433;0,629
Bacuri;0,272;0,403;0,578
Bacurituba;0,216;0,369;0,537
Balsas;0,347;0,521;0,687
Barão de Grajaú;0,310;0,424;0,592
Barra do Corda;0,287;0,423;0,606
Barreirinhas;0,251;0,361;0,570
Belágua;0,199;0,320;0,512
Bela Vista do Maranhão;0,175;0,355;0,554
Benedito Leite;0,240;0,379;0,546
Bequimão;0,299;0,422;0,601
Bernardo do Mearim;0,262;0,413;0,604
Boa Vista do Gurupi;0,256;0,369;0,545
Bom Jardim;0,237;0,332;0,538
Bom Jesus das Selvas;0,198;0,364;0,558
Bom Lugar;0,229;0,382;0,562
Brejo;0,305;0,383;0,562
Brejo de Areia;0,194;0,317;0,519
Buriti;0,240;0,379;0,548
Buriti Bravo;0,308;0,395;0,590
Buriticupu;0,237;0,342;0,556
Buritirana;0,190;0,376;0,583
Cachoeira Grande;0,256;0,344;0,537
Cajapió;0,246;0,388;0,553
Cajari;0,257;0,331;0,523
Campestre do Maranhão;0,249;0,441;0,652
Cândido Mendes;0,275;0,382;0,561
Cantanhede;0,293;0,378;0,565
Capinzal do Norte;0,274;0,367;0,537
