Índice de Desenvolvimento Humano - Municípios da UF: Minas Gerais;;;
Abrangências geográficas;1991;2000;2010
Abadia dos Dourados;0,449;0,575;0,689
Abaeté;0,417;0,587;0,698
Abre Campo;0,379;0,540;0,654
Acaiaca;0,336;0,518;0,630
Açucena;0,267;0,443;0,610
Água Boa;0,256;0,451;0,576
Água Comprida;0,442;0,604;0,675
Aguanil;0,405;0,574;0,663
Águas Formosas;0,382;0,508;0,645
Águas Vermelhas;0,330;0,466;0,601
Aimorés;0,429;0,593;0,684
Aiuruoca;0,377;0,550;0,668
Alagoa;0,441;0,542;0,649
Albertina;0,403;0,546;0,673
Além Paraíba;0,553;0,650;0,726
Alfenas;0,536;0,675;0,761
Alfredo Vasconcelos;0,405;0,573;0,675
Almenara;0,382;0,529;0,642
Alpercata;0,374;0,549;0,646
Alpinópolis;0,433;0,633;0,725
Alterosa;0,370;0,565;0,668
Alto Caparaó;0,398;0,570;0,661
Alto Rio Doce;0,298;0,493;0,620
Alvarenga;0,315;0,482;0,592
Alvinópolis;0,443;0,574;0,676
Alvorada de Minas;0,316;0,434;0,572
Amparo do Serra;0,353;0,458;0,641
Andradas;0,499;0,644;0,734
Cachoeira de Pajeú;0,284;0,417;0,578
Andrelândia;0,441;0,571;0,700
Angelândia;0,289;0,413;0,597
Antônio Carlos;0,422;0,564;0,683
Antônio Dias;0,330;0,497;0,645
Antônio Prado de Minas;0,421;0,590;0,684
Araçaí;0,477;0,576;0,695
Aracitaba;0,414;0,525;0,661
Araçuaí;0,338;0,516;0,663
Araguari;0,549;0,673;0,773
Arantina;0,471;0,606;0,697
Araponga;0,277;0,393;0,536
Araporã;0,428;0,605;0,708
Arapuá;0,459;0,648;0,724
Araújos;0,434;0,608;0,698
Araxá;0,549;0,683;0,772
Arceburgo;0,461;0,571;0,683
Arcos;0,478;0,669;0,749
Areado;0,478;0,605;0,727
Argirita;0,411;0,551;0,643
Aricanduva;0,210;0,413;0,582
Arinos;0,349;0,514;0,656
Astolfo Dutra;0,491;0,632;0,694
Ataléia;0,283;0,460;0,588
Augusto de Lima;0,315;0,510;0,656
Baependi;0,430;0,581;0,681
Baldim;0,430;0,592;0,671
Bambuí;0,498;0,645;0,741
Bandeira;0,249;0,431;0,599
Bandeira do Sul;0,419;0,539;0,692
Barão de Cocais;0,459;0,613;0,722
Barão de Monte Alto;0,405;0,497;0,649
Barbacena;0,541;0,664;0,769
Barra Longa;0,359;0,487;0,624
Barroso;0,493;0,602;0,734
Bela Vista de Minas;0,426;0,574;0,674
Belmiro Braga;0,389;0,521;0,660
Belo Horizonte;0,602;0,726;0,810
Belo Oriente;0,382;0,544;0,686
Belo Vale;0,373;0,560;0,655
Berilo;0,340;0,497;0,628
Bertópolis;0,316;0,437;0,594
Berizal;0,242;0,440;0,604
Betim;0,450;0,612;0,749
Bias Fortes;0,371;0,515;0,620
Bicas;0,575;0,673;0,744
Biquinhas;0,410;0,563;0,688
Boa Esperança;0,453;0,617;0,704
Bocaina de Minas;0,372;0,529;0,645
Bocaiúva;0,410;0,577;0,700
Bom Despacho;0,492;0,665;0,750
Bom Jardim de Minas;0,451;0,576;0,673
Bom Jesus da Penha;0,418;0,618;0,735
Bom Jesus do Amparo;0,410;0,555;0,683
Bom Jesus do Galho;0,348;0,470;0,623
Bom Repouso;0,385;0,539;0,653
Bom Sucesso;0,444;0,590;0,692
Bonfim;0,356;0,515;0,637
Bonfinópolis de Minas;0,428;0,567;0,678
Bonito de Minas;0,239;0,336;0,537
Borda da Mata;0,507;0,615;0,730
Botelhos;0,456;0,602;0,702
Botumirim;0,344;0,479;0,602
Brasilândia de Minas;0,392;0,564;0,674
Brasília de Minas;0,345;0,513;0,656
Brás Pires;0,352;0,490;0,625
Braúnas;0,343;0,459;0,624
Brazópolis;0,437;0,579;0,692
Brumadinho;0,477;0,627;0,747
Bueno Brandão;0,369;0,550;0,658
Buenópolis;0,377;0,544;0,669
Bugre;0,259;0,464;0,627
Buritis;0,377;0,566;0,672
Buritizeiro;0,326;0,497;0,624
Cabeceira Grande;0,352;0,523;0,648
Cabo Verde;0,377;0,588;0,674
Cachoeira da Prata;0,516;0,651;0,741
Cachoeira de Minas;0,469;0,608;0,706
Cachoeira Dourada;0,431;0,616;0,726
Caetanópolis;0,430;0,603;0,706
Caeté;0,501;0,661;0,728
Caiana;0,384;0,538;0,633
Cajuri;0,334;0,534;0,617
Caldas;0,467;0,602;0,687
Camacho;0,344;0,536;0,690
Camanducaia;0,413;0,559;0,689
Cambuí;0,457;0,654;0,751
Cambuquira;0,466;0,600;0,699
Campanário;0,372;0,534;0,616
Campanha;0,469;0,630;0,709
Campestre;0,431;0,578;0,698
Campina Verde;0,446;0,621;0,704
Campo Azul;0,337;0,488;0,621
Campo Belo;0,488;0,632;0,711
Campo do Meio;0,431;0,576;0,683
Campo Florido;0,507;0,587;0,706
