Índice de Desenvolvimento Humano - Municípios da UF: Mato Grosso do Sul;;;
Abrangências geográficas;1991;2000;2010
Água Clara;0,353;0,534;0,670
Alcinópolis;0,295;0,536;0,711
Amambai;0,447;0,576;0,673
Anastácio;0,362;0,517;0,663
Anaurilândia;0,359;0,516;0,670
Angélica;0,427;0,552;0,697
Antônio João;0,373;0,509;0,643
Aparecida do Taboado;0,473;0,579;0,697
Aquidauana;0,447;0,556;0,688
Aral Moreira;0,397;0,520;0,633
Bandeirantes;0,428;0,538;0,681
Bataguassu;0,458;0,601;0,710
Batayporã;0,401;0,508;0,684
Bela Vista;0,468;0,580;0,698
Bodoquena;0,345;0,513;0,666
Bonito;0,406;0,564;0,670
Brasilândia;0,366;0,547;0,701
Caarapó;0,422;0,548;0,692
Camapuã;0,452;0,582;0,703
Campo Grande;0,563;0,673;0,784
Caracol;0,379;0,484;0,647
Cassilândia;0,514;0,615;0,727
Chapadão do Sul;0,541;0,656;0,754
Corguinho;0,334;0,502;0,671
Coronel Sapucaia;0,337;0,488;0,589
Corumbá;0,509;0,584;0,700
Costa Rica;0,450;0,596;0,706
Coxim;0,423;0,607;0,703
Deodápolis;0,407;0,583;0,694
Dois Irmãos do Buriti;0,332;0,447;0,639
Douradina;0,442;0,567;0,699
Dourados;0,512;0,636;0,747
Eldorado;0,386;0,551;0,684
Fátima do Sul;0,473;0,596;0,714
Figueirão;0,424;0,508;0,660
Glória de Dourados;0,485;0,604;0,721
Guia Lopes da Laguna;0,420;0,567;0,675
Iguatemi;0,395;0,542;0,662
Inocência;0,423;0,573;0,681
Itaporã;0,447;0,550;0,654
Itaquiraí;0,323;0,498;0,620
Ivinhema;0,418;0,590;0,720
Japorã;0,290;0,399;0,526
Jaraguari;0,359;0,503;0,664
Jardim;0,473;0,590;0,712
Jateí;0,404;0,560;0,708
Juti;0,353;0,480;0,623
Ladário;0,503;0,605;0,704
Laguna Carapã;0,363;0,535;0,672
Maracaju;0,480;0,597;0,736
Miranda;0,389;0,500;0,632
Mundo Novo;0,470;0,585;0,686
Naviraí;0,446;0,572;0,700
Nioaque;0,360;0,504;0,639
Nova Alvorada do Sul;0,360;0,539;0,694
Nova Andradina;0,456;0,630;0,721
Novo Horizonte do Sul;0,242;0,494;0,649
Paraíso das Águas;**;**;**
Paranaíba;0,468;0,591;0,721
Paranhos;0,336;0,441;0,588
Pedro Gomes;0,403;0,515;0,671
Ponta Porã;0,495;0,600;0,701
Porto Murtinho;0,347;0,501;0,666
Ribas do Rio Pardo;0,383;0,514;0,664
Rio Brilhante;0,475;0,584;0,715
Rio Negro;0,404;0,580;0,709
Rio Verde de Mato Grosso;0,425;0,552;0,673
Rochedo;0,362;0,542;0,651
Santa Rita do Pardo;0,295;0,514;0,642
São Gabriel do Oeste;0,526;0,658;0,729
Sete Quedas;0,393;0,512;0,614
Selvíria;0,386;0,554;0,682
Sidrolândia;0,453;0,562;0,686
Sonora;0,384;0,553;0,681
Tacuru;0,343;0,469;0,593
Taquarussu;0,373;0,510;0,651
Terenos;0,412;0,529;0,658
Três Lagoas;0,505;0,630;0,744
Vicentina;0,421;0,594;0,711
** - Sem informação.;;;
;;;
;;;
;;;
PROADESS - Projeto de Avaliação do Desempenho do Sistema de Saúde;;;
URL: https://www.proadess.icict.fiocruz.br/;;;
