Índice de Desenvolvimento Humano - Municípios da UF: Pará;;;
Abrangências geográficas;1991;2000;2010
Abaetetuba;0,386;0,501;0,628
Abel Figueiredo;0,357;0,508;0,622
Acará;0,254;0,350;0,506
Afuá;0,250;0,330;0,489
Água Azul do Norte;0,208;0,376;0,564
Alenquer;0,328;0,433;0,564
Almeirim;0,395;0,526;0,642
Altamira;0,386;0,534;0,665
Anajás;0,197;0,307;0,484
Ananindeua;0,516;0,606;0,718
Anapu;0,250;0,392;0,548
Augusto Corrêa;0,238;0,335;0,520
Aurora do Pará;0,259;0,358;0,519
Aveiro;0,281;0,368;0,541
Bagre;0,241;0,330;0,471
Baião;0,336;0,459;0,578
Bannach;0,305;0,424;0,594
Barcarena;0,447;0,554;0,662
Belém;0,562;0,644;0,746
Belterra;0,311;0,396;0,588
Benevides;0,368;0,529;0,665
Bom Jesus do Tocantins;0,309;0,429;0,589
Bonito;0,241;0,381;0,546
Bragança;0,325;0,458;0,600
Brasil Novo;0,288;0,433;0,613
Brejo Grande do Araguaia;0,258;0,496;0,591
Breu Branco;0,293;0,422;0,568
Breves;0,284;0,372;0,503
Bujaru;0,336;0,395;0,552
Cachoeira do Piriá;0,203;0,301;0,473
Cachoeira do Arari;0,324;0,427;0,546
Cametá;0,328;0,432;0,577
Canaã dos Carajás;0,276;0,456;0,673
Capanema;0,425;0,533;0,655
Capitão Poço;0,279;0,379;0,548
Castanhal;0,424;0,550;0,673
Chaves;0,179;0,289;0,453
Colares;0,389;0,524;0,602
Conceição do Araguaia;0,371;0,512;0,640
Concórdia do Pará;0,287;0,402;0,566
Cumaru do Norte;0,309;0,405;0,550
Curionópolis;0,326;0,449;0,636
Curralinho;0,229;0,323;0,502
Curuá;0,194;0,383;0,578
Curuçá;0,339;0,474;0,582
Dom Eliseu;0,299;0,452;0,615
Eldorado do Carajás;0,260;0,389;0,560
Faro;0,281;0,431;0,563
Floresta do Araguaia;0,209;0,411;0,583
Garrafão do Norte;0,183;0,331;0,526
Goianésia do Pará;0,235;0,422;0,560
Gurupá;0,209;0,349;0,509
Igarapé-Açu;0,341;0,459;0,595
Igarapé-Miri;0,322;0,416;0,547
Inhangapi;0,327;0,438;0,572
Ipixuna do Pará;0,268;0,317;0,489
Irituia;0,271;0,419;0,559
Itaituba;0,355;0,489;0,640
Itupiranga;0,258;0,354;0,528
Jacareacanga;0,242;0,371;0,505
Jacundá;0,367;0,477;0,622
Juruti;0,313;0,389;0,592
Limoeiro do Ajuru;0,300;0,373;0,541
Mãe do Rio;0,382;0,466;0,599
Magalhães Barata;0,342;0,429;0,597
Marabá;0,401;0,536;0,668
Maracanã;0,313;0,406;0,570
Marapanim;0,337;0,448;0,609
Marituba;0,397;0,505;0,676
Medicilândia;0,293;0,470;0,582
Melgaço;0,177;0,260;0,418
Mocajuba;0,354;0,443;0,575
Moju;0,289;0,399;0,547
Mojuí dos Campos;**;**;**
Monte Alegre;0,349;0,467;0,589
Muaná;0,305;0,350;0,547
Nova Esperança do Piriá;0,229;0,315;0,502
Nova Ipixuna;0,238;0,432;0,581
Nova Timboteua;0,361;0,469;0,609
Novo Progresso;0,377;0,466;0,673
Novo Repartimento;0,222;0,372;0,537
Óbidos;0,347;0,452;0,594
Oeiras do Pará;0,268;0,360;0,507
Oriximiná;0,390;0,517;0,623
Ourém;0,332;0,436;0,568
Ourilândia do Norte;0,309;0,438;0,624
Pacajá;0,257;0,340;0,515
Palestina do Pará;0,295;0,455;0,589
Paragominas;0,336;0,471;0,645
Parauapebas;0,439;0,553;0,715
Pau D'Arco;0,230;0,401;0,574
Peixe-Boi;0,337;0,446;0,581
Piçarra;0,208;0,370;0,563
Placas;0,276;0,390;0,552
Ponta de Pedras;0,335;0,444;0,562
Portel;0,272;0,359;0,483
Porto de Moz;0,218;0,360;0,503
Prainha;0,245;0,361;0,523
Primavera;0,248;0,430;0,577
Quatipuru;0,270;0,406;0,543
Redenção;0,374;0,530;0,672
Rio Maria;0,295;0,499;0,638
Rondon do Pará;0,392;0,461;0,602
Rurópolis;0,257;0,421;0,548
Salinópolis;0,399;0,517;0,647
Salvaterra;0,391;0,478;0,608
Santa Bárbara do Pará;0,369;0,505;0,627
Santa Cruz do Arari;0,300;0,393;0,557
Santa Izabel do Pará;0,447;0,535;0,659
Santa Luzia do Pará;0,274;0,362;0,546
Santa Maria das Barreiras;0,327;0,408;0,544
Santa Maria do Pará;0,368;0,463;0,598
Santana do Araguaia;0,331;0,450;0,602
Santarém;0,421;0,555;0,691
Santarém Novo;0,337;0,424;0,587
Santo Antônio do Tauá;0,365;0,475;0,632
São Caetano de Odivelas;0,337;0,464;0,585
São Domingos do Araguaia;0,285;0,454;0,594
São Domingos do Capim;0,330;0,371;0,532
São Félix do Xingu;0,315;0,435;0,594
São Francisco do Pará;0,371;0,476;0,608
São Geraldo do Araguaia;0,256;0,415;0,595
São João da Ponta;0,282;0,448;0,583
São João de Pirabas;0,306;0,415;0,539
São João do Araguaia;0,233;0,349;0,550
São Miguel do Guamá;0,322;0,453;0,591
São Sebastião da Boa Vist;0,288;0,422;0,558
Sapucaia;0,311;0,469;0,590
Senador José Porfírio;0,253;0,361;0,514
Soure;0,427;0,513;0,615
Tailândia;0,340;0,433;0,588
Terra Alta;0,266;0,474;0,605
Terra Santa;0,334;0,490;0,635
Tomé-Açu;0,347;0,438;0,586
Tracuateua;0,250;0,357;0,531
Trairão;0,271;0,395;0,562
Tucumã;0,305;0,512;0,659
Tucuruí;0,421;0,543;0,666
Ulianópolis;0,277;0,420;0,604
Uruará;0,298;0,450;0,589
Vigia;0,372;0,487;0,617
Viseu;0,237;0,353;0,515
Vitória do Xingu;0,262;0,422;0,596
Xinguara;0,374;0,519;0,646
** - Sem informação.;;;
;;;
;;;
;;;
PROADESS - Projeto de Avaliação do Desempenho do Sistema de Saúde;;;
URL: https://www.proadess.icict.fiocruz.br/;;;
