Índice de Desenvolvimento Humano - Municípios da UF: Paraíba;;;
Abrangências geográficas;1991;2000;2010
Água Branca;0,267;0,415;0,572
Aguiar;0,273;0,392;0,597
Alagoa Grande;0,322;0,426;0,582
Alagoa Nova;0,306;0,389;0,576
Alagoinha;0,257;0,411;0,595
Alcantil;0,321;0,408;0,578
Algodão de Jandaíra;0,182;0,313;0,548
Alhandra;0,276;0,415;0,582
São João do Rio do Peixe;0,300;0,448;0,608
Amparo;0,260;0,392;0,606
Aparecida;0,253;0,425;0,578
Araçagi;0,260;0,389;0,549
Arara;0,282;0,387;0,548
Araruna;0,267;0,381;0,567
Areia;0,332;0,425;0,594
Areia de Baraúnas;0,188;0,385;0,562
Areial;0,338;0,448;0,608
Aroeiras;0,247;0,382;0,548
Assunção;0,247;0,406;0,609
Baía da Traição;0,329;0,413;0,581
Bananeiras;0,281;0,401;0,568
Baraúna;0,219;0,398;0,558
Barra de Santana;0,273;0,407;0,567
Barra de Santa Rosa;0,277;0,382;0,562
Barra de São Miguel;0,247;0,429;0,572
Bayeux;0,407;0,505;0,649
Belém;0,293;0,424;0,592
Belém do Brejo do Cruz;0,283;0,423;0,578
Bernardino Batista;0,239;0,391;0,558
Boa Ventura;0,323;0,386;0,599
Boa Vista;0,357;0,498;0,649
Bom Jesus;0,298;0,415;0,597
Bom Sucesso;0,343;0,460;0,592
Bonito de Santa Fé;0,293;0,413;0,574
Boqueirão;0,312;0,430;0,607
Igaracy;0,268;0,408;0,610
Borborema;0,285;0,428;0,558
Brejo do Cruz;0,342;0,469;0,597
Brejo dos Santos;0,299;0,451;0,619
Caaporã;0,278;0,407;0,602
Cabaceiras;0,352;0,470;0,611
Cabedelo;0,444;0,599;0,748
Cachoeira dos Índios;0,256;0,394;0,587
Cacimba de Areia;0,276;0,413;0,596
Cacimba de Dentro;0,236;0,372;0,564
Cacimbas;0,168;0,312;0,523
Caiçara;0,266;0,425;0,592
Cajazeiras;0,428;0,528;0,679
Cajazeirinhas;0,160;0,357;0,550
Caldas Brandão;0,249;0,380;0,568
Camalaú;0,328;0,405;0,567
Campina Grande;0,476;0,601;0,720
Capim;0,175;0,330;0,533
Caraúbas;0,300;0,440;0,585
Carrapateira;0,352;0,433;0,603
Casserengue;0,147;0,305;0,514
Catingueira;0,252;0,398;0,574
Catolé do Rocha;0,371;0,495;0,640
