Índice de Desenvolvimento Humano - Municípios da UF: Pernambuco;;;
Abrangências geográficas;1991;2000;2010
Abreu e Lima;0,455;0,561;0,679
Afogados da Ingazeira;0,383;0,518;0,657
Afrânio;0,263;0,386;0,588
Agrestina;0,305;0,436;0,592
Água Preta;0,287;0,388;0,553
Águas Belas;0,260;0,358;0,526
Alagoinha;0,354;0,457;0,599
Aliança;0,287;0,431;0,604
Altinho;0,310;0,444;0,598
Amaraji;0,309;0,423;0,580
Angelim;0,326;0,434;0,572
Araçoiaba;0,271;0,429;0,592
Araripina;0,307;0,441;0,602
Arcoverde;0,476;0,556;0,667
Barra de Guabiraba;0,306;0,371;0,577
Barreiros;0,404;0,471;0,586
Belém de Maria;0,288;0,404;0,578
Belém do São Francisco;0,387;0,482;0,642
Belo Jardim;0,377;0,477;0,629
Betânia;0,276;0,409;0,559
Bezerros;0,338;0,458;0,606
Bodocó;0,281;0,391;0,565
Bom Conselho;0,296;0,400;0,563
Bom Jardim;0,333;0,442;0,602
Bonito;0,309;0,414;0,561
Brejão;0,287;0,364;0,547
Brejinho;0,271;0,401;0,574
Brejo da Madre de Deus;0,298;0,404;0,562
Buenos Aires;0,311;0,447;0,593
Buíque;0,275;0,377;0,527
Cabo de Santo Agostinho;0,427;0,547;0,686
Cabrobó;0,381;0,466;0,623
Cachoeirinha;0,363;0,481;0,579
Caetés;0,241;0,336;0,522
Calçado;0,313;0,410;0,566
Calumbi;0,321;0,410;0,571
Camaragibe;0,468;0,582;0,692
Camocim de São Félix;0,321;0,445;0,588
Camutanga;0,373;0,466;0,606
Canhotinho;0,264;0,395;0,541
Capoeiras;0,270;0,406;0,549
Carnaíba;0,291;0,432;0,583
Carnaubeira da Penha;0,227;0,331;0,573
Carpina;0,448;0,562;0,680
Caruaru;0,481;0,558;0,677
Casinhas;0,292;0,417;0,567
Catende;0,369;0,467;0,609
Cedro;0,311;0,459;0,615
Chã de Alegria;0,312;0,447;0,604
Chã Grande;0,282;0,427;0,599
Condado;0,374;0,476;0,602
Correntes;0,303;0,398;0,536
Cortês;0,281;0,402;0,568
Cumaru;0,294;0,379;0,572
Cupira;0,344;0,442;0,592
Custódia;0,329;0,459;0,594
Dormentes;0,243;0,403;0,589
Escada;0,346;0,479;0,632
Exu;0,291;0,412;0,576
Feira Nova;0,305;0,437;0,600
Fernando de Noronha;0,548;0,694;0,788
Ferreiros;0,355;0,450;0,622
Flores;0,286;0,420;0,556
Floresta;0,417;0,517;0,626
Frei Miguelinho;0,314;0,414;0,576
Gameleira;0,326;0,424;0,602
Garanhuns;0,466;0,533;0,664
Glória do Goitá;0,334;0,437;0,604
Goiana;0,405;0,511;0,651
Granito;0,259;0,408;0,595
Gravatá;0,372;0,496;0,634
