Índice de Desenvolvimento Humano - Municípios da UF: Piauí;;;
Abrangências geográficas;1991;2000;2010
Acauã;0,143;0,274;0,528
Agricolândia;0,379;0,447;0,599
Água Branca;0,420;0,506;0,639
Alagoinha do Piauí;0,226;0,368;0,531
Alegrete do Piauí;0,265;0,431;0,585
Alto Longá;0,258;0,367;0,585
Altos;0,316;0,424;0,614
Alvorada do Gurguéia;0,273;0,403;0,578
Amarante;0,364;0,460;0,598
Angical do Piauí;0,410;0,476;0,630
Anísio de Abreu;0,289;0,425;0,594
Antônio Almeida;0,320;0,478;0,620
Aroazes;0,281;0,416;0,583
Aroeiras do Itaim;0,157;0,208;0,519
Arraial;0,260;0,412;0,560
Assunção do Piauí;0,170;0,341;0,499
Avelino Lopes;0,256;0,367;0,554
Baixa Grande do Ribeiro;0,202;0,349;0,564
Barra D'Alcântara;0,185;0,376;0,577
Barras;0,270;0,417;0,595
Barreiras do Piauí;0,358;0,413;0,557
Barro Duro;0,374;0,481;0,612
Batalha;0,279;0,377;0,545
Bela Vista do Piauí;0,146;0,301;0,576
Belém do Piauí;0,179;0,324;0,551
Beneditinos;0,293;0,392;0,557
Bertolínia;0,343;0,441;0,612
Betânia do Piauí;0,160;0,257;0,489
Boa Hora;0,197;0,351;0,575
Bocaina;0,340;0,483;0,632
Bom Jesus;0,376;0,486;0,668
Bom Princípio do Piauí;0,200;0,345;0,532
Bonfim do Piauí;0,210;0,402;0,542
Boqueirão do Piauí;0,200;0,316;0,560
Brasileira;0,270;0,396;0,577
Brejo do Piauí;0,154;0,278;0,515
Buriti dos Lopes;0,227;0,382;0,565
Buriti dos Montes;0,194;0,368;0,574
Cabeceiras do Piauí;0,210;0,362;0,583
Cajazeiras do Piauí;0,194;0,333;0,562
Cajueiro da Praia;0,167;0,365;0,546
Caldeirão Grande do Piauí;0,177;0,333;0,588
Campinas do Piauí;0,274;0,371;0,544
Campo Alegre do Fidalgo;0,140;0,277;0,537
Campo Grande do Piauí;0,191;0,350;0,560
Campo Largo do Piauí;0,160;0,336;0,528
Campo Maior;0,397;0,500;0,656
Canavieira;0,267;0,388;0,583
Canto do Buriti;0,314;0,426;0,576
Capitão de Campos;0,294;0,396;0,583
Capitão Gervásio Oliveira;0,121;0,288;0,553
Caracol;0,257;0,385;0,552
Caraúbas do Piauí;0,120;0,272;0,505
Caridade do Piauí;0,152;0,349;0,541
Castelo do Piauí;0,288;0,399;0,587
Caxingó;0,142;0,267;0,488
Cocal;0,219;0,319;0,497
Cocal de Telha;0,252;0,384;0,555
Cocal dos Alves;0,154;0,264;0,498
Coivaras;0,230;0,370;0,565
Colônia do Gurguéia;0,337;0,445;0,628
Colônia do Piauí;0,233;0,335;0,588
Conceição do Canindé;0,282;0,390;0,589
Coronel José Dias;0,216;0,386;0,546
Corrente;0,386;0,474;0,642
Cristalândia do Piauí;0,288;0,416;0,573
Cristino Castro;0,344;0,460;0,566
Curimatá;0,329;0,489;0,607
Currais;0,226;0,339;0,542
Curralinhos;0,233;0,341;0,555
Curral Novo do Piauí;0,227;0,350;0,527
Demerval Lobão;0,355;0,455;0,618
Dirceu Arcoverde;0,291;0,407;0,561
Dom Expedito Lopes;0,377;0,466;0,601
Domingos Mourão;0,206;0,338;0,550
Dom Inocêncio;0,188;0,279;0,549
Elesbão Veloso;0,308;0,404;0,580
Eliseu Martins;0,343;0,449;0,595
Esperantina;0,311;0,420;0,605
Fartura do Piauí;0,210;0,370;0,548
Flores do Piauí;0,296;0,353;0,547
Floresta do Piauí;0,166;0,295;0,538
Floriano;0,436;0,558;0,700
