Índice de Desenvolvimento Humano - Municípios da UF: Paraná;;;
Abrangências geográficas;1991;2000;2010
Abatiá;0,423;0,553;0,687
Adrianópolis;0,400;0,542;0,667
Agudos do Sul;0,351;0,513;0,660
Almirante Tamandaré;0,437;0,583;0,699
Altamira do Paraná;0,333;0,496;0,667
Altônia;0,468;0,610;0,721
Alto Paraná;0,467;0,607;0,696
Alto Piquiri;0,401;0,587;0,676
Alvorada do Sul;0,504;0,646;0,708
Amaporã;0,407;0,592;0,669
Ampére;0,419;0,615;0,709
Anahy;0,398;0,595;0,695
Andirá;0,504;0,644;0,725
Ângulo;0,459;0,629;0,721
Antonina;0,438;0,582;0,687
Antônio Olinto;0,317;0,495;0,656
Apucarana;0,535;0,669;0,748
Arapongas;0,551;0,669;0,748
Arapoti;0,465;0,631;0,723
Arapuã;0,355;0,543;0,676
Araruna;0,439;0,602;0,704
Araucária;0,484;0,628;0,740
Ariranha do Ivaí;0,332;0,517;0,670
Assaí;0,522;0,618;0,728
Assis Chateaubriand;0,505;0,678;0,729
Astorga;0,515;0,639;0,747
Atalaia;0,470;0,651;0,736
Balsa Nova;0,457;0,605;0,696
Bandeirantes;0,484;0,641;0,727
Barbosa Ferraz;0,432;0,580;0,696
Barracão;0,469;0,613;0,706
Barra do Jacaré;0,474;0,663;0,744
Bela Vista da Caroba;0,351;0,545;0,681
Bela Vista do Paraíso;0,482;0,641;0,716
Bituruna;0,392;0,533;0,667
Boa Esperança;0,462;0,615;0,720
Boa Esperança do Iguaçu;0,391;0,565;0,700
Boa Ventura de São Roque;0,208;0,515;0,655
Boa Vista da Aparecida;0,334;0,559;0,670
Bocaiúva do Sul;0,376;0,523;0,640
Bom Jesus do Sul;0,358;0,544;0,697
Bom Sucesso;0,378;0,573;0,686
Bom Sucesso do Sul;0,430;0,638;0,742
Borrazópolis;0,421;0,595;0,717
Braganey;0,401;0,537;0,701
Brasilândia do Sul;0,359;0,582;0,681
Cafeara;0,435;0,586;0,693
Cafelândia;0,516;0,666;0,748
Cafezal do Sul;0,357;0,580;0,692
Califórnia;0,468;0,611;0,722
Cambará;0,550;0,645;0,721
Cambé;0,497;0,661;0,734
Cambira;0,476;0,633;0,725
Campina da Lagoa;0,433;0,598;0,704
Campina do Simão;0,247;0,491;0,630
Campina Grande do Sul;0,433;0,597;0,718
Campo Bonito;0,371;0,512;0,681
Campo do Tenente;0,383;0,550;0,686
Campo Largo;0,486;0,639;0,745
Campo Magro;0,404;0,579;0,701
Campo Mourão;0,524;0,675;0,757
Cândido de Abreu;0,287;0,460;0,629
Candói;0,309;0,509;0,635
Cantagalo;0,334;0,516;0,635
Capanema;0,488;0,607;0,706
Capitão Leônidas Marques;0,415;0,626;0,716
Carambeí;0,455;0,647;0,728
Carlópolis;0,463;0,590;0,713
Cascavel;0,544;0,692;0,782
Castro;0,456;0,613;0,703
Catanduvas;0,421;0,569;0,678
Centenário do Sul;0,444;0,603;0,668
Cerro Azul;0,297;0,450;0,573
Céu Azul;0,478;0,644;0,732
Chopinzinho;0,424;0,623;0,740
Cianorte;0,505;0,639;0,755
Cidade Gaúcha;0,455;0,608;0,718
Clevelândia;0,432;0,550;0,694
Colombo;0,474;0,630;0,733
Colorado;0,504;0,649;0,730
Congonhinhas;0,397;0,534;0,668
Conselheiro Mairinck;0,422;0,588;0,707
Contenda;0,433;0,601;0,681
Corbélia;0,497;0,625;0,738
Cornélio Procópio;0,554;0,689;0,759
Coronel Domingos Soares;0,260;0,426;0,600
Coronel Vivida;0,463;0,607;0,723
Corumbataí do Sul;0,304;0,507;0,638
Cruzeiro do Iguaçu;0,381;0,562;0,709
Cruzeiro do Oeste;0,455;0,623;0,717
Cruzeiro do Sul;0,437;0,582;0,713
Cruz Machado;0,328;0,492;0,664
Cruzmaltina;0,379;0,546;0,666
Curitiba;0,640;0,750;0,823
Curiúva;0,332;0,482;0,656
Diamante do Norte;0,456;0,613;0,723
Diamante do Sul;0,332;0,488;0,608
Diamante D'Oeste;0,378;0,532;0,644
Dois Vizinhos;0,443;0,658;0,767
Douradina;0,452;0,591;0,724
Doutor Camargo;0,514;0,648;0,746
Enéas Marques;0,416;0,634;0,752
Engenheiro Beltrão;0,489;0,650;0,730
Esperança Nova;0,397;0,584;0,689
Entre Rios do Oeste;0,542;0,714;0,761
Espigão Alto do Iguaçu;0,319;0,529;0,636
Farol;0,395;0,571;0,715
Faxinal;0,454;0,590;0,687
Fazenda Rio Grande;0,451;0,594;0,720
Fênix;0,448;0,601;0,716
Fernandes Pinheiro;0,333;0,526;0,645
Figueira;0,428;0,555;0,677
Floraí;0,523;0,670;0,745
Flor da Serra do Sul;0,286;0,583;0,682
Floresta;0,530;0,657;0,736
Florestópolis;0,416;0,571;0,701
Flórida;0,544;0,649;0,732
Formosa do Oeste;0,491;0,603;0,723
Foz do Iguaçu;0,532;0,663;0,751
Francisco Alves;0,445;0,576;0,669
Francisco Beltrão;0,514;0,683;0,774
Foz do Jordão;0,363;0,516;0,645
General Carneiro;0,381;0,532;0,652
Godoy Moreira;0,323;0,515;0,675
Goioerê;0,470;0,610;0,731
Goioxim;0,227;0,446;0,641
Grandes Rios;0,386;0,528;0,658
Guaíra;0,480;0,643;0,724
Guairaçá;0,432;0,593;0,693
Guamiranga;0,361;0,511;0,669
Guapirama;0,452;0,570;0,702
Guaporema;0,438;0,563;0,719
Guaraci;0,449;0,603;0,698
Guaraniaçu;0,398;0,575;0,677
Guarapuava;0,473;0,632;0,731
Guaraqueçaba;0,323;0,430;0,587
Guaratuba;0,446;0,613;0,717
Honório Serpa;0,331;0,529;0,683
Ibaiti;0,437;0,548;0,710
Ibema;0,374;0,531;0,685
Ibiporã;0,513;0,640;0,726
