Índice de Desenvolvimento Humano - Municípios da UF: Rio Grande do Norte;;;
Abrangências geográficas;1991;2000;2010
Acari;0,430;0,557;0,679
Açu;0,399;0,536;0,661
Afonso Bezerra;0,343;0,456;0,585
Água Nova;0,309;0,411;0,616
Alexandria;0,330;0,467;0,606
Almino Afonso;0,387;0,493;0,624
Alto do Rodrigues;0,373;0,513;0,672
Angicos;0,401;0,528;0,624
Antônio Martins;0,294;0,435;0,578
Apodi;0,357;0,502;0,639
Areia Branca;0,415;0,550;0,682
Arês;0,329;0,463;0,606
Augusto Severo;0,263;0,452;0,621
Baía Formosa;0,370;0,460;0,609
Baraúna;0,285;0,414;0,574
Barcelona;0,250;0,413;0,566
Bento Fernandes;0,255;0,371;0,582
Bodó;0,136;0,417;0,629
Bom Jesus;0,356;0,425;0,584
Brejinho;0,337;0,434;0,592
Caiçara do Norte;0,326;0,424;0,574
Caiçara do Rio do Vento;0,274;0,428;0,587
Caicó;0,499;0,613;0,710
Campo Redondo;0,345;0,479;0,626
Canguaretama;0,306;0,418;0,579
Caraúbas;0,328;0,460;0,638
Carnaúba dos Dantas;0,439;0,590;0,659
Carnaubais;0,352;0,481;0,589
Ceará-Mirim;0,355;0,477;0,616
Cerro Corá;0,308;0,433;0,607
Coronel Ezequiel;0,329;0,416;0,587
Coronel João Pessoa;0,263;0,408;0,578
Cruzeta;0,412;0,560;0,654
Currais Novos;0,470;0,572;0,691
Doutor Severiano;0,330;0,433;0,621
Parnamirim;0,472;0,629;0,766
Encanto;0,333;0,453;0,629
Equador;0,350;0,494;0,623
Espírito Santo;0,273;0,402;0,558
Extremoz;0,379;0,528;0,660
Felipe Guerra;0,336;0,478;0,636
Fernando Pedroza;0,310;0,476;0,597
Florânia;0,351;0,492;0,642
Francisco Dantas;0,341;0,470;0,606
Frutuoso Gomes;0,358;0,461;0,597
Galinhos;0,303;0,417;0,564
Goianinha;0,320;0,476;0,638
Governador Dix-Sept Rosad;0,337;0,450;0,592
Grossos;0,330;0,495;0,664
Guamaré;0,344;0,444;0,626
Ielmo Marinho;0,246;0,381;0,550
Ipanguaçu;0,307;0,452;0,603
Ipueira;0,429;0,510;0,679
Itajá;0,300;0,454;0,624
Itaú;0,408;0,517;0,614
Jaçanã;0,341;0,458;0,604
Jandaíra;0,272;0,413;0,569
Janduís;0,339;0,471;0,615
Januário Cicco;0,310;0,424;0,574
Japi;0,301;0,395;0,569
Jardim de Angicos;0,303;0,422;0,565
Jardim de Piranhas;0,387;0,460;0,603
Jardim do Seridó;0,416;0,571;0,663
João Câmara;0,340;0,457;0,595
João Dias;0,234;0,358;0,530
José da Penha;0,309;0,445;0,608
Jucurutu;0,303;0,449;0,601
Jundiá;0,233;0,404;0,595
Lagoa d'Anta;0,300;0,416;0,601
Lagoa de Pedras;0,236;0,366;0,553
Lagoa de Velhos;0,321;0,472;0,589
Lagoa Nova;0,302;0,444;0,585
Lagoa Salgada;0,290;0,357;0,582
Lajes;0,351;0,486;0,624
Lajes Pintadas;0,340;0,499;0,625
Lucrécia;0,400;0,507;0,646
Luís Gomes;0,319;0,425;0,608
Macaíba;0,368;0,508;0,640
Macau;0,405;0,556;0,665
Major Sales;0,299;0,462;0,617
Marcelino Vieira;0,261;0,425;0,609
Martins;0,371;0,516;0,622
Maxaranguape;0,323;0,425;0,608
Messias Targino;0,377;0,472;0,644
Montanhas;0,294;0,408;0,557
Monte Alegre;0,327;0,465;0,609
Monte das Gameleiras;0,322;0,433;0,598
Mossoró;0,470;0,596;0,720
Natal;0,572;0,664;0,763
Nísia Floresta;0,362;0,484;0,622
Nova Cruz;0,327;0,465;0,629
Olho-d'Água do Borges;0,347;0,477;0,585
Ouro Branco;0,394;0,542;0,645
Paraná;0,317;0,427;0,589
Paraú;0,332;0,486;0,603
Parazinho;0,238;0,385;0,549
