Índice de Desenvolvimento Humano - Municípios da UF: Rondônia;;;
Abrangências geográficas;1991;2000;2010
Alta Floresta D'Oeste;0,329;0,483;0,641
Ariquemes;0,432;0,556;0,702
Cabixi;0,309;0,488;0,650
Cacoal;0,407;0,567;0,718
Cerejeiras;0,386;0,542;0,692
Colorado do Oeste;0,376;0,545;0,685
Corumbiara;0,203;0,401;0,613
Costa Marques;0,425;0,486;0,611
Espigão D'Oeste;0,388;0,501;0,672
Guajará-Mirim;0,468;0,573;0,657
Jaru;0,352;0,514;0,689
Ji-Paraná;0,433;0,564;0,714
Machadinho D'Oeste;0,286;0,449;0,596
Nova Brasilândia D'Oeste;0,272;0,459;0,643
Ouro Preto do Oeste;0,382;0,533;0,682
Pimenta Bueno;0,412;0,573;0,710
Porto Velho;0,495;0,613;0,736
Presidente Médici;0,348;0,485;0,664
Rio Crespo;0,259;0,441;0,643
Rolim de Moura;0,383;0,559;0,700
Santa Luzia D'Oeste;0,289;0,482;0,670
Vilhena;0,498;0,620;0,731
São Miguel do Guaporé;0,252;0,409;0,646
Nova Mamoré;0,336;0,446;0,587
Alvorada D'Oeste;0,313;0,469;0,643
Alto Alegre dos Parecis;0,241;0,402;0,592
Alto Paraíso;0,269;0,446;0,625
Buritis;0,325;0,415;0,616
Novo Horizonte do Oeste;0,199;0,442;0,634
Cacaulândia;0,283;0,454;0,646
Campo Novo de Rondônia;0,293;0,432;0,593
Candeias do Jamari;0,366;0,478;0,649
Castanheiras;0,221;0,498;0,658
Chupinguaia;0,281;0,479;0,652
Cujubim;0,237;0,425;0,612
Governador Jorge Teixeira;0,217;0,380;0,596
Itapuã do Oeste;0,349;0,478;0,614
Ministro Andreazza;0,277;0,467;0,638
Mirante da Serra;0,254;0,470;0,643
Monte Negro;0,270;0,435;0,607
Nova União;0,228;0,405;0,587
Parecis;0,174;0,412;0,617
Pimenteiras do Oeste;0,280;0,524;0,665
Primavera de Rondônia;0,284;0,439;0,641
São Felipe D'Oeste;0,232;0,466;0,649
São Francisco do Guaporé;0,298;0,434;0,611
Seringueiras;0,258;0,439;0,598
Teixeirópolis;0,226;0,440;0,643
Theobroma;0,247;0,402;0,589
Urupá;0,230;0,424;0,609
Vale do Anari;0,216;0,409;0,584
Vale do Paraíso;0,247;0,438;0,627
;;;
;;;
;;;
PROADESS - Projeto de Avaliação do Desempenho do Sistema de Saúde;;;
URL: https://www.proadess.icict.fiocruz.br/;;;
