Índice de Desenvolvimento Humano - Municípios da UF: Roraima;;;
Abrangências geográficas;1991;2000;2010
Amajari;0,333;0,420;0,484
Alto Alegre;0,306;0,460;0,542
Boa Vista;0,529;0,649;0,752
Bonfim;0,340;0,458;0,626
Cantá;0,301;0,499;0,619
Caracaraí;0,405;0,521;0,624
Caroebe;0,249;0,492;0,639
Iracema;0,358;0,518;0,582
Mucajaí;0,374;0,550;0,665
Normandia;0,278;0,373;0,594
Pacaraima;0,378;0,544;0,650
Rorainópolis;0,324;0,501;0,619
São João da Baliza;0,365;0,538;0,655
São Luiz;0,348;0,545;0,649
Uiramutã;0,201;0,333;0,453
;;;
;;;
;;;
PROADESS - Projeto de Avaliação do Desempenho do Sistema de Saúde;;;
URL: https://www.proadess.icict.fiocruz.br/;;;
