Índice de Desenvolvimento Humano - Municípios da UF: Santa Catarina;;;
Abrangências geográficas;1991;2000;2010
Abdon Batista;0,410;0,576;0,694
Abelardo Luz;0,443;0,579;0,696
Agrolândia;0,458;0,593;0,725
Agronômica;0,431;0,602;0,741
Água Doce;0,446;0,627;0,698
Águas de Chapecó;0,453;0,582;0,713
Águas Frias;0,430;0,600;0,745
Águas Mornas;0,369;0,570;0,723
Alfredo Wagner;0,389;0,548;0,668
Alto Bela Vista;0,456;0,619;0,755
Anchieta;0,418;0,563;0,699
Angelina;0,433;0,552;0,687
Anita Garibaldi;0,396;0,544;0,688
Anitápolis;0,399;0,552;0,674
Antônio Carlos;0,464;0,661;0,749
Apiúna;0,410;0,578;0,708
Arabutã;0,451;0,623;0,733
Araquari;0,451;0,578;0,703
Araranguá;0,548;0,666;0,760
Armazém;0,529;0,666;0,770
Arroio Trinta;0,517;0,670;0,764
Arvoredo;0,412;0,569;0,715
Ascurra;0,533;0,603;0,742
Atalanta;0,476;0,599;0,733
Aurora;0,447;0,601;0,733
Balneário Arroio do Silva;0,467;0,654;0,746
Balneário Camboriú;0,630;0,777;0,845
Balneário Barra do Sul;0,498;0,639;0,716
Balneário Gaivota;0,468;0,625;0,728
Bandeirante;0,346;0,548;0,672
Barra Bonita;0,358;0,543;0,701
Barra Velha;0,530;0,627;0,738
Bela Vista do Toldo;0,316;0,491;0,675
Belmonte;0,414;0,559;0,705
Benedito Novo;0,517;0,617;0,740
Biguaçu;0,538;0,636;0,739
Blumenau;0,611;0,727;0,806
Bocaina do Sul;0,388;0,505;0,647
Bombinhas;0,515;0,661;0,781
Bom Jardim da Serra;0,395;0,553;0,696
Bom Jesus;0,380;0,549;0,718
Bom Jesus do Oeste;0,405;0,569;0,712
Bom Retiro;0,450;0,560;0,699
Botuverá;0,460;0,598;0,724
Braço do Norte;0,559;0,687;0,778
Braço do Trombudo;0,474;0,625;0,780
Brunópolis;0,379;0,481;0,661
Brusque;0,591;0,720;0,795
Caçador;0,514;0,601;0,735
Caibi;0,491;0,631;0,728
Calmon;0,321;0,427;0,622
Camboriú;0,466;0,592;0,726
Capão Alto;0,321;0,506;0,654
Campo Alegre;0,447;0,582;0,714
Campo Belo do Sul;0,344;0,488;0,641
Campo Erê;0,384;0,560;0,690
Campos Novos;0,483;0,617;0,742
Canelinha;0,493;0,618;0,697
Canoinhas;0,506;0,640;0,757
Capinzal;0,504;0,628;0,752
Capivari de Baixo;0,554;0,672;0,767
Catanduvas;0,496;0,622;0,714
Caxambu do Sul;0,437;0,623;0,691
Celso Ramos;0,451;0,562;0,719
Cerro Negro;0,325;0,475;0,621
Chapadão do Lageado;0,404;0,490;0,704
Chapecó;0,529;0,682;0,790
Cocal do Sul;0,569;0,695;0,780
Concórdia;0,563;0,710;0,800
Cordilheira Alta;0,455;0,651;0,747
Coronel Freitas;0,449;0,606;0,744
Coronel Martins;0,385;0,588;0,696
Corupá;0,535;0,652;0,780
Correia Pinto;0,475;0,587;0,702
Criciúma;0,584;0,703;0,788
Cunha Porã;0,489;0,635;0,742
Cunhataí;0,456;0,651;0,754
Curitibanos;0,514;0,621;0,721
Descanso;0,492;0,609;0,743
Dionísio Cerqueira;0,436;0,590;0,706
Dona Emma;0,407;0,639;0,742
Doutor Pedrinho;0,507;0,608;0,716
Entre Rios;0,367;0,487;0,657
Ermo;0,454;0,599;0,726
Erval Velho;0,495;0,634;0,723
Faxinal dos Guedes;0,477;0,656;0,758
Flor do Sertão;0,337;0,588;0,708
Florianópolis;0,681;0,766;0,847
Formosa do Sul;0,418;0,600;0,715
Forquilhinha;0,468;0,641;0,753
Fraiburgo;0,526;0,628;0,731
Frei Rogério;0,467;0,533;0,682
Galvão;0,423;0,626;0,708
Garopaba;0,450;0,635;0,753
Garuva;0,446;0,555;0,725
Gaspar;0,556;0,670;0,765
Governador Celso Ramos;0,539;0,635;0,747
Grão Pará;0,495;0,634;0,736
Gravatal;0,552;0,629;0,757
Guabiruba;0,525;0,677;0,754
Guaraciaba;0,451;0,622;0,751
Guaramirim;0,559;0,685;0,751
Guarujá do Sul;0,500;0,650;0,730
Guatambú;0,389;0,576;0,717
Herval d'Oeste;0,527;0,654;0,758
Ibiam;0,379;0,587;0,725
Ibicaré;0,499;0,618;0,708
Ibirama;0,513;0,655;0,737
Içara;0,469;0,616;0,741
Ilhota;0,495;0,637;0,738
Imaruí;0,474;0,557;0,667
Imbituba;0,542;0,658;0,765
Imbuia;0,413;0,551;0,713
Indaial;0,537;0,678;0,777
Iomerê;0,456;0,708;0,795
Ipira;0,453;0,640;0,736
Iporã do Oeste;0,481;0,603;0,759
Ipuaçu;0,413;0,514;0,660
Ipumirim;0,472;0,617;0,738
Iraceminha;0,447;0,606;0,722
Irani;0,405;0,605;0,742
Irati;0,389;0,547;0,707
Irineópolis;0,370;0,533;0,699
Itá;0,480;0,660;0,771
Itaiópolis;0,428;0,562;0,708
Itajaí;0,588;0,688;0,795
Itapema;0,509;0,705;0,796
Itapiranga;0,519;0,670;0,775
Itapoá;0,487;0,634;0,761
Ituporanga;0,490;0,633;0,748
Jaborá;0,463;0,609;0,732
Jacinto Machado;0,439;0,569;0,716
Jaguaruna;0,456;0,616;0,721
Jaraguá do Sul;0,602;0,740;0,803
Jardinópolis;0,460;0,591;0,709
Joaçaba;0,635;0,741;0,827
Joinville;0,585;0,711;0,809
José Boiteux;0,383;0,564;0,694
Jupiá;0,381;0,582;0,719
Lacerdópolis;0,524;0,700;0,781
Lages;0,551;0,674;0,770
Laguna;0,526;0,646;0,752
Lajeado Grande;0,457;0,667;0,771
Laurentino;0,505;0,659;0,749
Lauro Muller;0,490;0,640;0,735
Lebon Régis;0,407;0,497;0,649
Leoberto Leal;0,365;0,536;0,686
Lindóia do Sul;0,467;0,659;0,743
Lontras;0,445;0,614;0,704
Luiz Alves;0,509;0,635;0,737
Luzerna;0,516;0,697;0,789
Macieira;0,375;0,541;0,662
Mafra;0,538;0,652;0,777
Major Gercino;0,441;0,591;0,698
Major Vieira;0,420;0,582;0,690
Maracajá;0,487;0,627;0,768
Maravilha;0,519;0,685;0,781
Marema;0,459;0,634;0,743
Massaranduba;0,550;0,703;0,774
Matos Costa;0,433;0,512;0,657
Meleiro;0,491;0,641;0,738
Mirim Doce;0,434;0,612;0,708
Modelo;0,502;0,630;0,760
Mondaí;0,462;0,607;0,748
Monte Carlo;0,429;0,530;0,643
Monte Castelo;0,435;0,571;0,675
Morro da Fumaça;0,479;0,617;0,738
Morro Grande;0,430;0,572;0,701
Navegantes;0,528;0,606;0,736
Nova Erechim;0,523;0,659;0,765
Nova Itaberaba;0,348;0,589;0,736
Nova Trento;0,518;0,646;0,748
Nova Veneza;0,546;0,659;0,768
Novo Horizonte;0,396;0,560;0,706
Orleans;0,508;0,639;0,755
Otacílio Costa;0,510;0,635;0,740
Ouro;0,491;0,655;0,774
Ouro Verde;0,315;0,636;0,695
Paial;0,397;0,548;0,718
Painel;0,425;0,528;0,664
Palhoça;0,541;0,656;0,757
Palma Sola;0,415;0,571;0,704
Palmeira;0,361;0,544;0,671
Palmitos;0,469;0,619;0,737
Papanduva;0,441;0,564;0,704
Paraíso;0,391;0,547;0,700
Passo de Torres;0,439;0,602;0,720
Passos Maia;0,403;0,543;0,659
Paulo Lopes;0,450;0,598;0,716
Pedras Grandes;0,448;0,609;0,728
Penha;0,493;0,631;0,743
Peritiba;0,529;0,655;0,766
Pescaria Brava;**;**;**
Petrolândia;0,441;0,586;0,716
Balneário Piçarras;0,500;0,642;0,756
Pinhalzinho;0,532;0,663;0,783
Pinheiro Preto;0,533;0,644;0,777
Piratuba;0,451;0,600;0,758
Planalto Alegre;0,437;0,664;0,751
Pomerode;0,550;0,708;0,780
Ponte Alta;0,418;0,520;0,673
Ponte Alta do Norte;0,369;0,576;0,689
Ponte Serrada;0,445;0,566;0,693
Porto Belo;0,502;0,653;0,760
Porto União;0,536;0,666;0,786
Pouso Redondo;0,440;0,589;0,720
Praia Grande;0,465;0,598;0,718
Presidente Castello Branc;0,491;0,628;0,770
Presidente Getúlio;0,538;0,672;0,759
Presidente Nereu;0,360;0,550;0,737
Princesa;0,354;0,535;0,706
Quilombo;0,456;0,614;0,730
Rancho Queimado;0,479;0,604;0,753
Rio das Antas;0,464;0,587;0,697
Rio do Campo;0,439;0,581;0,729
Rio do Oeste;0,490;0,637;0,754
Rio dos Cedros;0,505;0,626;0,729
Rio do Sul;0,579;0,698;0,802
Rio Fortuna;0,489;0,652;0,806
Rio Negrinho;0,517;0,616;0,738
Rio Rufino;0,333;0,544;0,653
Riqueza;0,400;0,606;0,714
Rodeio;0,532;0,675;0,754
Romelândia;0,396;0,534;0,692
Salete;0,484;0,643;0,744
Saltinho;0,313;0,535;0,654
Salto Veloso;0,485;0,666;0,784
Sangão;0,427;0,567;0,700
Santa Cecília;0,457;0,552;0,698
Santa Helena;0,461;0,608;0,727
Santa Rosa de Lima;0,422;0,587;0,757
Santa Rosa do Sul;0,424;0,600;0,705
Santa Terezinha;0,413;0,534;0,669
Santa Terezinha do Progre;0,343;0,551;0,682
Santiago do Sul;0,434;0,584;0,728
Santo Amaro da Imperatriz;0,544;0,678;0,781
São Bernardino;0,326;0,522;0,677
São Bento do Sul;0,564;0,679;0,782
São Bonifácio;0,507;0,588;0,731
São Carlos;0,504;0,671;0,769
São Cristovão do Sul;0,396;0,518;0,665
São Domingos;0,462;0,661;0,765
São Francisco do Sul;0,575;0,658;0,762
São João do Oeste;0,477;0,643;0,761
São João Batista;0,520;0,663;0,740
São João do Itaperiú;0,451;0,607;0,738
São João do Sul;0,441;0,574;0,695
São Joaquim;0,491;0,589;0,687
São José;0,626;0,718;0,809
São José do Cedro;0,476;0,627;0,731
São José do Cerrito;0,355;0,502;0,636
São Lourenço do Oeste;0,479;0,655;0,749
São Ludgero;0,542;0,664;0,755
São Martinho;0,495;0,635;0,742
São Miguel da Boa Vista;0,375;0,548;0,710
São Miguel do Oeste;0,564;0,705;0,801
São Pedro de Alcântara;0,493;0,636;0,734
Saudades;0,476;0,635;0,755
Schroeder;0,536;0,712;0,769
Seara;0,504;0,663;0,779
Serra Alta;0,458;0,612;0,773
Siderópolis;0,554;0,669;0,774
Sombrio;0,482;0,626;0,728
Sul Brasil;0,378;0,550;0,707
Taió;0,497;0,640;0,761
Tangará;0,494;0,590;0,737
Tigrinhos;0,308;0,538;0,717
Tijucas;0,562;0,669;0,760
Timbé do Sul;0,441;0,570;0,720
Timbó;0,559;0,690;0,784
Timbó Grande;0,383;0,453;0,659
Três Barras;0,457;0,598;0,706
Treviso;0,459;0,612;0,774
Treze de Maio;0,445;0,607;0,729
Treze Tílias;0,511;0,668;0,795
Trombudo Central;0,521;0,657;0,775
Tubarão;0,602;0,721;0,796
Tunápolis;0,485;0,637;0,752
Turvo;0,545;0,662;0,740
União do Oeste;0,416;0,608;0,705
Urubici;0,483;0,592;0,694
Urupema;0,462;0,578;0,699
Urussanga;0,558;0,698;0,772
Vargeão;0,497;0,640;0,686
Vargem;0,288;0,531;0,629
Vargem Bonita;0,458;0,596;0,718
Vidal Ramos;0,362;0,570;0,700
Videira;0,559;0,683;0,764
Vitor Meireles;0,402;0,539;0,673
Witmarsum;0,401;0,614;0,710
Xanxerê;0,527;0,674;0,775
Xavantina;0,479;0,653;0,749
Xaxim;0,490;0,652;0,752
Zortéa;0,402;0,586;0,761
Balneário Rincão;**;**;**
** - Sem informação.;;;
;;;
;;;
;;;
PROADESS - Projeto de Avaliação do Desempenho do Sistema de Saúde;;;
URL: https://www.proadess.icict.fiocruz.br/;;;
