Índice de Desenvolvimento Humano - Municípios da UF: Sergipe;;;
Abrangências geográficas;1991;2000;2010
Amparo de São Francisco;0,314;0,420;0,611
Aquidabã;0,325;0,428;0,578
Aracaju;0,545;0,648;0,770
Arauá;0,308;0,448;0,595
Areia Branca;0,293;0,440;0,579
Barra dos Coqueiros;0,403;0,527;0,649
Boquim;0,376;0,435;0,604
Brejo Grande;0,284;0,377;0,540
Campo do Brito;0,343;0,468;0,621
Canhoba;0,318;0,411;0,569
Canindé de São Francisco;0,233;0,381;0,567
Capela;0,350;0,444;0,615
Carira;0,268;0,397;0,588
Carmópolis;0,404;0,507;0,643
Cedro de São João;0,445;0,524;0,623
Cristinápolis;0,279;0,398;0,553
Cumbe;0,316;0,448;0,604
Divina Pastora;0,399;0,436;0,610
Estância;0,374;0,479;0,647
Feira Nova;0,287;0,432;0,584
Frei Paulo;0,367;0,457;0,589
Gararu;0,249;0,391;0,564
General Maynard;0,410;0,493;0,645
Gracho Cardoso;0,300;0,458;0,577
Ilha das Flores;0,318;0,421;0,562
Indiaroba;0,235;0,380;0,580
Itabaiana;0,399;0,481;0,642
Itabaianinha;0,267;0,380;0,556
Itabi;0,341;0,454;0,602
Itaporanga d'Ajuda;0,260;0,420;0,561
Japaratuba;0,371;0,480;0,621
Japoatã;0,284;0,406;0,560
Lagarto;0,341;0,447;0,625
Laranjeiras;0,354;0,470;0,642
Macambira;0,311;0,446;0,583
Malhada dos Bois;0,360;0,458;0,599
Malhador;0,366;0,453;0,587
Maruim;0,361;0,469;0,618
Moita Bonita;0,337;0,459;0,587
Monte Alegre de Sergipe;0,251;0,390;0,553
Muribeca;0,312;0,440;0,626
Neópolis;0,392;0,465;0,589
Nossa Senhora Aparecida;0,266;0,378;0,577
Nossa Senhora da Glória;0,319;0,432;0,587
Nossa Senhora das Dores;0,342;0,441;0,600
Nossa Senhora de Lourdes;0,340;0,459;0,598
Nossa Senhora do Socorro;0,396;0,510;0,664
Pacatuba;0,281;0,368;0,555
Pedra Mole;0,292;0,450;0,593
Pedrinhas;0,368;0,425;0,592
Pinhão;0,313;0,432;0,583
Pirambu;0,379;0,460;0,603
Poço Redondo;0,228;0,363;0,529
Poço Verde;0,287;0,421;0,561
Porto da Folha;0,256;0,387;0,568
Propriá;0,423;0,551;0,661
Riachão do Dantas;0,253;0,385;0,539
Riachuelo;0,384;0,480;0,617
Ribeirópolis;0,364;0,466;0,613
Rosário do Catete;0,388;0,492;0,631
Salgado;0,297;0,428;0,609
Santa Luzia do Itanhy;0,241;0,349;0,545
Santana do São Francisco;0,289;0,419;0,590
Santa Rosa de Lima;0,258;0,448;0,592
Santo Amaro das Brotas;0,329;0,496;0,637
São Cristóvão;0,403;0,529;0,662
São Domingos;0,272;0,402;0,588
São Francisco;0,367;0,444;0,587
São Miguel do Aleixo;0,273;0,383;0,567
Simão Dias;0,315;0,423;0,604
Siriri;0,322;0,472;0,609
Telha;0,335;0,453;0,604
Tobias Barreto;0,290;0,407;0,557
Tomar do Geru;0,244;0,350;0,551
Umbaúba;0,292;0,408;0,579
;;;
;;;
;;;
PROADESS - Projeto de Avaliação do Desempenho do Sistema de Saúde;;;
URL: https://www.proadess.icict.fiocruz.br/;;;
