Índice de Desenvolvimento Humano - Municípios da UF: São Paulo;;;
Abrangências geográficas;1991;2000;2010
Adamantina;0,592;0,721;0,790
Adolfo;0,513;0,667;0,730
Aguaí;0,491;0,642;0,715
Águas da Prata;0,576;0,692;0,781
Águas de Lindóia;0,558;0,695;0,745
Águas de Santa Bárbara;0,559;0,668;0,757
Águas de São Pedro;0,634;0,791;0,854
Agudos;0,513;0,669;0,745
Alambari;0,418;0,572;0,712
Alfredo Marcondes;0,550;0,646;0,741
Altair;0,509;0,605;0,687
Altinópolis;0,483;0,658;0,730
Alto Alegre;0,480;0,616;0,700
Alumínio;0,515;0,682;0,766
Álvares Florence;0,478;0,665;0,728
Álvares Machado;0,538;0,661;0,758
Álvaro de Carvalho;0,421;0,560;0,688
Alvinlândia;0,461;0,555;0,722
Americana;0,609;0,735;0,811
Américo Brasiliense;0,527;0,658;0,751
Américo de Campos;0,489;0,644;0,745
Amparo;0,578;0,716;0,785
Analândia;0,493;0,685;0,754
Andradina;0,560;0,717;0,779
Angatuba;0,435;0,612;0,719
Anhembi;0,477;0,626;0,721
Anhumas;0,513;0,585;0,741
Aparecida;0,569;0,689;0,755
Aparecida d'Oeste;0,468;0,626;0,721
Apiaí;0,442;0,605;0,710
Araçariguama;0,426;0,602;0,704
Araçatuba;0,590;0,744;0,788
Araçoiaba da Serra;0,494;0,658;0,776
Aramina;0,515;0,628;0,740
Arandu;0,397;0,584;0,685
Arapeí;0,373;0,594;0,680
Araraquara;0,607;0,742;0,815
Araras;0,573;0,710;0,781
Arco-Íris;0,408;0,636;0,722
Arealva;0,478;0,662;0,744
Areias;0,418;0,600;0,697
Areiópolis;0,433;0,578;0,695
Ariranha;0,480;0,633;0,733
Artur Nogueira;0,519;0,658;0,749
Arujá;0,524;0,670;0,784
Aspásia;0,434;0,629;0,735
Assis;0,597;0,728;0,805
Atibaia;0,545;0,675;0,765
Auriflama;0,557;0,677;0,773
Avaí;0,421;0,608;0,714
Avanhandava;0,463;0,608;0,705
Avaré;0,541;0,683;0,767
Bady Bassitt;0,525;0,688;0,746
Balbinos;0,536;0,639;0,669
Bálsamo;0,525;0,705;0,756
Bananal;0,456;0,632;0,733
Barão de Antonina;0,464;0,593;0,711
Barbosa;0,430;0,588;0,699
Bariri;0,572;0,698;0,750
Barra Bonita;0,603;0,706;0,788
Barra do Chapéu;0,325;0,488;0,660
Barra do Turvo;0,318;0,482;0,641
Barretos;0,558;0,710;0,789
Barrinha;0,409;0,591;0,725
Barueri;0,549;0,705;0,786
Bastos;0,516;0,651;0,751
Batatais;0,519;0,695;0,761
Bauru;0,607;0,736;0,801
Bebedouro;0,548;0,695;0,780
Bento de Abreu;0,540;0,635;0,744
Bernardino de Campos;0,511;0,643;0,734
Bertioga;0,510;0,634;0,730
Bilac;0,574;0,709;0,768
Birigui;0,569;0,703;0,780
Biritiba-Mirim;0,489;0,603;0,712
Boa Esperança do Sul;0,415;0,602;0,681
Bocaina;0,544;0,677;0,742
Bofete;0,429;0,616;0,705
Boituva;0,539;0,672;0,780
Bom Jesus dos Perdões;0,445;0,617;0,713
Bom Sucesso de Itararé;0,305;0,539;0,660
Borá;0,506;0,649;0,746
Boracéia;0,470;0,637;0,754
Borborema;0,493;0,630;0,730
Borebi;0,482;0,578;0,705
Botucatu;0,588;0,718;0,800
Bragança Paulista;0,553;0,687;0,776
Braúna;0,524;0,669;0,737
Brejo Alegre;0,437;0,597;0,710
Brodowski;0,546;0,665;0,755
Brotas;0,491;0,664;0,740
Buri;0,379;0,542;0,667
Buritama;0,531;0,660;0,763
Buritizal;0,522;0,608;0,735
Cabrália Paulista;0,448;0,577;0,694
Cabreúva;0,478;0,626;0,738
Caçapava;0,542;0,694;0,788
Cachoeira Paulista;0,553;0,676;0,764
Caconde;0,456;0,619;0,720
Cafelândia;0,504;0,654;0,742
Caiabu;0,480;0,626;0,729
Caieiras;0,545;0,687;0,781
Caiuá;0,435;0,593;0,697
Cajamar;0,501;0,634;0,728
Cajati;0,434;0,579;0,694
Cajobi;0,505;0,617;0,734
Cajuru;0,514;0,648;0,713
Campina do Monte Alegre;0,364;0,592;0,717
Campinas;0,618;0,735;0,805
Campo Limpo Paulista;0,507;0,678;0,769
Campos do Jordão;0,507;0,653;0,749
Campos Novos Paulista;0,411;0,592;0,706
Cananéia;0,450;0,625;0,720
Canas;0,406;0,577;0,704
Cândido Mota;0,519;0,656;0,747
Cândido Rodrigues;0,485;0,629;0,789
Canitar;0,370;0,545;0,680
Capão Bonito;0,428;0,579;0,721
Capela do Alto;0,433;0,573;0,699
Capivari;0,565;0,655;0,750
Caraguatatuba;0,519;0,685;0,759
Carapicuíba;0,519;0,644;0,749
Cardoso;0,504;0,656;0,722
Casa Branca;0,560;0,699;0,730
Cássia dos Coqueiros;0,487;0,643;0,734
Castilho;0,502;0,634;0,731
Catanduva;0,582;0,705;0,785
Catiguá;0,472;0,632;0,751
Cedral;0,528;0,657;0,766
Cerqueira César;0,494;0,631;0,729
Cerquilho;0,559;0,713;0,782
Cesário Lange;0,485;0,622;0,706
Charqueada;0,515;0,636;0,736
Clementina;0,526;0,636;0,725
Colina;0,522;0,663;0,757
Colômbia;0,466;0,607;0,710
Conchal;0,468;0,602;0,708
Conchas;0,538;0,658;0,736
Cordeirópolis;0,578;0,706;0,758
Coroados;0,479;0,630;0,719
Coronel Macedo;0,401;0,561;0,690
Corumbataí;0,480;0,641;0,754
Cosmópolis;0,529;0,665;0,769
Cosmorama;0,494;0,627;0,722
Cotia;0,557;0,693;0,780
Cravinhos;0,521;0,668;0,756
Cristais Paulista;0,441;0,609;0,734
Cruzália;0,518;0,690;0,774
Cruzeiro;0,556;0,704;0,788
Cubatão;0,517;0,634;0,737
Cunha;0,390;0,543;0,684
Descalvado;0,544;0,700;0,760
Diadema;0,528;0,664;0,757
Dirce Reis;0,468;0,644;0,741
Divinolândia;0,464;0,630;0,734
Dobrada;0,471;0,625;0,718
Dois Córregos;0,529;0,642;0,725
Dolcinópolis;0,504;0,647;0,742
Dourado;0,544;0,658;0,738
Dracena;0,574;0,717;0,776
Duartina;0,530;0,638;0,748
Dumont;0,558;0,675;0,744
Echaporã;0,504;0,634;0,745
Eldorado;0,450;0,588;0,691
Elias Fausto;0,443;0,589;0,695
Elisiário;0,473;0,615;0,747
Embaúba;0,455;0,655;0,730
Embu das Artes;0,487;0,630;0,735
Embu-Guaçu;0,483;0,650;0,749
Emilianópolis;0,449;0,635;0,727
Engenheiro Coelho;0,472;0,646;0,732
Espírito Santo do Pinhal;0,561;0,681;0,787
Espírito Santo do Turvo;0,359;0,573;0,696
Estrela d'Oeste;0,516;0,677;0,760
Estrela do Norte;0,458;0,645;0,740
Euclides da Cunha Paulist;0,410;0,599;0,704
Fartura;0,484;0,633;0,732
Fernandópolis;0,594;0,728;0,797
Fernando Prestes;0,502;0,634;0,758
Fernão;0,333;0,642;0,703
Ferraz de Vasconcelos;0,480;0,637;0,738
Flora Rica;0,501;0,639;0,727
Floreal;0,535;0,664;0,747
Flórida Paulista;0,493;0,622;0,715
Florínia;0,484;0,642;0,713
Franca;0,568;0,688;0,780
Francisco Morato;0,444;0,571;0,703
Franco da Rocha;0,494;0,628;0,731
Gabriel Monteiro;0,525;0,631;0,763
Gália;0,434;0,606;0,709
Garça;0,534;0,685;0,769
Gastão Vidigal;0,463;0,638;0,723
Gavião Peixoto;0,440;0,597;0,719
General Salgado;0,555;0,659;0,747
Getulina;0,484;0,623;0,717
Glicério;0,473;0,629;0,735
Guaiçara;0,499;0,615;0,739
Guaimbê;0,512;0,607;0,728
Guaíra;0,506;0,675;0,753
Guapiaçu;0,472;0,679;0,725
Guapiara;0,344;0,514;0,675
Guará;0,482;0,605;0,718
Guaraçaí;0,521;0,663;0,719
Guaraci;0,459;0,632;0,737
Guarani d'Oeste;0,474;0,620;0,732
Guarantã;0,429;0,582;0,713
Guararapes;0,564;0,687;0,763
Guararema;0,501;0,658;0,731
Guaratinguetá;0,598;0,718;0,798
Guareí;0,404;0,579;0,687
Guariba;0,485;0,603;0,719
Guarujá;0,497;0,636;0,751
Guarulhos;0,544;0,678;0,763
Guatapará;0,519;0,652;0,743
Guzolândia;0,398;0,613;0,697
Herculândia;0,462;0,612;0,727
Holambra;0,532;0,688;0,793
Hortolândia;0,493;0,636;0,756
Iacanga;0,534;0,672;0,745
Iacri;0,499;0,629;0,733
Iaras;0,404;0,568;0,674
Ibaté;0,442;0,616;0,703
Ibirá;0,504;0,650;0,740
Ibirarema;0,484;0,662;0,708
Ibitinga;0,521;0,666;0,747
Ibiúna;0,408;0,577;0,710
Icém;0,508;0,646;0,720
Iepê;0,484;0,644;0,736
Igaraçu do Tietê;0,445;0,611;0,727
Igarapava;0,496;0,666;0,768
Igaratá;0,427;0,603;0,711
Iguape;0,473;0,632;0,726
Ilhabela;0,505;0,658;0,756
Ilha Comprida;0,451;0,694;0,725
Ilha Solteira;0,635;0,752;0,812
Indaiatuba;0,541;0,704;0,788
Indiana;0,515;0,678;0,761
Indiaporã;0,541;0,662;0,751
Inúbia Paulista;0,508;0,664;0,759
Ipaussu;0,452;0,623;0,727
Iperó;0,514;0,607;0,719
Ipeúna;0,505;0,669;0,753
Ipiguá;0,490;0,652;0,730
Iporanga;0,356;0,581;0,703
Ipuã;0,485;0,639;0,749
Iracemápolis;0,562;0,687;0,776
Irapuã;0,456;0,616;0,713
Irapuru;0,507;0,645;0,712
Itaberá;0,436;0,571;0,693
Itaí;0,442;0,581;0,713
Itajobi;0,506;0,643;0,730
Itaju;0,522;0,643;0,705
Itanhaém;0,523;0,652;0,745
Itaóca;0,364;0,533;0,680
Itapecerica da Serra;0,501;0,640;0,742
Itapetininga;0,532;0,662;0,763
Itapeva;0,458;0,619;0,732
Itapevi;0,450;0,610;0,735
Itapira;0,540;0,687;0,762
Itapirapuã Paulista;0,313;0,504;0,661
Itápolis;0,508;0,655;0,744
Itaporanga;0,435;0,593;0,719
Itapuí;0,482;0,616;0,725
Itapura;0,465;0,606;0,720
Itaquaquecetuba;0,443;0,592;0,714
Itararé;0,449;0,588;0,703
Itariri;0,449;0,596;0,677
Itatiba;0,554;0,705;0,778
Itatinga;0,455;0,595;0,706
Itirapina;0,512;0,665;0,724
Itirapuã;0,446;0,586;0,707
Itobi;0,455;0,607;0,717
Itu;0,550;0,697;0,773
Itupeva;0,452;0,662;0,762
Ituverava;0,556;0,701;0,765
Jaborandi;0,473;0,619;0,711
Jaboticabal;0,579;0,699;0,778
Jacareí;0,547;0,700;0,777
Jaci;0,476;0,633;0,723
Jacupiranga;0,477;0,618;0,717
Jaguariúna;0,533;0,715;0,784
Jales;0,567;0,700;0,776
Jambeiro;0,457;0,645;0,756
Jandira;0,484;0,667;0,760
Jardinópolis;0,503;0,660;0,735
Jarinu;0,446;0,604;0,733
Jaú;0,575;0,705;0,778
Jeriquara;0,363;0,535;0,703
Joanópolis;0,425;0,589;0,699
João Ramalho;0,438;0,621;0,741
José Bonifácio;0,539;0,681;0,777
Júlio Mesquita;0,481;0,613;0,716
Jumirim;0,506;0,641;0,741
Jundiaí;0,602;0,744;0,822
Junqueirópolis;0,535;0,649;0,745
Juquiá;0,463;0,618;0,700
Juquitiba;0,417;0,583;0,709
Lagoinha;0,428;0,583;0,693
Laranjal Paulista;0,529;0,661;0,729
Lavínia;0,502;0,646;0,721
Lavrinhas;0,474;0,618;0,729
Leme;0,514;0,635;0,744
Lençóis Paulista;0,558;0,697;0,764
Limeira;0,561;0,700;0,775
Lindóia;0,514;0,685;0,742
Lins;0,598;0,723;0,786
Lorena;0,591;0,699;0,766
Lourdes;0,481;0,618;0,742
Louveira;0,513;0,665;0,777
Lucélia;0,548;0,665;0,752
Lucianópolis;0,439;0,598;0,733
Luís Antônio;0,481;0,672;0,731
Luiziânia;0,481;0,602;0,702
Lupércio;0,433;0,592;0,724
Lutécia;0,467;0,657;0,720
Macatuba;0,522;0,641;0,770
Macaubal;0,484;0,666;0,743
Macedônia;0,470;0,619;0,740
Magda;0,522;0,673;0,753
Mairinque;0,525;0,658;0,743
Mairiporã;0,533;0,682;0,788
Manduri;0,484;0,630;0,739
Marabá Paulista;0,415;0,584;0,677
Maracaí;0,515;0,679;0,771
Marapoama;0,410;0,613;0,752
Mariápolis;0,488;0,634;0,718
Marília;0,601;0,725;0,798
Marinópolis;0,486;0,597;0,731
Martinópolis;0,516;0,645;0,721
Matão;0,517;0,687;0,773
Mauá;0,523;0,664;0,766
Mendonça;0,487;0,666;0,744
Meridiano;0,452;0,621;0,731
Mesópolis;0,428;0,627;0,724
Miguelópolis;0,498;0,649;0,741
Mineiros do Tietê;0,492;0,642;0,730
Miracatu;0,452;0,563;0,697
Mira Estrela;0,425;0,626;0,743
Mirandópolis;0,545;0,679;0,751
Mirante do Paranapanema;0,496;0,630;0,724
Mirassol;0,542;0,709;0,762
Mirassolândia;0,458;0,634;0,738
Mococa;0,538;0,678;0,762
Mogi das Cruzes;0,566;0,701;0,783
Mogi Guaçu;0,563;0,701;0,774
Mogi Mirim;0,574;0,718;0,784
Mombuca;0,526;0,606;0,719
Monções;0,428;0,647;0,772
Mongaguá;0,516;0,640;0,754
Monte Alegre do Sul;0,504;0,675;0,759
Monte Alto;0,574;0,703;0,768
Monte Aprazível;0,557;0,704;0,785
Monte Azul Paulista;0,494;0,662;0,753
Monte Castelo;0,461;0,639;0,741
