 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município
Período:2015
"Município";"Nascim_p/resid.mãe"
"110001 Alta Floresta D'Oeste";373
"110037 Alto Alegre dos Parecis";149
"110040 Alto Paraíso";247
"110034 Alvorada D'Oeste";200
"110002 Ariquemes";1783
"110045 Buritis";608
"110003 Cabixi";86
"110060 Cacaulândia";72
"110004 Cacoal";1360
"110070 Campo Novo de Rondônia";156
"110080 Candeias do Jamari";323
"110090 Castanheiras";52
"110005 Cerejeiras";277
"110092 Chupinguaia";154
"110006 Colorado do Oeste";251
"110007 Corumbiara";111
"110008 Costa Marques";245
"110094 Cujubim";274
"110009 Espigão D'Oeste";548
"110100 Governador Jorge Teixeira";132
"110010 Guajará-Mirim";831
"110110 Itapuã do Oeste";112
"110011 Jaru";788
"110012 Ji-Paraná";2094
"110013 Machadinho D'Oeste";480
"110120 Ministro Andreazza";93
"110130 Mirante da Serra";179
"110140 Monte Negro";240
"110014 Nova Brasilândia D'Oeste";256
"110033 Nova Mamoré";404
"110143 Nova União";73
"110050 Novo Horizonte do Oeste";109
"110015 Ouro Preto do Oeste";767
"110145 Parecis";54
"110018 Pimenta Bueno";594
"110146 Pimenteiras do Oeste";52
"110020 Porto Velho";9093
"110025 Presidente Médici";262
"110147 Primavera de Rondônia";40
"110026 Rio Crespo";36
"110028 Rolim de Moura";936
"110029 Santa Luzia D'Oeste";109
"110148 São Felipe D'Oeste";73
"110149 São Francisco do Guaporé";319
"110032 São Miguel do Guaporé";311
"110150 Seringueiras";188
"110155 Teixeirópolis";71
"110160 Theobroma";107
"110170 Urupá";138
"110175 Vale do Anari";106
"110180 Vale do Paraíso";63
"110030 Vilhena";1535
"110000 Município ignorado - RO";4
"120001 Acrelândia";217
"120005 Assis Brasil";238
"120010 Brasiléia";531
"120013 Bujari";248
"120017 Capixaba";219
"120020 Cruzeiro do Sul";1839
"120025 Epitaciolândia";279
"120030 Feijó";772
"120032 Jordão";273
"120033 Mâncio Lima";395
"120034 Manoel Urbano";266
"120035 Marechal Thaumaturgo";445
"120038 Plácido de Castro";350
"120080 Porto Acre";358
"120039 Porto Walter";262
"120040 Rio Branco";6965
"120042 Rodrigues Alves";396
"120043 Santa Rosa do Purus";150
"120050 Sena Madureira";847
"120045 Senador Guiomard";443
"120060 Tarauacá";1165
"120070 Xapuri";322
"130002 Alvarães";342
"130006 Amaturá";214
"130008 Anamã";163
"130010 Anori";255
"130014 Apuí";204
"130020 Atalaia do Norte";439
"130030 Autazes";829
"130040 Barcelos";505
"130050 Barreirinha";815
"130060 Benjamin Constant";968
"130063 Beruri";489
"130068 Boa Vista do Ramos";369
"130070 Boca do Acre";695
"130080 Borba";725
"130083 Caapiranga";173
"130090 Canutama";219
"130100 Carauari";628
"130110 Careiro";419
"130115 Careiro da Várzea";215
"130120 Coari";1744
"130130 Codajás";434
"130140 Eirunepé";825
"130150 Envira";412
"130160 Fonte Boa";670
"130165 Guajará";334
"130170 Humaitá";941
"130180 Ipixuna";441
"130185 Iranduba";867
"130190 Itacoatiara";2078
"130195 Itamarati";293
"130200 Itapiranga";148
"130210 Japurá";169
"130220 Juruá";217
"130230 Jutaí";633
"130240 Lábrea";659
"130250 Manacapuru";2070
"130255 Manaquiri";234
"130260 Manaus";42342
"130270 Manicoré";930
"130280 Maraã";323
"130290 Maués";1335
"130300 Nhamundá";356
"130310 Nova Olinda do Norte";593
"130320 Novo Airão";316
"130330 Novo Aripuanã";409
"130340 Parintins";1995
"130350 Pauini";374
"130353 Presidente Figueiredo";558
"130356 Rio Preto da Eva";391
"130360 Santa Isabel do Rio Negro";301
"130370 Santo Antônio do Içá";718
"130380 São Gabriel da Cachoeira";1120
"130390 São Paulo de Olivença";753
"130395 São Sebastião do Uatumã";180
"130400 Silves";202
"130406 Tabatinga";1615
"130410 Tapauá";439
"130420 Tefé";1754
"130423 Tonantins";391
"130426 Uarini";295
"130430 Urucará";272
"130440 Urucurituba";282
"130000 Município ignorado - AM";18
"140005 Alto Alegre";550
"140002 Amajari";339
"140010 Boa Vista";6719
"140015 Bonfim";355
"140017 Cantá";327
"140020 Caracaraí";414
"140023 Caroebe";139
"140028 Iracema";169
"140030 Mucajaí";341
"140040 Normandia";442
"140045 Pacaraima";361
"140047 Rorainópolis";527
"140050 São João da Baliza";117
"140060 São Luiz";91
"140070 Uiramutã";518
"140000 Município ignorado - RR";3
"150010 Abaetetuba";2660
"150013 Abel Figueiredo";143
"150020 Acará";936
"150030 Afuá";871
"150034 Água Azul do Norte";199
"150040 Alenquer";1133
"150050 Almeirim";797
"150060 Altamira";2991
"150070 Anajás";742
"150080 Ananindeua";8397
"150085 Anapu";600
"150090 Augusto Corrêa";954
"150095 Aurora do Pará";440
"150100 Aveiro";198
"150110 Bagre";556
"150120 Baião";575
"150125 Bannach";45
"150130 Barcarena";2098
"150140 Belém";21250
"150145 Belterra";273
"150150 Benevides";1008
"150157 Bom Jesus do Tocantins";253
"150160 Bonito";212
"150170 Bragança";2192
"150172 Brasil Novo";255
"150175 Brejo Grande do Araguaia";103
"150178 Breu Branco";832
"150180 Breves";2588
"150190 Bujaru";482
"150200 Cachoeira do Arari";319
"150195 Cachoeira do Piriá";304
"150210 Cametá";2445
"150215 Canaã dos Carajás";1332
"150220 Capanema";1138
"150230 Capitão Poço";859
"150240 Castanhal";3300
"150250 Chaves";355
"150260 Colares";184
"150270 Conceição do Araguaia";787
"150275 Concórdia do Pará";536
"150276 Cumaru do Norte";138
"150277 Curionópolis";400
"150280 Curralinho";681
"150285 Curuá";208
"150290 Curuçá";526
"150293 Dom Eliseu";762
"150295 Eldorado do Carajás";504
"150300 Faro";124
"150304 Floresta do Araguaia";327
"150307 Garrafão do Norte";431
"150309 Goianésia do Pará";524
"150310 Gurupá";691
"150320 Igarapé-Açu";567
"150330 Igarapé-Miri";1114
"150340 Inhangapi";177
"150345 Ipixuna do Pará";576
"150350 Irituia";462
"150360 Itaituba";1950
"150370 Itupiranga";899
"150375 Jacareacanga";614
"150380 Jacundá";882
"150390 Juruti";1063
"150400 Limoeiro do Ajuru";445
"150405 Mãe do Rio";635
"150410 Magalhães Barata";112
"150420 Marabá";5173
"150430 Maracanã";427
"150440 Marapanim";330
"150442 Marituba";1863
"150445 Medicilândia";430
"150450 Melgaço";596
"150460 Mocajuba";482
"150470 Moju";1249
"150475 Mojuí dos Campos";150
"150480 Monte Alegre";1151
"150490 Muaná";601
"150495 Nova Esperança do Piriá";449
"150497 Nova Ipixuna";199
"150500 Nova Timboteua";153
"150503 Novo Progresso";620
"150506 Novo Repartimento";1334
"150510 Óbidos";983
"150520 Oeiras do Pará";731
"150530 Oriximiná";1397
"150540 Ourém";322
"150543 Ourilândia do Norte";638
"150548 Pacajá";686
"150549 Palestina do Pará";106
"150550 Paragominas";2033
"150553 Parauapebas";5019
"150555 Pau D'Arco";142
"150560 Peixe-Boi";98
"150563 Piçarra";148
"150565 Placas";273
"150570 Ponta de Pedras";345
"150580 Portel";1596
"150590 Porto de Moz";711
"150600 Prainha";666
"150610 Primavera";185
"150611 Quatipuru";158
"150613 Redenção";1701
"150616 Rio Maria";311
"150618 Rondon do Pará";729
"150619 Rurópolis";383
"150620 Salinópolis";632
"150630 Salvaterra";377
"150635 Santa Bárbara do Pará";285
"150640 Santa Cruz do Arari";103
"150650 Santa Izabel do Pará";1044
"150655 Santa Luzia do Pará";345
"150658 Santa Maria das Barreiras";197
"150660 Santa Maria do Pará";367
"150670 Santana do Araguaia";584
