Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Acre;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Acrelândia;17,3;23,3;31,9;28,5;43,2;44,4;36,6;45,8;46,5;50,2;45,7;38,8;38,7;43,8;57,2;63,1;57,2;52,3;60,6;61,5
Assis Brasil;**;7,1;9,3;11,9;4,4;8,9;5,8;6,8;10,0;13,1;17,1;21,5;23,3;25,4;31,1;28,6;36,3;37,1;45,5;47,4
Brasiléia;5,2;6,5;14,1;15,4;17,1;22,6;21,4;28,2;26,0;25,5;28,2;39,0;37,2;40,8;34,4;44,8;46,9;50,9;55,0;56,7
Bujari;**;17,9;25,8;21,3;18,6;16,8;22,1;27,1;19,7;31,3;34,1;41,0;40,4;47,0;43,8;52,0;46,4;43,6;51,0;59,6
Capixaba;11,3;15,4;22,3;25,2;23,9;20,1;26,3;17,2;23,2;21,8;32,5;28,5;22,9;33,7;40,6;40,6;39,2;44,9;42,3;57,6
Cruzeiro do Sul;10,4;18,5;7,7;15,5;26,1;58,0;59,9;64,7;29,4;21,8;18,8;28,1;39,6;45,3;50,1;49,6;53,2;58,7;58,1;61,2
Epitaciolândia;5,2;11,2;18,2;16,7;14,3;16,0;24,1;23,8;29,9;32,1;27,3;32,4;39,4;40,4;34,4;38,4;40,4;45,7;52,7;50,3
Feijó;4,7;24,4;24,4;32,6;19,0;7,0;6,9;7,4;15,2;13,7;10,7;9,9;12,6;14,0;13,8;16,8;22,1;9,5;22,3;30,3
Jordão;0,0;**;**;0,0;**;**;2,7;4,8;8,1;2,2;8,5;7,8;8,2;7,0;13,1;23,8;17,9;24,4;23,4;22,5
Mâncio Lima;15,0;18,5;10,6;11,5;13,0;21,5;21,6;38,1;15,1;17,4;19,1;32,0;28,2;31,3;47,7;37,5;41,8;47,2;51,8;52,8
Manoel Urbano;**;0,0;3,7;**;**;3,1;6,8;19,1;20,2;22,4;23,1;22,1;33,2;34,5;28,0;29,7;38,6;47,1;46,4;38,3
Marechal Thaumaturgo;**;0,0;3,6;7,4;11,3;20,9;24,6;20,2;12,2;18,5;15,5;14,2;20,9;19,6;23,8;25,6;27,6;34,8;35,1;43,8
Plácido de Castro;32,0;33,7;14,4;20,6;22,3;26,1;38,6;37,0;33,8;45,0;50,3;40,5;40,5;41,3;50,6;48,9;52,2;53,4;59,2;59,7
Porto Walter;**;**;4,4;3,9;4,0;9,0;21,9;24,6;16,0;11,9;15,4;10,5;17,5;18,1;28,4;39,3;47,0;41,1;36,6;46,7
Rio Branco;19,0;26,6;23,6;31,5;32,1;36,4;34,9;36,3;38,5;40,1;43,2;41,6;45,9;48,7;48,2;50,7;54,6;55,5;57,8;58,3
Rodrigues Alves;4,2;2,8;2,2;5,3;6,9;18,4;40,4;31,5;20,3;12,6;16,7;20,2;23,3;32,2;38,6;38,6;42,4;51,1;50,0;57,2
Santa Rosa do Purus;0,0;0,0;0,0;28,9;9,2;6,3;**;8,7;6,3;10,8;11,7;9,5;8,9;5,4;10,3;21,3;35,8;17,7;15,0;24,7
Senador Guiomard;13,2;20,5;16,8;28,7;27,7;20,7;25,8;29,9;35,5;29,9;39,6;33,3;33,8;35,8;38,4;40,2;43,2;46,3;45,0;59,2
Sena Madureira;1,2;1,7;2,2;8,8;9,9;13,6;17,1;18,4;23,3;26,3;28,8;27,6;28,1;28,4;34,7;32,9;36,2;39,7;42,5;50,5
Tarauacá;6,2;9,8;12,9;4,3;6,1;6,8;5,8;5,2;4,2;5,2;10,7;16,9;18,9;16,1;13,3;17,3;16,4;19,5;24,5;23,3
Xapuri;6,9;15,4;10,3;10,4;13,9;20,6;17,8;24,0;25,3;20,9;21,5;24,7;39,5;42,5;56,9;59,0;58,7;60,7;69,5;71,0
Porto Acre;27,4;17,3;25,2;23,1;27,7;27,9;29,9;33,6;31,5;35,6;39,9;36,5;32,7;46,7;43,8;47,5;46,1;41,9;48,5;51,5
Acre;14,5;20,8;17,4;22,6;23,6;29,4;29,7;33,6;27,8;28,0;30,1;31,3;35,1;38,4;40,1;42,5;45,6;46,6;49,4;52,2
Norte;24,8;26,1;26,1;28,0;28,3;28,7;29,8;31,1;31,0;33,3;36,6;39,6;40,1;41,6;44,7;47,2;48,5;49,9;50,7;53,5
Brasil;43,7;45,5;47,8;49,9;52,0;52,8;54,5;55,8;57,0;57,9;60,6;61,3;61,7;62,4;64,6;66,5;67,7;69,3;70,8;72,4
** - Para evitar a interpretação inadequada de taxas instáveis, foram suprimidos valores baseados em baixa frequência de casos (maior que 0 e menor que 5).;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
PROADESS - Projeto de Avaliação do Desempenho do Sistema de Saúde;;;;;;;;;;;;;;;;;;;;
URL: https://www.proadess.icict.fiocruz.br/;;;;;;;;;;;;;;;;;;;;
