Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Alagoas;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Água Branca;25,2;27,4;26,1;22,8;24,5;19,2;16,0;25,5;19,7;15,6;21,0;32,2;40,4;37,5;53,4;54,9;52,2;48,2;62,1;70,9
Anadia;17,5;22,1;29,5;31,5;20,6;30,2;41,1;46,0;50,9;39,8;40,1;40,5;38,8;47,3;50,6;46,3;53,8;62,4;66,5;61,7
Arapiraca;53,9;63,0;60,9;61,2;55,4;46,7;34,6;29,9;39,4;48,2;48,6;46,4;48,0;49,0;55,9;57,1;62,2;76,5;78,6;95,2
Atalaia;16,8;24,1;29,1;40,6;42,3;47,3;49,7;38,7;39,3;39,6;37,9;31,6;31,4;40,7;46,1;50,8;41,6;47,9;50,7;58,2
Barra de Santo Antônio;44,5;48,6;42,5;52,5;51,7;52,1;53,9;53,5;50,6;36,6;35,0;32,4;40,1;46,3;48,4;52,9;50,8;53,1;59,1;57,6
Barra de São Miguel;31,1;61,6;54,2;52,8;60,6;66,0;62,3;42,8;42,7;47,2;47,5;38,7;52,4;42,1;50,7;65,1;61,3;62,4;69,6;68,9
Batalha;9,3;11,0;11,0;17,6;22,4;26,7;22,7;14,3;22,5;16,6;22,7;42,0;39,3;49,0;56,4;55,7;55,6;58,5;80,2;79,4
Belém;8,4;13,3;19,2;27,9;29,5;34,0;30,1;36,5;29,8;30,4;38,2;48,7;43,0;44,7;60,8;42,3;50,6;71,4;73,2;79,7
Belo Monte;7,2;7,7;9,4;16,3;24,8;27,6;15,4;11,8;16,8;22,9;27,7;31,8;48,0;37,5;56,3;46,4;64,2;64,6;66,3;85,3
Boca da Mata;43,9;51,9;55,7;61,5;63,6;58,3;60,7;64,7;62,2;54,9;53,0;47,2;46,3;64,8;79,2;86,1;83,4;80,0;84,7;86,1
Branquinha;67,1;67,3;53,8;75,0;78,5;75,8;71,4;56,1;50,8;67,9;55,0;40,5;58,1;59,4;54,5;50,7;54,3;44,9;59,0;53,5
Cacimbinhas;16,3;14,1;14,7;20,2;21,3;18,4;34,5;29,4;42,3;32,3;33,7;45,6;53,7;48,8;52,0;54,1;52,9;54,4;61,3;60,6
Cajueiro;25,2;53,6;51,7;21,4;22,7;32,4;34,2;34,9;41,4;36,7;45,8;37,8;34,6;34,5;39,5;34,1;44,0;44,6;52,9;52,7
Campestre;12,2;20,0;30,1;40,3;43,8;47,6;46,8;43,7;36,3;48,0;44,0;28,4;30,0;33,7;43,1;42,9;42,9;51,1;68,8;65,6
Campo Alegre;16,9;18,0;20,1;24,5;26,7;31,6;26,4;22,7;28,1;31,5;33,2;26,9;27,5;50,0;65,1;80,8;79,2;77,2;85,8;91,7
Campo Grande;41,7;49,8;51,5;50,6;38,2;36,0;38,9;16,7;31,2;27,8;28,3;32,9;33,5;27,7;31,8;29,6;47,6;79,3;65,4;88,0
Canapi;12,9;12,8;21,1;24,2;16,5;22,3;26,7;26,2;26,5;24,7;28,4;30,7;32,6;43,4;50,2;50,8;57,1;62,4;74,8;79,2
Capela;18,2;33,0;33,9;31,7;36,4;69,9;80,9;55,4;54,7;68,3;40,8;43,6;39,6;36,5;43,2;46,6;52,5;60,8;70,4;74,5
Carneiros;12,4;12,8;23,9;25,5;31,9;26,8;24,6;21,2;25,9;30,2;33,5;25,0;49,4;52,9;63,7;66,7;65,9;63,9;70,7;86,2
Chã Preta;44,6;67,2;80,4;38,3;27,5;18,8;17,7;26,0;28,7;45,2;41,9;25,8;42,5;39,3;57,3;63,4;69,0;61,8;63,2;60,7
Coité do Nóia;46,0;51,2;56,5;57,4;50,0;44,3;39,3;21,4;32,4;49,2;43,6;47,4;50,0;56,5;60,7;66,0;70,1;84,4;82,7;90,1
Colônia Leopoldina;28,3;31,8;31,2;34,1;34,6;38,1;31,2;33,6;28,6;33,1;31,1;24,8;21,4;16,4;37,2;42,3;47,7;39,9;53,3;56,2
Coqueiro Seco;58,4;55,6;54,5;64,8;49,0;56,1;60,8;51,0;47,1;38,1;38,0;28,6;30,0;34,7;53,2;42,9;48,8;60,9;62,8;61,8
Coruripe;29,9;33,7;28,3;26,5;22,0;38,9;47,7;40,0;27,5;23,6;25,7;26,1;33,2;40,3;44,0;48,4;55,8;61,2;64,2;72,6
Craíbas;28,4;33,0;32,7;36,3;36,5;34,2;23,3;22,2;24,6;34,0;34,6;34,2;41,1;35,4;46,2;45,6;51,4;69,2;70,3;86,2
Delmiro Gouveia;31,8;61,9;57,9;27,7;22,6;18,3;20,4;24,6;29,3;23,2;32,9;49,3;52,1;45,6;50,7;43,5;50,0;49,1;57,9;73,3
Dois Riachos;7,9;11,9;8,8;16,0;17,7;10,9;22,8;28,7;29,3;26,2;33,1;35,6;46,4;50,4;53,6;67,7;57,0;66,2;74,7;75,0
Estrela de Alagoas;14,1;22,3;20,4;24,8;25,8;26,4;40,3;34,4;34,4;35,3;31,4;40,1;43,8;44,4;46,0;49,5;48,7;59,3;58,6;64,4
Feira Grande;37,5;45,6;42,6;42,2;39,4;38,0;24,7;20,1;30,4;34,0;40,6;33,0;35,3;33,2;53,7;49,5;55,7;69,2;76,9;94,7
Feliz Deserto;6,8;19,6;24,6;39,7;27,1;43,0;57,0;46,4;39,2;48,4;48,1;45,0;57,0;59,1;62,3;58,0;54,7;74,7;77,2;73,7
Flexeiras;31,0;27,5;29,9;40,9;38,1;72,0;62,6;64,5;63,0;56,2;50,2;40,3;36,8;38,3;42,6;55,0;61,4;66,3;62,3;69,5
Girau do Ponciano;41,9;45,3;31,9;36,1;34,4;33,0;26,3;22,8;31,6;35,8;35,5;35,5;46,5;43,9;46,8;52,0;62,0;78,6;79,3;94,6
Ibateguara;48,3;59,7;57,9;71,8;76,1;78,4;74,0;55,3;61,0;62,1;57,8;22,7;30,9;42,1;62,2;55,7;48,4;52,2;62,6;71,4
Igaci;20,5;25,7;21,6;33,1;38,3;32,9;30,9;29,2;30,7;38,4;42,2;36,1;45,4;43,8;51,3;49,6;53,7;64,9;62,4;73,6
Igreja Nova;3,2;6,9;14,9;20,9;26,7;18,4;20,6;21,5;25,1;26,4;31,4;32,1;40,1;44,7;48,3;49,2;43,1;49,1;80,0;81,9
Inhapi;48,5;14,0;18,0;10,8;12,9;22,7;26,1;26,6;34,2;31,5;39,6;54,9;67,4;57,9;67,3;62,3;61,7;61,4;66,8;74,8
Jacaré dos Homens;7,3;13,2;11,4;26,1;37,5;29,3;26,8;20,3;30,4;20,3;30,6;44,0;53,5;63,6;59,4;67,6;76,4;67,6;81,1;91,8
Jacuípe;22,6;33,5;51,5;46,8;39,9;41,3;46,9;39,8;32,7;41,2;40,2;48,5;47,9;47,4;51,1;54,9;55,9;67,3;72,5;62,1
Japaratinga;24,0;24,3;21,2;29,9;47,7;43,4;42,3;29,4;30,5;22,7;45,8;34,0;50,6;37,3;53,4;44,8;43,0;50,3;53,4;55,5
Jaramataia;33,9;29,5;35,7;46,5;29,8;24,8;15,8;21,7;23,1;24,2;27,7;28,0;41,6;28,2;58,2;48,9;54,3;67,4;87,4;83,5
Jequiá da Praia;**;21,0;23,4;34,7;29,2;31,2;39,1;39,0;36,0;28,5;36,9;42,1;48,5;57,4;55,6;67,1;63,0;62,7;75,5;74,1
Joaquim Gomes;15,9;23,6;26,9;33,2;23,7;30,1;38,4;34,9;35,8;38,0;40,0;27,0;30,7;33,3;52,9;49,0;66,9;66,0;72,8;73,2
Jundiá;25,0;35,0;44,8;42,4;40,2;39,3;46,3;44,6;31,7;38,9;39,6;17,9;29,5;57,9;51,3;80,9;54,2;72,0;78,1;85,4
Junqueiro;13,4;14,0;19,9;29,2;30,7;32,9;23,6;20,4;29,0;42,1;29,7;48,4;62,7;62,7;66,0;65,5;74,9;86,9;88,9;94,4
Lagoa da Canoa;62,0;62,5;66,4;67,8;56,3;41,3;37,0;27,2;30,7;41,0;40,2;37,3;48,2;46,6;47,5;48,6;51,9;74,8;74,6;95,5
Limoeiro de Anadia;27,9;33,7;25,6;31,7;33,2;32,2;21,5;17,9;30,3;30,1;38,5;43,9;48,8;48,8;50,0;50,1;62,8;76,1;81,3;94,6
Maceió;64,0;67,1;62,3;61,7;59,2;62,7;64,0;63,9;61,2;53,2;49,2;43,7;47,5;47,6;50,6;48,3;52,1;52,7;54,4;57,2
Major Isidoro;14,6;14,9;22,3;24,1;21,6;21,2;24,1;23,5;35,1;37,3;43,6;43,1;44,1;49,8;58,8;58,1;58,8;68,1;75,5;87,9
Maragogi;18,5;13,8;21,3;29,1;45,1;39,9;40,8;21,6;19,6;20,5;18,9;21,5;25,1;23,7;31,4;27,2;27,7;39,7;50,3;51,7
Maravilha;28,1;27,5;43,8;40,2;30,7;31,9;29,2;23,7;33,7;33,9;44,2;48,9;55,7;63,6;72,3;72,4;64,1;70,7;78,8;78,0
Marechal Deodoro;55,2;55,9;56,0;49,3;44,6;55,7;54,8;50,2;46,4;43,7;44,5;42,2;49,5;50,5;49,6;54,8;55,6;53,4;57,9;64,8
Maribondo;26,9;32,0;29,6;32,9;37,7;35,7;24,6;27,2;33,8;42,5;45,5;46,2;37,5;43,7;39,5;47,2;45,6;71,7;63,0;68,1
Mar Vermelho;57,1;26,1;41,5;30,6;29,1;36,2;30,0;40,4;48,3;56,0;45,1;61,5;40,0;54,5;48,4;46,9;41,2;50,0;58,1;63,6
Mata Grande;17,9;20,9;30,2;19,0;22,6;19,4;15,8;18,2;36,1;28,5;26,0;38,7;46,1;39,8;55,4;58,7;63,6;65,9;79,1;84,5
Matriz de Camaragibe;25,1;24,8;28,2;32,4;34,3;38,7;43,7;49,7;55,2;37,0;37,6;37,1;33,1;34,3;43,5;53,5;56,6;52,9;52,7;58,7
Messias;50,9;52,4;42,2;40,7;46,9;45,1;55,8;62,3;54,0;50,9;47,3;36,4;36,3;33,3;47,6;56,8;58,0;65,0;64,1;61,3
Minador do Negrão;23,1;15,0;14,8;15,8;30,2;20,6;23,4;14,4;27,3;25,3;44,1;59,6;50,0;56,8;63,0;67,9;61,2;75,0;68,5;77,3
Monteirópolis;6,6;13,3;7,0;8,0;10,2;16,0;20,3;8,8;10,3;22,3;26,2;40,6;52,9;48,3;56,6;54,6;55,3;66,1;78,9;78,9
Murici;65,7;59,7;62,0;64,6;67,0;79,7;74,1;69,2;69,0;70,7;60,3;31,2;40,0;44,5;47,0;50,9;44,9;47,8;57,1;62,7
Novo Lino;32,8;26,2;36,4;41,6;48,7;32,9;39,3;41,4;50,3;35,1;33,2;25,9;28,9;15,8;25,0;32,1;49,3;60,5;48,6;60,6
Olho d'Água das Flores;16,4;20,2;17,8;16,1;26,2;19,8;21,7;20,0;25,7;27,2;37,9;31,7;41,9;41,5;47,2;50,5;54,7;62,8;62,9;75,3
Olho d'Água do Casado;24,7;31,8;37,2;30,5;31,1;15,3;19,6;25,0;21,3;35,7;40,3;50,0;49,2;51,9;55,3;58,0;44,6;62,0;78,2;81,7
Olho d'Água Grande;46,8;28,0;39,6;27,7;22,5;35,9;26,8;27,5;25,2;38,0;57,1;36,8;22,5;34,6;36,3;29,0;37,0;64,9;72,5;96,6
Olivença;17,3;20,4;35,9;42,7;51,3;35,3;38,9;42,3;39,9;39,2;30,8;50,0;44,0;49,4;67,2;66,7;64,8;77,2;77,1;83,9
Ouro Branco;33,2;32,1;44,8;42,0;35,6;33,6;31,3;34,6;41,9;43,3;41,9;50,7;47,8;51,7;72,1;79,4;72,8;80,1;84,2;75,2
Palestina;4,3;6,3;**;5,5;**;8,3;8,8;19,8;22,3;24,0;27,6;39,7;47,6;35,8;42,2;56,0;68,4;71,1;70,1;77,9
Palmeira dos Índios;17,7;21,9;24,3;27,1;29,1;28,6;37,2;37,6;36,6;39,6;46,0;43,9;47,7;48,0;50,7;56,4;54,4;57,8;64,1;70,1
Pão de Açúcar;3,0;2,7;4,1;5,4;4,3;9,6;10,3;15,7;24,1;15,4;22,0;31,3;27,8;31,4;49,3;55,1;61,9;60,1;70,2;77,2
Pariconha;30,8;40,9;41,9;24,2;23,2;21,4;20,5;23,1;28,1;34,5;32,3;46,0;50,9;61,1;63,6;71,1;75,8;73,4;79,4;82,1
Paripueira;38,8;41,3;38,6;43,3;34,5;49,2;54,7;50,3;55,8;41,2;32,4;31,0;32,1;49,3;43,1;55,7;59,2;45,9;52,6;59,0
Passo de Camaragibe;31,3;25,4;28,0;31,6;29,8;45,6;54,9;41,9;51,7;47,3;41,1;37,2;32,2;41,2;54,9;57,4;52,3;49,3;46,4;58,7
Paulo Jacinto;35,4;19,4;24,6;24,8;19,3;20,7;73,6;76,1;64,6;61,1;53,3;63,3;61,2;52,0;60,0;73,6;73,9;71,9;85,6;94,9
Penedo;4,0;8,5;24,1;33,5;29,7;21,0;23,5;21,5;21,4;29,0;42,4;41,1;43,4;35,5;43,4;50,1;55,5;60,5;92,2;87,0
Piaçabuçu;3,0;9,7;21,1;32,8;24,1;20,6;18,1;18,2;17,8;24,8;32,9;38,8;38,4;44,2;46,1;45,2;53,7;57,2;63,2;69,1
Pilar;44,2;49,1;60,4;64,0;66,0;71,9;71,7;74,6;61,7;68,8;61,2;47,7;51,6;52,7;52,7;61,4;64,3;59,1;65,7;72,8
Pindoba;30,2;23,4;44,6;50,0;35,4;33,3;31,0;31,4;66,0;31,7;39,5;52,3;52,1;46,7;69,6;77,4;80,0;86,7;78,8;84,0
Piranhas;30,7;30,4;22,2;25,1;23,9;25,5;19,6;43,6;76,0;49,0;59,7;54,0;57,0;55,3;61,3;68,6;63,1;68,1;74,8;76,3
Poço das Trincheiras;22,9;19,7;43,8;51,1;36,6;28,1;28,5;34,0;34,9;30,6;28,7;40,9;41,6;53,4;63,5;60,6;56,9;56,0;66,0;67,3
Porto Calvo;27,5;31,4;26,7;19,5;28,7;40,1;41,4;42,9;51,8;53,6;52,3;60,7;63,3;62,8;59,2;68,6;69,2;73,3;76,6;78,8
Porto de Pedras;32,0;26,8;25,2;29,9;27,2;46,9;30,2;42,2;46,1;21,2;34,4;33,6;41,7;52,3;53,7;50,4;39,8;72,4;74,8;67,5
Porto Real do Colégio;2,8;12,8;20,6;20,7;19,4;17,8;24,1;27,1;35,0;32,2;29,8;26,4;36,3;35,8;39,4;34,5;43,2;56,8;69,2;75,8
Quebrangulo;16,7;29,2;38,4;41,6;28,5;42,1;25,7;31,8;36,4;39,4;38,9;48,5;72,1;66,3;64,1;56,9;62,2;69,9;82,0;84,1
Rio Largo;59,0;65,7;62,3;63,3;54,9;60,0;56,0;60,9;53,7;50,7;52,0;37,8;37,0;38,5;43,7;46,6;43,4;44,3;49,0;45,7
Roteiro;2,0;8,5;14,2;14,4;15,9;12,7;21,2;25,7;27,7;29,9;26,2;34,7;40,7;32,3;44,8;50,0;44,2;51,9;60,5;62,6
Santa Luzia do Norte;74,1;71,0;71,5;60,8;52,2;59,2;63,0;62,1;60,3;58,2;52,7;43,1;41,9;34,0;43,6;43,3;52,4;50,4;48,2;55,0
Santana do Ipanema;31,1;32,3;48,8;45,1;43,2;34,2;37,7;39,8;34,8;38,2;34,3;36,4;50,5;52,9;66,0;70,4;69,4;65,8;74,1;70,1
Santana do Mundaú;55,3;55,1;42,2;51,1;71,1;65,3;62,9;45,9;50,7;67,0;60,3;33,7;62,3;64,8;62,9;56,0;46,0;60,0;69,7;77,1
São Brás;**;17,9;27,3;6,2;15,5;24,8;37,1;49,5;45,4;34,4;41,6;28,8;49,1;47,6;50,4;35,6;50,0;65,4;79,5;77,0
São José da Laje;43,6;54,4;60,5;66,5;63,9;50,6;57,1;49,3;47,6;41,6;41,5;30,2;43,9;45,8;53,9;52,7;58,4;52,5;59,1;63,9
São José da Tapera;8,8;8,8;9,4;9,2;4,9;10,7;10,5;8,7;11,8;15,2;26,7;38,0;40,6;51,2;76,1;78,5;78,3;80,9;83,3;87,1
São Luís do Quitunde;25,6;21,3;30,5;35,5;26,8;25,4;31,9;36,9;31,1;28,2;34,8;31,1;33,7;31,4;39,5;38,5;39,6;45,6;54,6;65,6
São Miguel dos Campos;15,5;20,2;27,3;24,8;23,6;22,4;25,9;27,7;30,7;28,4;31,3;39,7;42,1;41,9;51,6;61,8;62,9;67,9;68,0;71,0
