Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Amazonas;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Alvarães;3,2;**;3,3;12,5;12,5;20,3;24,3;13,8;6,6;20,9;24,2;30,0;32,8;36,1;44,5;36,0;36,6;33,7;31,8;35,4
Amaturá;8,5;13,5;12,6;8,5;14,5;16,1;7,8;4,9;7,7;7,5;13,5;22,3;36,4;42,5;54,2;64,5;55,7;56,9;61,1;66,4
Anamã;5,0;6,4;14,2;17,4;18,3;13,8;8,8;7,9;8,9;9,3;24,2;42,2;44,7;41,3;41,0;46,0;63,2;61,7;59,3;52,6
Anori;2,1;14,7;20,0;23,5;24,0;26,7;20,1;21,9;20,4;30,8;41,4;35,4;34,4;44,9;37,8;36,9;39,5;49,8;46,6;48,5
Apuí;21,9;28,0;31,4;44,6;29,8;29,0;38,0;54,4;52,1;50,0;65,1;71,3;59,5;53,4;63,7;73,5;76,8;77,7;77,7;67,4
Atalaia do Norte;15,5;8,7;10,7;30,4;34,0;43,0;21,5;21,1;24,8;14,1;15,4;14,2;19,9;24,6;32,0;46,5;41,3;39,8;38,7;39,0
Autazes;8,7;10,9;14,1;18,3;17,9;23,4;22,0;19,1;22,9;21,7;29,7;30,5;31,9;30,4;35,1;38,6;39,0;44,9;45,6;48,9
Barcelos;11,3;10,8;6,5;6,0;7,5;23,9;14,2;16,0;18,8;18,2;16,4;23,2;17,5;21,0;25,8;19,4;25,8;29,2;27,0;28,6
Barreirinha;2,7;11,0;17,0;13,0;17,8;15,5;9,7;19,5;23,2;24,4;30,7;28,2;29,3;28,7;34,7;40,6;31,9;39,4;38,1;47,3
Benjamin Constant;6,4;7,8;10,0;31,0;3,0;3,4;4,3;7,5;13,5;14,1;10,4;38,2;40,6;41,6;38,3;50,0;49,5;44,1;46,8;51,3
Beruri;5,8;**;2,1;3,2;4,5;4,7;5,3;5,7;11,1;15,1;19,9;20,3;26,7;26,2;26,0;32,7;22,9;33,2;41,3;25,3
Boa Vista do Ramos;7,1;5,6;5,2;11,4;11,6;6,0;7,9;14,1;15,2;28,6;20,9;20,5;38,8;45,8;46,6;42,0;36,9;43,3;57,5;72,4
Boca do Acre;23,2;26,6;18,3;30,9;33,1;34,0;45,6;31,9;28,0;26,4;17,6;24,7;23,9;49,5;53,1;61,7;61,1;58,4;52,1;55,4
Borba;3,3;1,6;4,2;2,4;7,0;4,1;14,0;20,1;30,4;32,6;30,7;42,5;48,3;49,8;60,6;59,9;67,1;63,1;58,0;53,7
Caapiranga;13,9;5,1;5,8;7,6;22,2;21,9;20,4;24,4;26,5;20,0;20,2;22,7;23,2;37,9;34,3;43,4;38,3;47,2;43,6;37,3
Canutama;20,8;25,3;19,2;14,0;12,5;11,5;22,0;17,7;19,1;16,1;42,2;48,3;46,0;58,2;47,2;48,4;45,2;42,9;42,3;54,2
Carauari;8,1;6,9;17,4;26,9;14,7;19,4;43,6;29,2;38,5;37,0;52,8;50,9;41,5;40,8;43,3;41,2;38,1;43,6;47,3;59,8
Careiro;18,9;17,1;20,8;16,9;18,8;6,8;9,8;13,5;16,2;21,2;18,6;21,6;22,0;31,0;35,2;37,5;36,0;46,1;46,2;47,9
Careiro da Várzea;29,8;9,3;8,6;19,1;13,5;16,4;16,1;21,1;13,6;16,2;12,8;22,0;11,7;23,2;26,4;27,9;38,2;43,0;37,1;48,0
