Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Bahia;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Abaíra;27,3;35,6;41,7;39,3;21,6;44,0;18,0;35,4;52,7;49,0;59,6;50,9;60,4;51,9;63,3;67,2;63,3;70,5;76,0;79,6
Abaré;22,9;15,1;21,5;19,2;21,3;23,1;31,3;25,9;33,4;41,8;56,5;64,0;64,8;68,3;72,6;80,9;78,7;81,1;78,4;79,2
Acajutiba;15,4;16,8;14,5;19,2;48,7;20,4;11,0;14,7;19,8;25,8;29,4;16,4;23,5;37,3;47,2;49,5;55,2;55,3;67,2;73,9
Adustina;5,2;14,9;19,7;23,7;23,3;23,5;31,1;28,5;30,7;32,5;35,8;42,1;59,5;66,1;69,0;71,8;72,9;74,9;84,7;77,6
Água Fria;12,8;6,3;11,0;13,7;16,3;18,9;18,2;19,4;23,2;28,1;35,9;45,7;37,3;35,9;43,0;70,0;70,7;66,5;78,1;76,6
Érico Cardoso;25,6;33,6;31,2;44,8;57,7;55,5;45,8;40,2;40,3;51,2;62,2;72,7;72,5;76,6;76,4;67,4;64,4;74,1;80,5;82,7
Aiquara;22,5;26,1;37,8;24,3;39,0;30,9;23,4;22,4;46,6;25,5;29,9;42,6;47,5;40,0;18,8;40,0;39,0;61,8;56,3;69,5
Alagoinhas;27,0;23,1;33,7;39,2;45,3;43,0;46,1;41,3;45,4;52,9;51,3;49,4;49,8;51,9;52,3;59,9;61,2;61,6;66,9;70,8
Alcobaça;16,6;34,1;33,0;24,9;17,6;19,8;30,3;24,2;28,4;26,1;26,8;37,4;36,9;37,6;45,6;50,2;42,1;44,4;62,6;60,5
Almadina;18,3;17,8;24,0;24,0;23,8;17,4;18,0;25,3;29,9;24,1;21,1;36,6;47,1;39,0;67,6;67,6;67,1;53,9;76,5;87,3
Amargosa;32,2;28,1;28,8;26,7;31,6;31,5;33,0;33,9;36,3;39,1;44,4;47,5;52,0;51,2;56,4;57,5;60,6;67,1;77,6;83,4
Amélia Rodrigues;31,2;25,2;29,2;33,2;32,1;34,1;30,3;35,4;38,1;38,4;41,6;33,7;32,7;25,8;21,4;44,1;65,4;67,6;62,4;62,4
América Dourada;24,3;20,0;16,4;19,5;10,5;13,5;13,7;16,3;14,6;15,3;18,9;52,2;54,9;56,9;59,9;63,6;66,7;69,1;74,4;73,9
Anagé;25,7;34,8;33,8;33,2;45,3;49,0;47,6;41,9;38,4;24,8;25,1;36,1;40,6;30,5;52,1;51,2;43,0;43,2;54,2;62,8
Andaraí;6,3;8,8;10,3;20,6;25,0;13,9;8,2;26,2;29,3;28,2;35,0;47,3;45,9;39,7;59,9;58,7;71,7;63,6;69,9;71,1
Andorinha;16,4;39,7;44,9;28,8;42,0;37,6;57,0;45,1;46,0;52,7;43,7;45,3;52,3;36,1;55,4;56,9;57,1;71,9;76,8;83,1
Angical;19,2;16,6;16,3;17,2;13,4;12,5;23,5;29,4;40,5;48,9;53,1;70,9;67,2;64,4;79,4;72,0;73,6;80,8;85,9;83,2
Anguera;21,4;22,0;31,4;33,3;42,1;27,6;35,6;37,6;35,6;40,4;47,8;37,7;46,5;49,4;30,4;49,5;77,5;82,9;92,4;90,9
Antas;7,9;10,7;24,5;27,0;40,0;53,2;35,0;39,8;64,2;46,4;31,0;61,5;57,5;44,5;52,5;57,9;50,0;66,4;64,4;59,4
Antônio Cardoso;19,3;19,1;15,6;22,7;33,0;27,1;25,7;34,6;28,3;32,3;28,3;34,1;28,0;27,2;22,3;45,7;85,3;84,7;72,1;66,7
Antônio Gonçalves;20,3;11,0;**;7,4;8,1;14,4;24,4;52,5;48,0;42,7;54,7;43,1;47,1;62,3;39,1;38,1;55,2;69,7;71,1;79,4
Aporá;13,2;15,2;12,1;22,7;28,8;18,8;24,1;22,1;34,3;41,4;42,9;27,0;62,4;63,2;67,9;60,0;63,3;56,3;71,2;73,4
Apuarema;19,4;21,5;33,0;12,7;39,4;53,7;51,8;31,5;30,6;35,1;38,1;44,9;29,3;41,2;49,2;53,3;58,0;69,0;63,4;67,3
Aracatu;11,3;13,0;16,7;14,9;20,3;32,6;36,0;41,1;39,0;37,5;43,9;46,0;57,7;64,4;74,7;74,7;69,8;71,6;76,7;73,0
Araças;15,9;9,0;14,3;26,9;16,2;19,2;27,0;18,9;23,5;33,7;45,1;47,4;46,5;65,6;56,3;61,4;65,9;59,9;70,1;73,2
Araci;27,4;8,8;16,0;33,3;30,1;30,3;17,5;17,5;18,9;20,9;36,0;44,3;39,0;39,4;42,5;50,4;49,0;51,6;63,5;72,0
Aramari;11,3;5,4;15,8;26,3;27,9;29,0;38,6;28,1;37,9;34,3;44,1;49,2;45,1;60,9;58,7;62,9;64,8;60,5;54,4;72,7
Arataca;14,9;7,7;7,1;6,2;4,2;6,0;11,1;14,7;12,0;10,5;12,7;34,7;32,9;21,0;34,6;45,2;43,5;35,6;45,8;55,6
Aratuípe;15,2;23,8;5,5;14,4;20,0;20,7;17,1;15,8;26,4;21,1;31,3;40,8;34,5;42,4;59,7;61,2;55,1;50,4;61,5;69,4
Aurelino Leal;37,4;27,7;39,2;48,6;27,0;26,6;29,1;16,3;17,9;19,2;24,2;35,3;28,7;39,7;41,2;49,5;44,2;46,4;41,2;59,0
Baianópolis;26,6;9,9;11,6;14,2;9,4;21,5;25,5;29,9;35,9;34,7;56,8;61,5;76,0;64,0;72,4;80,3;72,7;89,8;91,8;92,9
Baixa Grande;6,5;7,7;11,8;15,2;14,5;27,1;22,4;28,8;27,7;25,7;31,8;38,7;40,9;40,6;54,2;58,0;63,3;59,2;71,3;81,6
Banzaê;9,1;12,0;6,4;12,4;22,9;16,3;17,0;18,0;14,4;22,9;23,8;36,6;36,5;40,2;55,9;38,2;51,7;48,7;55,3;60,9
Barra;3,0;1,3;2,0;3,8;4,4;24,2;2,1;10,3;14,6;15,9;17,9;22,3;26,5;39,8;38,3;34,4;50,9;46,0;45,3;50,9
Barra da Estiva;9,4;7,3;9,0;14,5;14,8;28,4;39,3;50,0;53,9;56,4;53,9;57,4;70,3;70,3;74,9;74,9;74,8;72,0;81,2;80,1
Barra do Choça;17,9;27,1;23,0;33,9;50,4;40,7;41,8;35,4;36,8;36,3;44,7;57,3;56,6;64,4;61,6;51,9;54,1;49,2;59,6;68,8
Barra do Mendes;15,7;7,2;14,2;11,7;10,9;14,0;13,4;35,7;43,2;64,4;59,5;62,1;64,6;65,3;62,4;76,5;84,9;84,4;79,3;82,4
Barra do Rocha;27,5;34,0;34,6;15,5;33,1;25,8;31,7;37,5;42,2;44,0;37,8;45,0;50,6;50,0;48,6;57,3;47,7;58,3;38,1;79,2
Barreiras;23,6;23,1;22,2;24,8;19,9;25,0;31,7;46,0;56,8;57,5;66,8;67,6;69,9;63,3;70,5;67,6;74,6;69,9;78,0;80,4
Barro Alto;15,9;21,0;21,6;14,3;15,8;16,3;26,0;51,4;57,7;52,1;50,6;62,2;66,3;60,1;70,9;68,4;71,2;72,0;78,2;79,0
Barrocas;**;15,4;22,6;21,5;21,3;19,2;20,7;37,1;32,4;46,5;51,9;56,3;50,8;48,8;59,1;67,1;72,0;75,6;74,1;81,6
Barro Preto;13,0;15,2;18,4;19,3;26,4;12,0;34,7;13,7;22,5;13,6;25,0;40,2;32,2;46,4;51,3;50,0;53,7;53,5;69,1;56,2
Belmonte;19,1;28,4;34,4;25,3;24,7;22,9;21,6;46,3;46,7;48,1;46,2;43,3;43,8;36,8;43,6;48,9;47,5;43,4;55,0;60,9
Belo Campo;15,0;19,3;13,4;21,7;25,6;22,7;32,6;29,6;37,8;37,4;42,2;58,4;59,0;54,2;67,4;67,4;64,4;64,8;80,2;74,8
Biritinga;25,9;23,0;23,7;21,9;20,5;18,7;23,8;24,4;26,6;25,4;33,2;46,9;50,4;54,0;61,7;62,6;73,5;62,2;73,1;71,4
Boa Nova;21,8;19,5;24,1;27,7;24,1;22,7;32,5;25,1;28,7;36,2;34,5;39,1;49,3;58,0;57,8;67,6;69,5;66,8;80,4;74,6
Boa Vista do Tupim;3,0;7,7;16,6;17,8;19,5;12,9;18,3;30,7;25,7;32,9;26,8;51,5;46,3;31,6;42,7;55,4;55,1;58,4;81,0;84,6
Bom Jesus da Lapa;3,0;10,1;4,8;6,9;14,8;11,1;18,3;21,8;20,7;17,1;24,0;33,9;48,1;55,1;56,4;60,2;68,9;68,0;70,8;77,4
Bom Jesus da Serra;19,0;13,7;12,5;14,3;31,3;17,6;32,8;29,7;45,1;40,8;45,4;79,9;86,5;75,0;82,1;71,7;62,2;73,7;76,7;74,8
Boninal;27,7;20,8;34,4;28,0;17,9;19,4;26,7;30,9;45,6;47,5;45,8;51,7;61,8;52,6;59,6;71,0;71,7;68,0;74,0;77,9
Bonito;14,2;27,7;23,6;21,4;21,9;26,5;34,5;33,1;39,4;40,7;38,2;49,8;54,1;67,9;85,5;80,5;79,0;77,1;84,1;90,2
Boquira;20,8;11,0;5,3;8,8;7,2;8,4;17,4;14,8;38,1;44,5;42,8;46,5;45,3;49,0;57,5;61,2;67,7;59,1;65,6;71,5
Botuporã;62,4;60,7;65,7;61,7;58,5;54,1;57,8;63,8;70,5;67,1;77,7;72,6;82,5;84,4;72,3;86,4;80,1;87,7;87,9;86,1
Brejões;8,7;9,2;12,3;16,9;21,8;26,8;26,8;41,5;40,9;39,2;45,0;62,0;65,2;66,9;75,1;75,1;76,7;86,0;79,9;76,4
Brejolândia;29,6;30,2;16,7;16,8;22,9;43,4;75,2;68,8;67,1;62,2;69,2;63,0;69,3;73,3;81,2;77,6;70,5;79,8;83,8;80,4
Brotas de Macaúbas;10,8;3,6;5,2;**;10,2;18,8;54,6;77,0;73,4;48,8;66,4;60,7;65,4;49,6;66,7;71,9;62,7;69,1;77,9;78,1
Brumado;23,3;21,6;23,9;24,9;31,2;43,1;48,7;53,2;52,0;40,4;59,6;61,2;70,0;67,4;66,5;66,6;61,8;60,5;70,2;72,6
Buerarema;27,5;23,2;24,5;24,7;21,7;20,3;24,9;21,0;27,1;21,5;25,2;37,5;37,9;36,3;39,5;40,4;36,3;49,3;51,5;57,7
Buritirama;5,8;5,6;5,5;14,1;27,4;37,4;13,4;17,2;23,5;37,4;31,3;26,9;28,3;33,5;33,3;51,4;70,3;65,5;72,0;59,6
Caatiba;26,2;8,2;20,4;24,2;20,0;23,6;33,3;41,7;50,9;35,7;48,6;31,5;40,9;32,0;56,6;66,0;58,3;72,2;65,7;69,0
Cabaceiras do Paraguaçu;8,9;11,5;14,9;27,4;26,3;20,2;38,3;38,5;37,3;40,3;56,5;35,7;45,1;34,4;61,1;74,7;75,0;62,8;65,2;73,5
Cachoeira;6,2;7,7;7,3;23,0;22,8;27,1;66,1;69,3;73,0;75,6;66,7;28,3;33,2;38,8;39,4;49,5;56,4;63,4;57,4;57,3
Caculé;84,4;91,1;85,3;58,9;64,6;67,0;73,9;74,3;70,9;83,0;78,2;56,6;71,5;72,2;72,0;73,4;71,6;75,4;74,9;79,0
Caém;5,0;7,2;10,7;7,3;4,4;8,2;4,7;9,8;17,8;59,2;52,4;47,4;61,8;46,8;65,6;64,6;52,9;69,6;80,0;83,3
Caetanos;35,4;45,2;39,3;36,8;32,9;51,1;49,7;46,7;43,8;20,3;25,0;43,2;48,3;38,6;61,5;59,5;43,2;58,4;65,0;76,7
Caetité;25,0;27,8;31,3;35,3;40,6;41,1;45,9;51,1;51,1;55,1;51,7;64,6;71,0;70,6;77,2;81,0;80,6;82,9;83,6;84,4
Cafarnaum;26,4;39,0;35,6;25,1;12,9;14,1;9,3;22,3;26,9;25,6;28,3;38,8;49,1;43,6;48,8;59,4;65,3;59,6;61,1;71,0
Cairu;16,9;23,2;34,4;23,6;34,1;47,1;33,6;23,9;27,1;28,7;26,3;41,1;52,8;46,3;46,9;57,3;55,1;52,4;49,1;63,5
Caldeirão Grande;15,7;9,5;8,7;9,5;19,7;11,9;13,0;13,8;19,8;23,2;34,4;37,3;44,6;36,5;65,6;74,9;65,6;68,4;72,3;80,0
Camacan;20,7;19,0;17,2;24,4;22,1;20,6;21,0;21,3;18,0;19,4;15,7;29,2;37,1;43,6;51,7;49,9;42,6;55,1;57,5;63,2
Camaçari;29,9;32,1;29,3;31,9;32,1;34,8;39,3;40,4;42,3;38,4;42,6;44,8;45,8;47,0;49,1;48,7;45,2;49,1;53,3;56,9
Camamu;15,7;13,0;14,3;17,4;18,0;26,1;21,5;22,1;22,9;16,7;18,6;29,6;33,3;31,9;36,4;35,7;37,3;41,2;41,9;50,7
