Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Espírito Santo;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Afonso Cláudio;37,0;31,4;37,8;48,9;50,3;64,1;64,6;72,1;64,2;67,1;63,8;55,0;55,8;58,8;53,9;60,1;65,7;74,2;73,8;81,7
Águia Branca;40,4;48,0;43,2;40,4;49,6;42,7;51,8;53,4;69,8;63,2;56,3;68,2;63,6;66,7;71,7;68,0;76,2;66,4;76,7;83,3
Água Doce do Norte;27,1;30,1;35,6;34,0;35,2;43,0;47,5;41,8;51,4;56,5;56,9;52,3;53,6;58,2;64,5;68,1;71,9;70,8;64,7;71,6
Alegre;44,3;52,8;46,7;41,7;45,5;57,0;65,0;61,8;72,7;76,9;70,6;38,5;48,6;48,0;59,1;70,0;78,4;73,2;76,2;78,5
Alfredo Chaves;51,1;53,6;61,4;58,4;70,8;63,3;80,9;81,5;84,7;82,9;77,6;79,2;80,1;74,6;77,6;75,8;75,6;81,2;81,5;72,9
Alto Rio Novo;43,9;37,6;38,7;39,1;46,3;60,0;71,0;54,4;62,3;69,2;69,7;59,1;52,2;61,5;65,7;64,7;59,0;62,0;69,9;66,0
Anchieta;44,2;51,8;61,1;55,1;61,0;51,6;69,3;69,5;72,4;68,4;71,8;78,0;70,3;73,4;76,8;75,8;76,4;75,6;78,3;80,4
Apiacá;49,6;47,8;44,7;44,8;57,1;52,0;39,2;40,0;62,6;67,5;58,2;72,3;56,8;62,1;49,5;56,9;62,3;69,9;79,5;62,5
Aracruz;70,3;72,7;58,9;62,3;74,3;73,3;74,7;79,6;79,6;77,9;74,0;66,4;68,7;67,2;68,3;79,1;86,9;86,0;83,7;80,4
Atilio Vivacqua;32,1;28,6;39,6;35,8;53,9;33,3;35,9;42,5;36,3;29,7;36,4;36,3;67,6;65,4;69,1;70,5;58,3;60,7;67,9;67,8
Baixo Guandu;49,3;32,1;43,7;50,5;60,1;55,7;58,5;70,7;67,0;62,1;70,6;69,6;72,6;76,1;78,4;77,0;71,4;78,3;81,3;79,8
Barra de São Francisco;37,1;40,7;42,5;42,2;36,4;45,6;48,8;54,6;50,9;61,8;57,7;53,0;49,4;49,2;56,6;62,9;67,2;61,9;67,7;66,9
