Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Goiás;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Abadia de Goiás;50,0;55,1;58,7;65,8;75,2;67,9;77,0;71,0;72,1;81,4;73,6;64,1;46,9;59,3;65,4;63,0;67,0;64,3;63,6;60,3
Abadiânia;47,1;38,2;41,3;47,0;43,3;39,5;52,1;47,5;54,6;59,2;52,7;44,2;56,6;52,4;68,9;64,5;65,1;59,3;52,8;55,6
Acreúna;59,2;68,7;87,6;92,7;92,0;73,7;66,7;79,2;84,4;85,0;80,2;54,0;48,9;51,1;58,7;59,0;50,4;53,1;53,4;53,7
Adelândia;41,7;48,8;40,0;25,0;34,8;60,0;80,6;57,7;34,2;63,0;68,0;59,3;42,9;80,8;85,7;80,0;68,0;77,3;81,5;79,2
Água Fria de Goiás;23,8;37,8;35,6;49,0;45,0;31,9;37,5;58,5;38,7;44,4;48,8;49,0;52,8;58,8;56,4;50,0;63,8;75,0;78,2;82,7
Água Limpa;90,0;55,0;87,1;93,1;82,1;88,0;70,6;78,6;100,0;92,3;84,6;77,3;80,0;70,6;91,3;70,0;84,2;86,4;64,3;72,7
Águas Lindas de Goiás;22,9;26,4;30,8;32,3;33,9;33,8;31,1;37,7;39,7;41,1;43,3;38,7;41,6;40,7;42,3;46,4;47,0;49,2;44,5;46,3
Alexânia;36,6;28,5;40,2;43,9;43,1;43,0;46,1;39,8;43,3;39,9;48,4;57,7;65,2;59,7;61,3;62,2;53,2;62,2;69,1;69,0
Aloândia;82,4;91,3;89,5;91,7;70,6;92,3;58,8;61,5;84,6;87,5;87,5;82,6;80,0;76,0;87,5;64,5;73,9;86,7;100,0;86,7
Alto Horizonte;40,0;53,5;52,8;61,4;56,7;73,3;77,3;64,3;52,4;69,2;76,4;79,5;85,6;60,0;76,8;89,4;78,1;76,4;79,3;74,8
Alto Paraíso de Goiás;28,7;27,4;41,8;45,9;40,7;44,7;50,0;46,8;42,7;42,2;54,6;44,9;54,5;46,5;58,9;63,9;70,5;72,4;62,8;72,6
Alvorada do Norte;23,7;19,4;32,1;25,7;31,8;35,7;53,1;59,0;65,7;52,7;60,0;62,0;64,6;61,0;70,9;75,0;73,2;80,1;74,8;81,9
Amaralina;34,6;42,9;50,0;78,6;63,6;57,1;64,3;64,7;43,5;70,0;61,1;75,9;70,0;61,9;45,5;63,6;60,0;50,0;76,9;74,1
Americano do Brasil;51,8;63,4;71,4;66,1;86,4;70,4;58,2;60,0;48,2;66,7;87,3;60,0;42,3;50,6;41,3;54,0;47,9;81,0;93,8;83,1
Amorinópolis;74,2;87,9;90,4;82,4;86,4;89,4;73,3;84,6;87,5;84,4;91,5;95,1;70,7;80,6;70,7;63,3;82,9;76,3;97,4;89,2
Anápolis;49,8;50,5;50,2;51,0;53,0;54,0;56,1;51,7;54,8;48,1;46,1;46,2;51,4;52,8;55,3;57,8;61,2;60,2;62,1;65,9
Anhanguera;44,4;**;50,0;54,5;69,2;61,5;**;**;**;70,0;66,7;**;60,0;76,9;100,0;100,0;76,9;71,4;**;100,0
Anicuns;37,1;54,2;35,3;29,3;29,3;51,6;37,0;58,3;57,5;45,1;55,1;47,2;54,7;60,6;55,8;57,8;52,5;62,8;63,2;66,5
Aparecida de Goiânia;57,2;57,6;59,1;67,1;61,7;62,7;58,3;62,6;65,8;68,7;80,5;66,3;57,7;59,3;60,5;62,1;62,3;63,5;68,4;68,9
Aparecida do Rio Doce;52,6;60,0;53,3;64,1;55,3;66,7;59,5;71,4;69,2;71,4;80,6;71,4;55,6;50,0;62,5;67,9;58,3;66,7;64,5;69,4
Aporé;71,1;64,2;32,9;41,1;39,7;58,3;73,4;78,1;70,0;71,2;57,8;51,0;66,7;67,1;60,6;77,0;75,0;63,1;71,4;70,6
Araçu;76,7;50,7;54,8;69,8;81,8;92,2;80,0;58,8;76,5;73,3;80,6;76,0;73,8;77,4;69,6;60,0;69,7;63,2;60,5;65,9
Aragarças;37,9;88,4;79,2;76,9;89,0;75,3;67,9;33,1;38,2;32,8;34,4;34,0;26,5;49,3;44,2;37,6;39,9;54,7;65,5;59,8
Aragoiânia;76,0;69,0;60,7;63,9;65,3;72,5;67,7;61,0;57,1;67,5;85,7;63,6;41,0;59,8;72,6;67,8;56,8;53,5;63,2;60,9
Araguapaz;40,7;57,1;41,9;54,2;58,7;60,6;57,4;55,4;81,3;71,9;66,7;74,4;67,6;61,7;74,5;74,5;81,8;71,7;70,3;68,5
Arenópolis;91,4;87,5;86,2;92,3;95,9;62,5;74,3;82,5;85,7;87,1;92,7;80,6;75,8;59,0;48,8;62,5;88,6;82,1;72,7;57,1
Aruanã;25,5;33,3;58,1;42,0;53,3;47,5;69,1;64,9;73,3;69,7;75,0;50,7;60,7;76,2;77,5;76,6;82,2;75,8;81,2;91,0
Aurilândia;49,2;20,6;57,1;55,3;72,4;76,3;70,6;88,5;73,1;59,4;59,0;50,0;83,8;75,0;60,0;66,7;68,0;67,9;77,1;84,0
Avelinópolis;36,7;55,9;34,8;50,0;55,6;52,0;45,8;52,0;60,0;45,5;63,3;70,0;80,0;77,3;78,9;69,0;54,5;72,2;84,6;68,0
Baliza;82,4;78,6;84,2;75,0;63,9;34,6;47,2;52,2;45,0;47,1;69,0;61,0;51,6;56,4;72,0;53,6;56,0;64,5;76,7;58,1
