Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Maranhão;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Açailândia;10,7;16,2;14,1;11,6;11,9;25,2;26,0;24,8;23,8;23,4;31,5;39,6;32,8;31,5;41,3;40,1;39,0;38,7;43,4;47,7
Afonso Cunha;**;8,7;11,4;10,8;5,0;24,8;22,2;11,1;16,5;26,7;29,8;33,6;30,1;48,5;56,6;57,8;53,7;54,4;62,2;75,8
Água Doce do Maranhão;**;6,0;**;11,2;12,4;8,4;23,7;30,2;17,6;10,7;16,4;25,3;29,3;31,4;32,7;40,6;32,9;41,7;49,1;60,5
Alcântara;34,7;33,7;27,0;32,6;38,3;17,0;11,4;16,9;14,5;18,6;14,5;17,2;14,5;21,6;20,6;20,0;17,8;19,2;24,1;38,2
Aldeias Altas;5,9;13,4;11,6;12,2;6,1;5,5;6,4;6,4;10,3;7,8;10,3;15,0;20,9;20,9;23,0;31,6;31,9;28,0;39,6;53,1
Altamira do Maranhão;45,6;25,9;10,7;20,6;27,7;25,2;20,7;8,0;9,8;9,6;11,4;15,3;15,0;17,1;33,7;55,9;54,2;36,4;56,0;57,3
Alto Alegre do Maranhão;42,6;34,8;12,0;12,9;11,7;28,5;25,9;23,7;16,1;3,1;4,2;10,5;33,4;17,8;30,3;39,9;45,3;42,5;46,0;51,1
Alto Alegre do Pindaré;12,9;9,2;13,7;14,7;6,1;2,6;5,4;4,6;6,4;10,2;20,2;33,1;36,4;29,2;45,2;47,0;35,2;36,3;53,7;65,9
Alto Parnaíba;6,6;12,8;19,5;14,0;21,8;18,1;36,4;34,6;36,3;27,1;26,4;43,8;47,8;45,4;55,8;59,3;60,6;59,4;51,2;59,9
Amapá do Maranhão;**;5,1;**;0,0;**;**;12,6;15,6;**;11,5;27,6;26,5;25,2;19,5;23,4;30,6;43,1;55,3;56,8;44,2
Amarante do Maranhão;8,3;5,1;6,0;6,4;10,9;7,5;11,5;8,9;6,4;13,7;23,5;22,1;27,0;25,7;42,5;53,0;52,9;48,0;53,8;58,4
Anajatuba;3,9;7,2;11,2;13,8;15,2;19,2;22,3;19,4;21,2;13,8;13,0;28,3;35,8;29,1;45,0;41,1;54,3;59,9;65,7;74,5
Anapurus;4,5;3,1;14,5;14,7;19,6;14,6;10,5;16,4;13,4;16,4;25,2;25,3;24,9;23,6;29,6;29,7;38,3;35,0;51,7;52,1
Apicum-Açu;**;**;**;4,4;4,0;**;4,2;16,1;12,7;9,4;11,6;11,6;14,2;20,4;18,3;21,1;17,5;19,4;17,6;32,5
Araguanã;6,3;7,8;5,2;7,6;**;2,9;19,7;13,8;**;5,3;12,1;8,7;17,1;12,5;33,5;37,1;35,1;25,8;25,2;35,3
Araioses;2,2;4,5;3,0;7,5;11,7;11,2;27,6;25,2;16,5;11,9;11,0;19,6;32,5;27,3;32,6;36,0;38,7;36,0;46,6;46,2
Arame;4,8;6,5;11,2;9,6;3,8;5,9;25,1;21,8;5,4;6,9;4,0;5,9;11,9;11,0;25,0;39,0;28,1;43,8;50,9;56,7
Arari;32,0;26,6;32,2;42,5;27,4;17,6;21,4;20,8;29,4;28,6;28,7;46,0;48,8;45,2;54,3;67,7;70,5;71,0;69,8;73,7
Axixá;3,5;20,3;18,0;18,5;16,6;17,1;21,8;36,8;29,9;26,0;43,9;30,0;16,4;23,4;48,1;66,7;54,7;36,3;32,2;51,7
Bacabal;81,6;66,9;73,8;41,3;31,5;22,4;7,2;3,7;8,5;7,1;4,6;35,3;36,7;29,0;46,2;46,9;48,2;45,1;43,8;43,2
Bacabeira;6,1;16,6;26,6;21,4;17,8;16,9;20,2;23,5;20,6;20,1;25,0;45,0;49,8;37,1;45,4;46,5;49,7;53,8;64,5;64,5
Bacuri;2,9;11,6;14,2;15,4;8,3;8,6;13,5;19,4;16,5;17,9;20,1;27,3;31,3;26,1;35,5;38,3;36,7;28,0;43,3;45,2
Bacurituba;**;9,6;20,3;28,6;21,5;20,0;14,3;38,5;24,4;26,4;21,0;50,0;48,8;28,1;37,6;32,3;61,8;53,4;58,5;70,5
Balsas;20,3;16,2;20,1;20,5;26,8;33,5;35,9;36,0;31,1;32,2;41,1;44,4;36,6;41,0;39,0;36,4;37,5;43,0;59,8;68,0
Barão de Grajaú;7,8;13,1;81,0;48,8;19,9;16,7;11,8;15,5;22,1;27,6;30,7;38,4;37,3;42,5;56,3;57,8;65,2;77,1;69,8;74,5
Barra do Corda;8,9;5,1;2,5;10,0;4,6;7,7;12,3;10,3;9,7;8,8;10,7;33,9;30,3;35,2;34,9;37,6;37,5;38,9;47,5;45,5
Barreirinhas;8,0;7,1;7,3;4,3;7,1;4,6;7,4;8,2;14,2;13,6;14,0;16,0;20,1;15,5;21,2;46,6;41,2;41,7;34,6;40,0
Belágua;**;**;**;5,5;6,5;**;6,4;9,7;10,0;9,8;11,4;13,8;11,6;23,2;21,5;30,6;35,3;50,5;57,5;45,5
