Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Minas Gerais;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Abadia dos Dourados;88,9;97,4;87,8;92,4;96,7;91,6;86,2;83,8;79,5;86,2;93,1;87,0;76,5;82,5;83,1;77,4;79,7;86,5;78,1;82,1
Abaeté;33,4;52,5;60,3;61,0;77,6;53,3;59,9;59,4;72,1;73,0;74,1;73,7;71,4;75,0;74,2;71,4;73,7;82,8;82,1;84,0
Abre Campo;22,6;26,2;41,4;39,4;33,5;27,0;38,1;34,0;39,7;28,5;63,9;70,5;68,9;69,9;82,9;83,8;83,3;74,8;79,8;84,6
Acaiaca;63,2;42,6;44,1;73,5;51,0;54,2;64,6;58,1;71,1;68,6;77,1;67,3;89,4;78,9;86,8;84,2;56,1;77,8;90,7;78,8
Açucena;17,5;25,4;32,6;36,4;30,0;13,6;20,6;22,5;36,3;48,5;43,1;76,1;76,3;68,2;78,1;87,8;82,6;75,2;74,3;83,9
Água Boa;14,0;5,4;14,9;10,8;14,9;14,6;18,3;13,7;17,0;21,4;32,8;26,8;38,0;30,6;36,0;55,3;57,9;56,3;65,8;65,2
Água Comprida;34,8;68,8;65,2;57,7;66,7;50,0;**;72,2;80,0;52,9;46,2;57,7;69,6;50,0;76,2;76,0;87,5;70,0;65,5;84,2
Aguanil;47,4;46,9;34,3;18,8;50,0;46,5;35,5;60,0;46,2;37,5;37,5;32,4;80,0;72,5;84,9;68,6;80,0;88,6;85,5;87,5
Águas Formosas;22,8;22,1;30,6;35,3;32,9;26,4;22,6;21,5;26,0;38,7;58,3;62,6;57,5;71,6;77,1;81,3;81,9;76,0;84,0;85,7
Águas Vermelhas;22,6;10,6;18,1;19,5;19,0;24,4;41,3;41,3;57,1;75,0;50,0;74,1;73,8;65,2;73,5;76,6;79,4;76,9;78,2;83,4
Aimorés;42,0;38,3;34,1;41,6;44,4;38,6;50,7;50,8;49,7;55,6;56,8;64,7;70,6;70,8;70,6;77,4;72,8;74,5;80,9;75,9
Aiuruoca;19,8;17,7;35,6;30,6;23,9;21,1;55,4;62,3;83,3;85,7;86,4;78,2;70,4;72,9;81,4;63,6;71,1;67,9;62,2;59,6
Alagoa;67,6;62,2;61,5;70,0;75,9;52,8;51,4;89,3;82,6;87,2;87,0;73,7;84,6;90,5;89,3;84,2;61,1;75,0;87,1;100,0
Albertina;57,6;50,0;**;**;60,0;60,7;66,7;64,0;66,7;83,3;72,0;68,2;72,2;88,9;95,5;83,3;83,9;91,3;74,1;88,9
Além Paraíba;42,2;37,0;40,6;28,2;28,2;16,9;23,2;28,8;33,5;31,1;24,7;39,9;64,3;68,6;67,5;67,6;64,7;69,8;69,6;75,3
Alfenas;64,2;68,0;75,2;74,9;71,4;66,3;64,4;64,7;67,3;71,4;70,4;73,9;72,2;73,2;72,2;74,3;75,6;72,0;77,9;77,3
Alfredo Vasconcelos;69,9;71,2;78,4;69,9;61,3;61,3;75,9;55,1;58,6;53,1;51,9;64,9;63,3;62,8;58,3;81,0;77,2;69,4;76,9;83,1
Almenara;14,5;19,6;12,2;14,2;12,5;11,3;19,1;29,6;27,3;34,2;37,6;54,2;59,6;50,8;66,2;66,9;62,4;66,8;69,1;69,4
Alpercata;35,5;31,4;43,9;34,9;34,3;32,3;39,0;24,2;35,1;41,2;36,7;46,8;42,9;48,9;72,5;62,0;66,3;64,1;57,6;74,5
Alpinópolis;29,4;28,7;48,4;53,4;62,9;61,8;74,5;78,6;73,0;77,5;86,5;89,7;89,2;89,8;86,3;87,7;81,7;88,6;90,3;89,9
Alterosa;51,7;51,1;51,2;51,5;68,6;66,5;67,0;81,9;77,8;62,8;78,6;90,6;95,8;91,2;92,4;91,6;87,9;89,2;92,1;92,5
Alto Caparaó;66,3;39,8;29,4;58,0;56,3;42,3;39,4;50,0;82,8;57,3;73,2;72,5;62,0;50,0;72,1;72,0;82,2;81,8;82,0;69,5
Alto Rio Doce;46,2;32,7;50,3;42,0;53,4;46,7;52,8;46,4;41,4;38,1;51,6;53,8;63,0;67,7;73,5;62,4;44,9;54,1;71,6;69,8
Alvarenga;25,0;21,0;26,2;17,6;17,9;48,3;38,7;53,2;44,7;66,2;71,4;78,0;90,0;75,0;85,4;85,2;86,5;92,2;84,2;80,3
