Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Mato Grosso do Sul;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Água Clara;55,7;73,2;74,8;77,6;69,3;47,9;34,4;51,1;66,9;55,2;65,7;65,4;57,4;61,5;52,2;48,6;46,9;67,7;76,0;79,6
Alcinópolis;45,9;67,5;58,1;56,8;57,1;66,7;55,7;80,0;73,3;73,7;64,3;84,1;57,1;72,7;75,5;78,9;70,5;70,0;84,1;77,8
Amambai;30,7;40,6;43,5;51,1;46,0;49,2;49,5;43,1;42,6;42,3;38,3;42,6;44,4;40,1;49,2;49,8;51,5;54,6;60,7;64,4
Anastácio;78,2;43,7;32,1;43,2;42,0;39,5;81,4;74,0;71,1;61,0;46,1;43,9;47,9;53,6;59,5;61,1;48,2;58,2;62,1;66,4
Anaurilândia;27,0;34,3;26,7;16,1;26,0;48,1;64,4;72,0;67,2;75,0;76,7;64,9;57,9;49,5;65,7;78,8;65,0;61,0;73,1;75,3
Angélica;47,6;65,7;77,0;87,2;73,0;86,2;83,5;85,8;89,0;77,1;76,6;77,4;61,3;56,8;63,1;73,5;67,7;68,6;67,1;68,7
Antônio João;14,4;24,7;15,9;18,8;18,8;32,9;30,5;48,2;56,4;39,3;49,4;54,1;53,2;60,0;55,8;59,6;50,0;52,3;55,6;55,2
Aparecida do Taboado;33,2;57,3;87,7;97,4;85,8;54,2;75,1;72,1;68,8;85,1;88,3;80,7;76,3;80,7;79,5;75,5;81,2;72,3;79,0;74,6
Aquidauana;70,9;50,2;39,2;61,0;69,1;60,8;63,1;54,5;56,5;61,5;55,3;52,1;50,7;55,7;59,0;64,5;53,7;64,4;64,7;65,9
Aral Moreira;7,6;15,2;11,8;19,6;65,8;70,8;54,9;45,1;82,0;37,9;26,1;32,7;40,7;43,0;52,2;59,5;48,6;57,2;53,0;55,5
Bandeirantes;44,9;57,8;47,7;67,9;64,6;80,0;75,5;78,6;75,0;64,4;73,3;66,7;45,6;55,6;61,1;71,6;66,2;58,9;59,8;58,3
Bataguassu;40,6;48,2;36,7;36,7;39,3;49,4;57,4;57,0;64,5;73,0;67,1;58,6;62,2;63,8;69,1;72,1;64,3;68,5;69,9;81,1
Batayporã;75,5;61,8;57,8;65,6;65,6;70,4;66,8;60,6;56,9;65,2;65,6;64,4;69,5;64,8;74,3;65,3;60,0;66,1;67,7;79,0
Bela Vista;85,2;87,2;84,5;82,9;83,8;83,0;74,9;79,3;81,7;78,6;78,2;65,8;48,1;45,5;54,0;58,9;60,5;61,0;67,3;72,3
Bodoquena;33,1;44,4;51,7;46,0;64,5;70,6;65,8;68,8;29,9;31,1;45,0;37,2;36,7;59,1;65,0;67,6;63,2;72,8;81,4;80,1
Bonito;30,9;8,6;12,5;17,6;19,9;33,3;47,9;44,6;46,7;54,6;63,3;68,3;59,3;62,5;72,6;73,9;57,1;72,8;77,1;82,7
Brasilândia;48,6;51,1;45,8;49,5;61,4;63,1;60,9;67,9;49,7;47,1;36,3;56,0;44,5;57,0;68,6;72,0;78,9;71,7;87,4;92,7
Caarapó;38,7;34,9;52,4;77,4;63,5;70,0;50,8;64,3;58,5;69,6;73,1;68,5;60,9;66,3;69,2;62,6;72,3;73,7;74,9;71,6
Camapuã;12,4;10,2;15,5;15,5;36,4;45,8;50,5;59,0;71,8;49,0;65,3;64,4;56,7;58,8;59,2;58,7;52,7;62,3;65,6;62,7
Campo Grande;87,6;82,4;78,8;73,1;70,2;75,2;78,8;76,9;73,6;74,3;75,9;75,3;65,9;67,8;69,0;64,7;65,9;67,4;65,0;65,6
Caracol;29,2;37,0;42,0;33,0;26,2;53,1;67,2;60,7;61,7;83,7;79,5;82,6;68,1;51,9;59,1;68,3;71,8;65,2;64,2;70,3
Cassilândia;67,8;74,0;80,1;69,6;71,1;63,5;73,5;69,7;78,6;87,6;96,3;94,0;75,1;71,2;82,4;78,4;77,3;78,0;81,0;73,2
Chapadão do Sul;71,4;55,4;60,4;63,9;68,7;73,6;64,4;68,8;63,6;67,7;69,6;83,3;78,5;76,9;80,6;82,6;84,3;87,2;89,3;87,8
Corguinho;70,6;82,8;83,9;86,1;66,0;69,6;80,6;66,7;70,7;56,4;66,7;59,1;54,2;45,9;69,2;69,4;44,7;62,8;65,2;57,1
Coronel Sapucaia;19,3;19,1;26,6;40,6;30,2;26,9;27,3;26,7;25,1;26,4;29,3;32,4;47,6;31,7;49,2;40,3;40,1;43,6;51,3;58,1
Corumbá;31,9;43,2;73,4;72,2;64,8;64,1;50,7;32,6;36,6;26,3;47,4;40,9;57,1;58,5;55,6;63,3;66,2;64,4;69,0;71,3
Costa Rica;62,0;63,7;63,8;65,3;60,0;66,1;60,5;71,5;62,1;61,0;60,5;57,7;56,8;62,6;68,5;70,8;78,3;83,5;81,4;80,0
Coxim;62,0;53,7;51,1;55,8;65,3;61,8;50,7;66,2;74,6;81,1;81,2;60,8;61,8;57,0;62,5;60,3;58,1;63,6;71,3;68,6
Deodápolis;22,9;24,3;42,4;28,3;44,4;74,7;65,8;62,7;45,9;52,4;47,5;46,7;54,1;62,1;63,6;74,5;63,7;61,1;75,8;79,5
Dois Irmãos do Buriti;51,6;67,4;57,7;48,2;55,6;45,6;72,1;67,3;75,4;69,5;76,2;77,0;69,0;56,7;72,0;68,6;74,2;76,2;77,3;66,7
Douradina;52,9;44,6;65,4;61,3;72,9;60,3;39,6;53,1;65,9;68,9;59,1;66,7;69,0;65,1;67,1;73,4;72,4;64,9;73,4;82,1
Dourados;52,7;45,2;52,9;61,9;67,6;65,5;60,2;68,0;62,9;66,6;68,7;68,9;71,5;70,7;68,9;72,5;71,2;72,6;77,6;78,2
Eldorado;33,9;33,4;36,7;51,7;34,3;51,3;55,5;65,4;71,7;54,0;46,9;58,3;70,9;74,3;75,7;66,3;77,9;68,9;72,9;76,7
Fátima do Sul;73,4;65,6;61,3;73,1;66,3;66,7;67,0;65,2;66,9;76,5;85,0;85,6;84,7;85,7;71,4;70,1;69,3;81,7;84,5;85,6
Figueirão;**;**;**;**;**;71,4;78,1;65,7;73,2;70,3;66,7;66,7;81,1;61,1;70,6;80,4;71,0;79,4;91,4;93,8
Glória de Dourados;21,8;24,5;35,0;38,0;50,4;57,0;57,7;59,1;75,0;67,5;77,4;77,0;74,5;82,4;72,5;79,5;78,9;80,6;80,2;80,1
Guia Lopes da Laguna;26,7;13,0;19,7;34,3;30,1;56,3;24,0;26,9;36,9;46,5;44,3;52,5;65,1;54,6;74,4;76,1;79,4;71,7;76,6;76,5
Iguatemi;27,1;33,0;15,0;10,5;13,5;26,2;20,3;14,3;42,0;60,5;63,4;63,0;50,4;58,5;63,9;69,9;67,5;75,9;82,4;82,4
Inocência;62,9;46,9;64,5;49,2;29,8;40,3;64,6;75,7;77,8;75,0;68,9;67,0;65,5;68,8;59,5;66,4;62,4;75,5;67,3;76,6
Itaporã;63,2;66,9;70,8;73,5;67,6;83,1;85,0;87,9;85,1;91,7;93,7;79,8;79,3;76,4;83,5;81,5;85,8;84,9;82,1;87,6
Itaquiraí;33,5;31,8;36,4;36,1;45,6;43,7;46,4;56,9;50,2;46,8;62,0;62,8;50,4;55,9;60,1;63,1;64,2;64,4;56,6;57,5
Ivinhema;20,9;32,3;35,5;30,7;22,0;34,1;44,1;37,5;58,5;66,0;68,9;74,1;72,6;71,5;76,6;79,6;75,4;80,7;87,9;86,1
Japorã;14,0;**;7,2;36,1;45,5;38,4;18,4;24,1;30,3;25,9;37,3;33,8;23,9;26,9;27,6;29,3;28,5;31,9;45,7;53,6
Jaraguari;80,0;82,1;76,9;65,1;53,8;57,8;72,9;69,4;66,0;68,3;76,0;77,8;48,1;60,0;65,9;69,8;64,3;60,4;51,7;68,2
Jardim;35,3;24,4;34,1;39,0;47,5;89,8;71,3;87,2;95,0;92,7;81,1;76,0;73,3;74,3;75,4;73,8;73,6;79,1;81,7;80,3
Jateí;33,8;24,1;**;61,9;75,9;93,8;85,9;77,3;52,9;47,9;69,2;74,3;46,0;63,0;65,2;71,4;64,4;83,3;86,6;73,6
Juti;13,0;37,6;78,3;76,6;65,8;74,0;67,2;63,8;88,6;91,9;80,5;62,2;55,1;65,7;72,4;74,5;69,6;69,4;70,6;80,2
Ladário;40,4;44,8;74,2;68,6;71,6;57,2;52,7;35,5;39,8;31,1;47,0;41,0;58,3;68,5;60,7;56,0;54,0;58,3;62,1;61,6
Laguna Carapã;77,5;80,6;80,6;73,7;77,9;81,5;77,6;45,0;37,0;33,3;56,1;57,5;44,4;70,6;60,2;74,4;69,0;65,1;76,1;67,0
Maracaju;24,4;75,3;70,5;51,1;60,7;66,1;62,2;65,7;68,5;71,4;70,6;70,3;65,4;64,7;74,5;76,2;74,4;77,1;81,0;79,8
Miranda;38,3;67,6;54,9;42,9;38,0;29,1;35,5;32,2;33,9;32,5;39,7;46,3;47,0;49,6;47,2;50,0;51,4;46,8;50,1;54,0
Mundo Novo;25,1;29,8;29,2;56,5;63,3;56,1;54,6;55,1;56,0;50,9;46,5;37,7;25,8;33,6;42,6;38,6;42,8;50,5;66,8;62,4
