Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Mato Grosso;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Acorizal;50,0;49,1;61,8;62,1;49,2;37,7;46,8;35,1;49,0;57,4;73,2;77,3;81,8;81,7;73,0;60,9;72,6;72,7;75,4;91,8
Água Boa;48,3;52,3;65,0;76,1;74,7;58,3;93,8;49,7;74,3;70,5;85,7;73,3;70,8;70,2;72,9;72,9;70,5;76,7;80,6;82,7
Alta Floresta;42,0;49,7;50,4;55,9;60,7;53,5;52,3;56,8;48,4;52,0;52,8;68,2;64,0;64,8;64,4;64,8;69,5;77,3;78,6;79,9
Alto Araguaia;25,6;37,4;35,9;67,0;86,0;82,5;91,7;86,5;81,3;73,1;77,3;75,7;68,8;76,6;66,7;75,1;70,5;75,9;76,5;80,5
Alto Boa Vista;20,3;38,2;41,1;18,6;33,8;37,2;17,9;33,3;35,6;62,0;64,4;40,0;63,2;64,8;46,3;71,4;53,7;59,7;52,5;69,1
Alto Garças;88,0;87,7;92,7;95,0;97,9;82,6;83,5;85,8;79,7;62,6;78,6;82,3;67,3;60,5;68,4;63,4;67,8;70,2;76,0;74,5
Alto Paraguai;45,3;29,3;35,1;30,3;39,3;31,7;22,1;42,4;59,5;72,5;68,8;74,4;84,3;75,5;84,4;70,6;89,6;77,7;81,3;89,2
Alto Taquari;26,8;47,8;61,2;65,1;90,3;69,6;81,1;81,1;80,2;62,6;64,6;57,0;72,6;63,0;68,7;91,1;77,8;84,7;71,7;77,4
Apiacás;23,1;34,4;38,2;39,1;62,3;62,9;75,2;72,2;73,7;76,9;82,0;84,6;89,1;87,3;89,2;96,9;89,2;95,3;92,0;88,4
Araguaiana;26,3;57,7;53,1;43,9;56,4;66,7;82,9;82,1;58,3;52,0;54,8;58,3;72,7;73,5;77,8;64,9;65,5;73,7;70,0;81,3
