Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Pará;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Abaetetuba;13,9;18,6;23,5;23,4;23,8;23,9;19,3;18,9;23,9;27,0;32,5;39,7;46,7;47,8;47,6;47,3;53,4;53,9;54,0;55,0
Abel Figueiredo;41,2;41,0;12,5;12,9;7,1;15,7;22,9;24,2;39,9;23,3;28,6;50,4;63,2;59,7;44,0;45,5;39,3;39,4;58,5;58,3
Acará;4,6;7,7;10,9;9,0;8,0;10,1;13,0;19,2;13,4;14,8;16,4;32,9;29,1;25,2;31,5;37,4;31,3;33,6;33,7;31,9
Afuá;3,3;6,6;4,4;4,0;4,4;3,8;3,6;5,7;9,2;8,3;12,1;13,8;15,2;14,2;21,3;20,3;17,7;20,7;21,5;25,7
Água Azul do Norte;21,7;7,9;16,7;17,0;15,9;11,7;11,6;19,9;12,8;18,7;30,6;41,4;30,5;40,0;37,4;49,2;54,6;57,2;67,3;69,3
Alenquer;2,8;0,7;2,8;9,0;14,2;19,9;23,2;31,8;42,0;35,6;34,6;39,6;47,7;51,1;39,2;38,4;43,5;41,9;38,5;43,8
Almeirim;6,4;10,8;15,2;16,1;8,9;13,0;24,4;25,2;23,9;25,9;24,8;34,7;38,5;41,5;42,7;46,5;35,2;42,7;46,4;48,8
Altamira;22,8;23,9;22,9;23,5;28,3;25,3;32,1;32,7;36,4;31,3;23,8;30,3;32,8;38,5;39,9;35,2;38,2;34,6;32,8;42,4
Anajás;10,9;7,6;2,6;5,1;3,7;6,8;4,7;7,7;8,3;6,9;8,8;12,6;12,9;19,0;19,9;17,1;14,0;46,7;26,8;28,8
Ananindeua;59,9;65,7;60,7;59,0;48,0;46,1;52,4;49,9;45,7;49,8;49,3;47,7;46,7;45,9;44,0;43,8;43,2;49,4;46,7;46,3
Anapu;11,1;9,5;9,3;13,2;16,8;12,4;19,3;27,5;33,5;26,3;22,8;34,6;25,7;23,0;25,5;20,2;28,0;40,5;45,7;54,3
Augusto Corrêa;13,9;14,8;20,0;34,0;14,5;9,6;9,1;11,0;18,1;17,5;19,5;25,0;21,3;20,1;20,0;23,9;30,3;32,5;36,6;38,6
Aurora do Pará;22,8;28,5;28,4;34,9;16,9;17,5;22,6;25,2;27,8;24,6;25,8;32,0;35,5;37,8;49,2;42,7;42,0;47,9;48,9;47,5
Aveiro;12,7;12,2;13,6;22,3;17,7;11,6;12,5;12,4;21,6;21,7;22,3;27,0;30,1;30,7;36,1;35,9;26,3;24,4;29,1;31,5
Bagre;16,3;30,9;46,7;32,5;18,3;50,7;37,2;54,7;62,2;17,4;20,6;9,7;9,9;15,4;14,6;12,9;17,6;19,2;27,1;29,9
Baião;36,3;29,5;5,6;3,3;1,6;2,6;7,7;7,6;4,2;14,3;31,2;67,3;49,4;32,0;63,0;73,2;72,1;65,9;70,3;64,5
Bannach;23,5;**;15,5;24,6;29,8;29,3;37,3;48,9;27,8;28,3;34,0;48,9;38,1;44,2;41,7;42,2;54,1;30,6;59,2;69,6
Barcarena;22,8;33,5;45,2;47,9;51,2;51,5;43,4;43,2;38,3;50,6;50,1;50,2;56,4;58,8;60,0;59,5;55,0;54,3;54,4;61,3
Belém;54,4;58,4;56,3;58,9;55,1;52,0;54,5;49,1;45,2;51,4;66,3;62,2;56,9;57,8;62,5;62,1;60,7;64,3;60,7;62,2
Belterra;9,5;10,0;8,4;17,9;13,5;29,2;25,6;19,1;28,0;28,7;30,7;43,8;46,1;58,7;51,7;46,5;49,4;54,0;63,9;66,2
Benevides;34,7;40,6;38,3;30,4;30,9;31,0;37,7;33,6;29,9;34,6;38,0;40,8;42,8;36,0;39,7;46,2;49,3;47,8;48,0;46,6
Bom Jesus do Tocantins;12,8;12,1;18,4;5,7;2,7;5,6;11,4;10,1;19,7;11,9;33,1;27,8;27,9;70,9;55,7;46,6;44,8;40,4;57,8;50,0
Bonito;9,1;12,9;17,4;14,0;11,0;8,6;6,9;9,3;3,9;20,5;18,0;35,0;27,6;40,5;48,8;42,9;39,0;35,3;46,3;60,0
Bragança;3,5;7,5;3,2;2,9;2,6;4,7;10,4;14,4;16,5;19,0;24,1;25,7;24,3;16,8;24,0;23,3;30,8;28,0;36,6;42,7
Brasil Novo;12,2;8,7;26,1;47,6;39,7;51,6;54,4;49,0;61,8;60,3;48,6;47,9;62,7;58,0;55,9;39,2;41,2;42,9;39,9;52,3
Brejo Grande do Araguaia;6,8;7,9;7,0;10,2;7,2;12,0;11,8;23,1;24,4;18,2;24,8;43,6;60,8;60,0;46,7;50,5;54,4;45,2;58,7;72,0
Breu Branco;59,4;26,0;29,9;32,3;28,8;28,0;32,8;27,5;28,2;28,9;24,1;25,1;27,5;35,8;44,7;40,3;37,3;39,2;44,8;55,3
Breves;4,2;1,2;2,9;9,5;11,8;8,0;12,4;18,7;18,5;11,5;12,4;15,7;16,5;14,6;17,5;16,7;19,6;18,6;18,3;17,5
Bujaru;2,5;11,6;36,2;51,7;22,7;18,3;10,5;12,9;16,9;15,7;18,0;26,2;27,0;25,3;24,6;20,3;26,8;30,0;29,1;36,7
Cachoeira do Piriá;9,0;10,0;18,8;24,6;14,1;13,9;6,3;6,0;6,6;21,5;14,9;14,7;14,0;26,3;24,0;21,7;19,8;13,5;18,6;28,8
Cachoeira do Arari;6,5;36,7;15,7;16,9;16,6;14,3;19,3;18,8;20,9;7,7;19,8;27,4;37,7;36,2;48,5;28,2;24,8;23,0;23,4;32,1
Cametá;35,1;10,1;20,3;11,9;8,8;9,3;10,7;10,3;13,2;17,2;25,3;25,2;31,7;30,4;26,7;27,8;29,7;28,7;40,3;43,5
Canaã dos Carajás;10,0;6,3;6,9;8,3;4,2;12,6;38,7;46,9;59,5;71,7;54,1;41,6;38,1;38,4;47,5;49,8;56,1;53,7;53,3;65,0
Capanema;16,3;15,4;22,3;19,3;13,6;13,3;9,0;6,8;15,6;34,9;24,3;41,3;28,6;47,5;47,5;43,8;44,7;37,0;49,6;56,1
