Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Pernambuco;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Abreu e Lima;51,0;49,0;56,9;46,2;41,8;38,3;40,8;45,5;45,2;43,5;48,9;48,9;48,9;52,2;50,6;54,7;52,3;59,6;62,7;61,8
Afogados da Ingazeira;15,3;13,5;14,8;18,7;20,8;22,0;24,4;20,6;35,9;38,4;39,5;69,1;72,3;80,9;81,0;84,1;86,2;86,0;82,2;84,1
Afrânio;23,2;12,0;18,6;26,4;22,6;33,3;19,6;13,4;13,2;24,8;26,0;57,1;56,6;60,6;69,8;72,5;70,4;75,8;82,8;86,6
Agrestina;11,3;17,8;21,2;23,2;13,1;23,9;29,5;39,4;38,6;37,2;40,2;55,1;64,4;72,4;67,1;77,6;73,1;71,6;72,9;73,5
Água Preta;35,3;49,1;53,6;49,0;62,8;50,3;57,6;50,3;46,7;43,3;38,5;37,7;48,9;42,4;49,2;53,1;54,6;53,3;53,9;59,1
Águas Belas;11,3;10,7;15,0;14,5;15,6;15,5;13,3;16,8;22,0;15,3;27,7;43,2;60,8;65,0;69,9;73,1;74,3;70,0;81,0;82,2
Alagoinha;24,8;22,4;26,1;27,7;28,9;35,0;37,7;36,6;37,5;43,3;47,9;67,2;53,7;54,4;69,5;64,8;74,9;74,1;84,9;80,5
Aliança;32,3;35,4;48,8;30,9;40,4;41,2;49,0;46,9;44,8;44,3;45,0;54,8;57,7;55,4;68,2;71,6;72,2;74,1;75,9;75,4
Altinho;31,7;44,4;52,0;52,4;50,7;36,1;46,3;45,2;49,6;39,9;41,2;54,6;57,0;49,8;59,4;62,6;48,9;54,7;60,8;63,6
Amaraji;35,6;42,1;37,8;37,0;38,3;32,7;45,9;41,1;39,8;48,8;57,7;55,5;57,3;57,4;64,1;59,3;57,4;61,2;73,8;70,1
Angelim;24,6;24,0;27,7;37,9;42,9;36,2;37,5;41,1;48,7;40,3;55,6;66,5;69,4;70,6;80,3;80,5;74,3;77,5;80,0;72,7
Araçoiaba;26,6;34,5;56,0;58,1;40,1;32,1;33,2;45,7;42,9;45,6;49,7;51,3;41,3;60,4;62,4;67,5;66,1;72,6;70,2;69,5
Araripina;10,1;19,3;15,9;17,0;21,2;29,8;35,3;27,8;30,7;35,4;51,9;52,9;64,1;63,6;68,7;71,7;69,2;74,5;75,0;74,4
Arcoverde;61,7;65,7;71,6;65,1;70,4;66,8;70,3;73,6;72,3;79,3;78,8;63,2;60,3;67,8;68,8;73,1;76,4;75,1;80,1;81,5
Barra de Guabiraba;41,8;48,0;42,2;43,7;38,2;44,6;45,0;52,2;39,6;48,2;53,4;50,3;53,0;63,9;61,7;67,2;68,2;72,4;70,9;84,8
Barreiros;33,5;38,0;35,2;43,3;47,7;34,6;36,1;26,5;24,6;24,0;25,1;36,1;42,2;41,6;44,7;41,5;52,6;52,0;66,1;74,3
Belém de Maria;40,9;42,4;32,3;28,8;31,4;31,4;41,8;46,3;45,2;55,1;44,8;66,2;76,0;60,7;68,4;60,9;58,8;66,1;77,8;85,4
Belém do São Francisco;31,1;28,9;22,9;21,8;21,2;23,3;24,1;26,4;33,8;31,7;36,6;43,0;56,4;61,2;60,3;64,6;70,4;68,7;64,9;73,4
Belo Jardim;40,2;27,9;24,6;35,1;32,1;27,6;22,8;27,4;35,9;45,0;41,4;55,4;58,2;62,3;69,5;70,0;70,0;71,6;76,3;75,0
Betânia;16,5;9,4;15,3;5,2;16,2;12,6;10,7;19,4;24,5;16,4;23,1;55,4;57,5;45,7;64,6;60,5;60,9;71,4;77,6;85,5
Bezerros;82,8;84,3;88,1;75,6;66,7;58,8;57,2;49,9;45,5;49,9;60,4;62,7;64,4;62,5;58,9;70,8;72,7;68,8;72,4;75,1
Bodocó;33,7;32,2;28,8;26,0;23,0;14,7;14,2;29,2;46,5;56,8;64,3;70,9;70,8;77,6;81,0;82,6;82,6;80,2;84,3;84,2
Bom Conselho;11,9;13,0;16,1;13,1;17,1;14,8;20,3;16,7;26,7;25,6;40,5;55,0;61,0;65,4;62,5;72,5;71,6;73,9;76,6;80,6
Bom Jardim;18,2;13,9;15,9;28,7;30,3;28,1;33,0;43,8;55,7;56,3;62,1;59,8;59,3;69,8;81,6;76,4;77,3;78,0;78,8;77,6
Bonito;22,1;20,3;27,5;29,1;34,2;36,5;45,2;51,6;44,2;38,5;43,8;62,3;60,7;69,2;72,0;72,3;79,4;74,0;78,3;81,8
Brejão;9,4;13,1;19,4;13,4;12,8;20,6;21,0;30,1;30,6;36,6;38,2;49,1;61,1;68,0;62,0;73,4;74,5;69,3;83,1;87,7
Brejinho;14,0;17,9;13,0;18,7;21,1;20,7;25,3;26,2;29,4;26,4;23,3;65,1;66,7;70,4;81,3;83,3;74,4;78,3;86,6;80,4
Brejo da Madre de Deus;21,4;20,6;20,6;21,9;28,7;35,6;38,1;39,2;36,6;42,7;43,6;52,5;56,3;53,6;61,7;63,1;61,3;63,6;75,9;72,7
Buenos Aires;32,7;34,1;30,2;27,2;37,1;36,1;44,7;47,2;52,1;47,5;46,5;74,6;64,3;69,3;68,1;77,2;74,3;82,2;85,4;82,9
Buíque;35,7;35,6;40,0;38,4;38,0;31,3;33,2;39,6;41,1;48,5;51,7;45,6;57,3;68,5;69,3;69,9;75,1;72,7;80,0;85,5
Cabo de Santo Agostinho;51,8;50,5;49,4;52,5;54,2;50,6;56,5;56,6;53,2;50,8;53,6;55,1;53,4;53,4;53,1;53,6;57,6;63,4;62,9;64,3
Cabrobó;8,5;9,6;14,2;18,6;14,3;14,8;18,3;28,3;29,9;35,1;50,9;60,8;70,0;63,6;87,7;86,6;88,3;81,0;79,5;84,5
Cachoeirinha;28,5;35,2;38,6;46,3;46,9;46,3;58,4;49,3;50,5;51,4;53,4;53,7;51,7;65,1;59,2;64,8;67,2;77,4;75,5;74,7
Caetés;20,6;13,4;16,7;13,7;15,4;21,6;25,9;31,3;39,6;49,2;64,1;70,8;81,5;86,6;85,2;82,2;86,4;88,6;88,4;85,8
Calçado;30,5;35,2;31,1;32,3;30,5;26,9;33,3;45,2;41,1;33,3;49,7;69,7;75,8;77,7;77,5;78,7;76,9;77,9;83,8;89,1
Calumbi;0,0;0,0;**;**;6,5;7,2;5,0;7,0;12,8;39,1;40,6;38,9;29,5;45,2;81,9;75,3;79,8;57,0;74,6;76,6
Camaragibe;39,0;38,2;38,2;52,9;54,1;52,4;59,1;62,9;61,9;63,8;63,0;60,9;59,4;58,3;58,5;56,0;55,9;63,1;64,9;68,1
Camocim de São Félix;49,9;44,3;47,6;54,5;48,2;38,5;44,3;50,2;45,5;50,7;54,1;52,9;63,3;69,2;60,2;76,0;73,7;75,7;74,6;84,3
