Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Piauí;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Acauã;5,2;8,1;9,0;15,4;30,4;30,7;37,8;44,8;31,3;16,5;21,7;51,9;64,1;60,0;74,7;69,0;67,1;70,5;73,7;87,6
Agricolândia;21,3;30,9;20,7;25,0;20,8;54,1;59,7;61,6;65,8;49,3;38,8;47,7;36,1;66,0;67,1;69,0;65,8;66,7;71,1;79,7
Água Branca;16,3;28,2;43,2;43,1;43,9;62,8;67,4;67,4;68,2;55,4;56,7;66,8;63,5;57,6;63,7;66,7;64,4;69,8;76,2;79,9
Alagoinha do Piauí;4,5;11,8;32,7;25,2;25,8;28,3;35,0;41,7;54,1;51,1;33,0;35,0;43,3;49,4;62,8;60,0;76,5;72,9;60,0;70,3
Alegrete do Piauí;19,2;15,4;19,5;32,9;22,6;25,3;32,3;40,3;52,4;71,6;40,3;48,4;37,3;34,8;50,8;53,5;75,9;75,3;66,7;72,9
Alto Longá;21,6;45,9;30,6;38,3;40,6;38,2;56,4;52,5;53,0;44,6;41,4;28,9;37,7;32,1;46,0;52,7;47,6;47,9;60,4;65,2
Altos;18,6;13,3;21,3;29,1;30,3;33,6;51,8;46,9;56,6;38,9;38,3;27,4;30,4;36,9;44,4;49,0;55,0;55,5;62,9;58,8
Alvorada do Gurguéia;8,2;15,1;32,9;38,5;23,9;24,0;28,7;35,3;38,0;40,0;29,3;43,2;40,5;64,9;63,5;76,2;73,8;76,9;77,2;71,2
Amarante;24,6;29,4;27,4;32,9;33,6;33,5;28,0;34,0;41,9;27,3;27,2;27,0;23,7;29,3;36,7;41,4;41,8;39,1;43,8;49,7
Angical do Piauí;34,3;29,3;49,3;41,6;36,4;45,0;56,6;62,5;53,1;37,0;38,6;33,7;42,2;43,2;46,9;54,4;45,2;32,9;49,4;50,5
Anísio de Abreu;5,0;11,3;12,8;10,8;8,4;12,8;33,7;37,2;35,7;34,8;50,0;64,5;68,8;66,4;69,3;72,9;58,5;70,2;77,2;85,9
Antônio Almeida;23,5;**;17,3;13,8;14,3;20,5;16,4;10,3;19,5;14,6;23,1;40,5;44,7;54,5;78,0;82,9;75,6;75,6;82,5;87,7
Aroazes;12,2;12,1;29,6;28,6;22,4;44,9;47,4;31,1;50,6;60,2;67,5;60,3;49,0;76,3;77,6;70,7;75,6;79,4;85,7;83,1
Aroeiras do Itaim;**;**;**;**;**;**;25,8;57,7;33,3;55,0;34,4;33,3;48,3;57,1;52,0;54,8;84,2;65,0;63,6;54,3
Arraial;**;4,8;11,3;18,9;23,2;40,8;37,3;51,3;40,8;43,3;40,3;42,1;43,8;33,3;50,0;75,9;78,3;90,0;85,5;86,7
Assunção do Piauí;7,1;17,2;6,1;7,6;7,3;18,2;30,4;40,6;56,8;45,8;49,4;53,7;50,4;51,4;60,3;56,3;49,1;49,5;50,0;41,0
Avelino Lopes;6,8;6,8;3,5;6,5;9,5;11,3;19,5;17,0;16,3;22,8;23,9;33,3;33,2;31,5;43,4;45,3;42,4;47,9;54,0;53,8
Baixa Grande do Ribeiro;10,1;5,2;6,9;8,2;9,1;9,5;22,6;21,0;29,9;30,5;38,3;45,9;44,8;28,0;26,4;40,3;50,0;61,6;52,8;62,7
Barra D'Alcântara;36,5;26,6;27,0;52,7;35,0;61,8;75,0;56,9;42,4;66,7;80,0;60,0;65,5;91,3;64,0;63,6;70,7;75,0;63,5;94,4
Barras;20,6;25,5;27,6;33,9;36,8;41,6;51,8;54,0;52,8;49,0;43,8;44,6;49,3;46,5;53,5;61,0;61,6;62,2;68,5;69,6
Barreiras do Piauí;28,1;**;**;10,0;**;**;9,1;17,8;0,0;20,0;27,3;27,5;10,9;14,6;**;52,9;60,0;51,3;72,5;83,7
Barro Duro;20,2;14,3;35,9;36,0;28,2;59,4;68,9;67,3;71,3;48,6;54,7;45,0;44,8;54,9;64,1;60,9;66,0;61,7;60,8;71,2
Batalha;8,4;6,9;10,9;23,3;26,0;22,3;39,0;54,3;57,6;38,2;40,5;43,9;46,4;52,4;53,9;62,4;66,0;49,4;56,4;67,4
Bela Vista do Piauí;**;6,9;31,3;26,4;29,3;32,3;43,1;30,9;41,9;52,5;61,2;71,8;66,7;80,0;68,8;82,0;94,1;87,2;82,4;83,6
Belém do Piauí;**;18,5;**;**;14,8;21,4;20,0;40,8;48,8;58,8;43,1;50,0;58,1;52,6;63,3;44,4;72,2;71,8;65,2;50,0
Beneditinos;12,6;16,8;19,9;29,8;24,8;44,2;57,1;47,3;60,1;41,7;51,1;46,2;57,4;58,6;70,6;74,1;75,6;67,8;76,6;77,0
Bertolínia;11,8;25,3;25,0;33,3;26,7;21,3;22,8;17,0;20,0;18,8;27,1;27,9;26,7;32,3;37,8;49,4;44,0;42,0;53,4;58,9
Betânia do Piauí;8,3;9,8;9,3;23,1;32,4;29,8;28,2;18,4;18,3;25,6;27,8;39,0;57,3;38,9;45,9;59,0;59,3;57,7;56,9;65,7
Boa Hora;8,4;18,9;29,5;17,5;36,0;44,5;50,0;61,5;57,0;63,6;61,3;59,8;61,2;60,0;60,7;63,3;67,1;74,0;82,8;80,0
Bocaina;25,8;22,4;24,3;15,8;35,6;17,0;36,8;45,9;47,0;62,9;28,3;31,6;51,0;55,6;50,0;52,6;71,7;59,0;58,3;71,2
Bom Jesus;30,7;35,3;41,5;47,7;46,7;33,4;33,3;36,2;39,1;37,7;52,7;55,9;66,4;62,7;63,3;73,7;70,3;74,7;72,1;76,8
Bom Princípio do Piauí;10,0;23,3;26,8;12,6;10,9;11,9;17,3;34,5;9,7;22,2;15,4;29,0;36,8;37,9;42,2;44,3;61,3;65,0;52,9;52,8
Bonfim do Piauí;45,9;32,4;26,2;50,0;31,6;22,8;33,8;48,9;46,3;41,5;47,3;56,3;55,3;46,1;56,4;63,3;66,0;78,8;74,7;68,0
Boqueirão do Piauí;46,0;54,2;50,5;28,3;45,7;36,4;39,1;60,4;66,7;60,6;56,9;38,5;55,6;53,5;52,6;50,8;55,3;53,6;61,0;63,0
Brasileira;5,4;11,6;8,9;14,0;7,1;10,4;21,9;26,2;43,4;39,5;44,0;41,2;42,2;46,2;62,2;64,6;61,0;60,0;56,5;67,0
Brejo do Piauí;47,3;49,3;60,0;69,4;62,4;51,3;53,4;19,7;36,5;26,7;37,1;45,8;75,0;58,7;64,4;70,2;76,5;79,5;65,2;68,3
Buriti dos Lopes;8,3;8,9;3,3;10,0;18,3;15,3;33,4;39,2;24,2;23,3;23,4;28,4;35,4;39,0;42,7;43,1;44,3;45,7;45,7;52,5
Buriti dos Montes;10,9;9,1;7,7;8,7;19,1;13,3;29,5;42,1;51,5;35,6;35,6;29,9;44,1;59,5;61,1;63,2;66,2;75,6;84,6;77,8
Cabeceiras do Piauí;22,4;24,7;26,8;33,3;38,9;50,4;42,4;54,0;59,7;63,9;66,1;55,8;65,2;62,8;63,6;68,6;78,2;60,4;76,6;70,0
Cajazeiras do Piauí;0,0;**;19,4;15,4;21,6;33,3;40,8;34,1;25,0;15,2;15,2;35,0;28,2;52,0;43,2;73,2;72,1;78,9;69,4;60,0
Cajueiro da Praia;**;9,5;7,1;4,8;11,7;12,0;26,1;24,1;19,0;19,2;21,1;27,3;41,7;50,0;38,5;49,5;53,4;42,7;42,2;50,9
Caldeirão Grande do Piauí;15,9;12,8;16,9;23,0;28,2;39,5;42,2;55,3;64,1;64,5;65,1;60,7;76,7;68,5;78,6;81,6;85,9;84,6;88,2;89,6
Campinas do Piauí;11,0;11,9;25,0;16,7;18,5;29,6;37,2;30,8;31,2;39,1;25,9;52,8;53,1;50,7;54,2;52,6;46,9;73,2;68,5;79,3
Campo Alegre do Fidalgo;0,0;**;8,8;12,8;10,4;7,1;13,9;40,2;33,0;35,1;56,2;67,5;82,9;74,2;76,8;77,6;82,8;83,3;87,0;85,1
