Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Rio de Janeiro;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Angra dos Reis;57,8;61,0;62,3;66,5;69,7;70,3;75,5;75,0;76,7;80,2;84,2;77,7;76,9;71,6;72,4;67,8;71,2;72,2;73,9;74,3
Aperibé;62,7;74,8;68,4;76,0;68,0;68,7;53,8;61,0;66,4;72,5;57,8;82,8;65,9;78,5;78,8;71,2;83,9;82,2;80,9;84,1
Araruama;40,4;50,8;62,0;63,5;46,2;46,3;37,2;42,6;46,7;42,7;46,7;53,4;39,2;35,4;52,0;51,2;55,7;52,2;61,5;62,0
Areal;62,1;62,0;59,4;63,8;57,4;55,6;60,1;59,5;64,4;68,2;71,1;73,0;74,4;74,6;70,8;70,3;76,7;69,6;80,0;76,6
Armação dos Búzios;55,8;53,0;59,6;54,5;59,7;54,7;51,5;52,3;43,3;54,8;55,5;64,0;68,8;65,6;67,5;64,0;65,0;69,7;70,0;68,7
Arraial do Cabo;52,0;58,4;58,6;54,7;57,4;56,7;53,3;49,5;55,2;51,4;58,8;57,4;57,5;54,4;55,9;58,6;57,9;58,2;56,5;65,9
Barra do Piraí;55,5;60,4;65,2;72,4;75,4;71,4;70,2;61,9;60,4;75,0;76,6;76,0;60,4;59,6;61,1;55,1;62,1;61,5;58,3;63,4
Barra Mansa;75,7;81,7;83,0;87,1;85,9;83,0;80,6;78,0;82,2;84,4;83,7;81,6;78,3;75,1;74,1;74,4;71,1;73,1;76,3;77,3
Belford Roxo;35,9;33,8;38,6;41,8;39,7;29,1;34,5;33,8;35,5;35,7;40,7;40,4;42,2;44,3;45,6;50,8;52,5;51,6;53,7;55,1
Bom Jardim;72,4;72,4;74,9;73,7;53,9;66,8;72,0;76,6;69,9;71,9;65,1;62,2;59,0;59,6;63,7;68,2;72,2;78,2;86,9;89,6
Bom Jesus do Itabapoana;49,7;52,8;54,3;64,1;71,9;64,8;58,1;48,9;58,2;70,8;54,0;69,8;55,1;57,4;59,4;70,0;79,5;74,9;77,0;76,4
Cabo Frio;42,3;46,0;45,7;51,3;59,3;58,3;55,1;54,0;58,1;54,1;56,0;54,3;56,2;54,2;57,2;59,6;55,8;55,0;60,7;62,4
Cachoeiras de Macacu;52,4;66,4;65,4;52,1;56,9;58,8;61,1;56,2;49,7;61,4;61,0;69,0;66,8;55,8;56,3;54,5;51,4;59,8;57,4;44,5
Cambuci;69,0;49,5;53,1;56,5;60,6;61,8;58,3;60,3;57,5;71,3;80,3;73,1;60,4;64,5;66,4;69,6;67,9;64,9;65,3;66,9
Carapebus;54,4;65,9;81,5;72,4;59,7;82,6;81,5;83,1;85,6;71,0;80,8;78,4;63,9;65,0;65,8;68,8;73,5;74,5;70,5;73,8
Comendador Levy Gasparian;80,3;66,1;66,4;53,0;50,0;59,0;59,0;68,3;74,8;67,8;71,3;66,7;75,8;75,7;73,9;70,9;67,4;66,4;64,4;72,6
Campos dos Goytacazes;74,0;74,8;71,3;75,4;78,7;79,2;77,9;75,3;75,8;73,3;79,1;75,3;62,7;53,4;64,5;66,2;68,5;70,6;71,5;73,7
Cantagalo;91,0;89,2;73,5;80,3;75,6;85,6;74,6;63,6;45,9;43,8;55,0;62,3;79,1;84,3;82,7;86,8;81,7;92,7;81,7;82,8
Cardoso Moreira;24,5;40,2;83,7;90,1;89,6;74,7;84,2;81,6;89,0;70,9;83,1;73,6;66,7;56,4;74,3;78,5;72,0;72,0;72,9;78,0
Carmo;40,1;39,8;23,8;23,8;28,5;36,2;31,9;20,5;30,5;30,8;37,3;52,8;69,5;72,2;74,8;82,5;77,8;78,3;75,3;79,6
Casimiro de Abreu;27,4;40,2;36,9;51,3;56,6;63,2;63,0;67,1;72,9;69,5;72,2;70,5;68,5;68,1;68,3;64,3;65,8;71,4;78,1;70,5
Conceição de Macabu;74,5;60,3;64,1;55,5;52,2;61,2;55,7;59,3;68,6;65,7;61,7;63,9;65,4;64,2;68,9;81,8;72,0;57,7;64,9;67,2
Cordeiro;80,9;84,1;86,9;78,7;71,5;69,0;73,9;59,3;56,0;48,7;56,7;53,6;63,9;68,8;74,9;72,8;66,7;66,8;62,5;72,9
Duas Barras;74,9;73,0;69,8;79,2;57,7;68,0;73,2;69,7;50,3;57,4;54,2;35,4;41,4;44,2;47,8;51,0;59,0;58,6;63,9;62,6
Duque de Caxias;42,5;39,3;36,2;42,8;50,2;51,4;50,3;51,7;53,4;53,1;56,6;54,7;54,3;54,5;55,5;54,1;54,7;52,0;56,5;58,8
Engenheiro Paulo de Front;82,9;77,2;52,6;55,9;82,4;63,8;77,9;68,9;73,7;72,1;71,2;75,2;64,2;66,1;69,5;70,6;73,6;74,4;78,1;78,2
Guapimirim;72,8;57,4;58,0;57,4;50,4;36,5;43,6;45,0;50,1;51,2;61,5;61,4;62,0;53,3;56,0;57,7;53,5;57,4;61,6;67,5
Iguaba Grande;50,5;48,5;57,9;51,7;54,3;65,2;67,8;59,7;63,4;55,6;59,1;63,5;69,5;69,8;72,9;69,7;71,9;78,7;76,6;77,8
Itaboraí;56,8;61,9;60,7;58,8;44,3;44,5;44,3;49,6;50,8;52,9;54,1;64,6;63,3;63,6;65,2;64,0;63,6;62,8;66,3;66,5
Itaguaí;56,1;74,7;64,4;57,3;52,3;65,7;59,7;64,1;60,0;58,5;60,5;63,2;55,0;58,3;54,3;53,3;56,5;54,8;52,8;59,1
Italva;9,4;36,9;87,6;92,7;94,2;76,0;82,7;90,4;88,1;82,9;73,9;60,2;66,0;70,0;74,7;71,2;66,4;71,2;71,9;66,3
Itaocara;55,3;68,9;52,5;48,7;40,8;50,0;28,0;26,4;37,0;37,5;51,1;47,6;52,2;46,7;43,6;46,3;63,6;66,1;82,9;80,6
Itaperuna;77,1;75,9;66,1;72,4;58,9;48,2;45,9;56,6;58,2;56,2;54,7;72,9;72,6;69,4;72,6;74,5;73,9;69,0;71,2;69,7
Itatiaia;42,9;64,3;72,1;75,1;77,2;78,4;71,9;73,3;72,8;71,1;74,9;77,0;70,1;70,7;74,7;70,9;75,2;76,9;74,6;76,6
Japeri;45,9;49,2;45,8;45,8;53,3;48,9;33,6;30,2;25,0;29,8;30,2;29,2;36,8;39,9;45,5;53,7;50,9;52,1;57,7;54,8
Laje do Muriaé;79,7;65,1;69,4;58,8;75,9;68,0;70,1;67,0;79,3;50,6;44,7;64,0;67,0;68,3;69,4;65,6;32,6;53,3;49,0;67,1
Macaé;57,2;60,8;94,3;86,6;54,9;81,0;81,6;82,9;80,0;74,6;75,7;74,3;67,3;68,3;67,9;68,8;71,0;75,8;75,2;74,7
Macuco;67,0;70,5;68,8;58,0;72,5;67,6;75,9;64,2;56,3;44,8;49,6;56,0;53,0;71,3;47,2;64,2;71,7;61,9;71,3;83,2
Magé;63,4;46,3;51,8;51,0;42,9;46,8;44,8;66,4;75,7;77,3;75,3;73,6;61,9;60,2;59,8;61,7;60,4;61,1;62,3;64,3
Mangaratiba;59,3;70,7;54,5;64,7;65,6;58,9;67,2;56,1;59,5;63,4;57,9;57,2;53,3;54,6;59,2;53,1;60,6;57,7;62,1;67,0
Maricá;60,0;54,9;54,9;59,6;57,5;60,4;63,8;65,5;68,2;70,1;65,2;69,0;65,0;64,9;64,9;68,6;70,0;74,6;73,7;71,0
Mendes;56,6;26,3;23,3;33,0;46,2;40,8;70,3;67,9;66,9;75,0;77,0;76,4;76,1;77,3;69,6;77,7;80,9;74,8;79,2;80,7
Mesquita;**;45,0;44,8;54,7;54,3;52,1;49,4;51,0;52,3;48,5;53,1;52,4;52,7;54,2;54,5;62,0;59,9;59,0;66,6;66,8
Miguel Pereira;57,9;54,4;62,3;53,8;62,2;59,1;56,1;57,4;58,6;54,3;60,8;63,6;65,9;65,6;57,7;65,1;58,1;64,5;57,7;67,8
Miracema;54,3;56,0;44,9;52,4;67,9;71,8;78,6;81,5;80,6;81,4;80,0;81,8;72,8;75,0;73,5;67,2;75,1;76,3;79,2;81,4
Natividade;19,4;37,0;65,8;68,5;70,7;68,3;70,4;66,3;58,0;61,9;50,5;50,9;74,3;61,3;68,9;74,1;71,5;76,0;76,5;74,6
Nilópolis;53,4;55,2;55,1;59,9;57,4;63,3;54,5;58,5;55,9;54,4;58,9;55,0;55,2;56,4;57,6;61,3;56,0;60,5;65,6;63,8
Niterói;80,6;78,3;84,9;82,9;80,6;83,8;78,2;79,3;80,2;80,1;82,0;83,5;79,7;79,8;81,3;82,4;82,4;82,6;82,4;81,8
Nova Friburgo;57,6;65,4;71,4;64,0;64,6;63,5;62,0;61,2;66,9;70,1;72,0;63,4;65,8;68,1;65,4;71,3;71,1;76,0;77,7;78,5
Nova Iguaçu;39,9;38,1;39,4;42,3;44,6;43,0;41,5;41,9;42,4;40,8;44,2;47,0;50,0;52,3;54,0;60,4;59,7;63,6;65,1;65,8
Paracambi;50,6;70,9;69,8;63,7;67,8;78,0;69,9;81,6;56,6;58,8;76,9;71,3;55,0;60,8;67,0;70,1;54,9;65,5;65,2;70,3
Paraíba do Sul;53,3;88,7;84,4;56,1;71,1;77,0;67,8;66,9;59,2;58,4;68,5;59,8;53,6;61,7;73,4;73,1;66,4;65,1;69,8;75,3
Paraty;18,3;15,9;21,9;35,4;47,3;47,2;58,6;68,0;74,5;71,4;81,1;82,5;77,3;77,8;81,5;84,8;83,3;85,4;84,2;82,7
Paty do Alferes;50,3;50,5;53,3;56,5;60,8;56,5;48,6;56,5;55,1;43,4;56,4;46,7;56,7;57,3;64,1;66,6;64,4;69,1;65,7;63,2
Petrópolis;62,1;70,6;72,2;73,6;71,5;74,1;73,7;72,0;74,9;77,2;75,5;75,0;73,7;74,9;75,5;76,8;80,1;79,8;77,7;79,6
Pinheiral;74,7;77,1;78,5;75,2;76,0;78,5;75,6;79,1;74,0;80,4;77,6;80,2;82,6;78,2;77,9;82,5;82,9;85,5;86,9;81,8
Piraí;73,3;73,7;82,2;87,5;85,8;92,7;92,2;91,9;92,8;94,0;96,0;92,3;90,1;87,8;85,9;90,1;93,7;90,3;92,1;91,0
Porciúncula;93,8;96,0;95,7;96,2;98,3;95,6;68,0;61,5;61,4;55,2;56,9;65,1;70,9;65,6;78,6;86,9;85,1;86,0;85,3;86,9
Porto Real;78,9;70,6;70,4;83,6;87,1;90,0;83,5;87,7;88,0;91,4;93,7;87,9;86,3;82,2;85,5;85,1;81,4;89,1;90,0;91,9
Quatis;69,7;68,4;72,1;79,1;79,1;84,2;82,6;77,4;72,9;81,8;91,1;83,4;77,7;73,9;78,2;80,3;80,6;89,4;89,0;84,8
Queimados;44,4;33,6;29,4;37,0;40,5;32,6;25,1;22,9;21,9;21,2;21,9;31,6;44,2;43,5;50,4;57,2;61,8;62,8;64,8;68,0
Quissamã;51,7;73,9;63,0;60,4;80,7;80,8;88,6;82,6;79,9;83,3;83,2;91,9;89,4;80,3;84,8;85,6;90,4;84,9;84,8;88,0
Resende;76,0;69,4;68,3;80,5;82,2;82,0;74,8;83,1;76,3;81,6;85,5;82,3;75,4;76,5;77,3;79,6;78,5;79,5;82,7;83,1
Rio Bonito;43,0;43,4;40,6;45,1;40,3;43,9;48,0;54,0;54,8;51,0;55,4;70,0;67,7;66,3;73,8;74,0;76,9;73,0;73,8;76,2
Rio Claro;43,6;53,9;54,1;62,9;67,9;67,9;70,8;71,7;69,2;71,1;85,5;88,6;83,9;82,6;81,0;79,8;77,2;72,9;76,9;86,7
Rio das Flores;52,3;63,8;73,3;61,9;56,1;50,0;60,5;52,8;59,8;48,7;71,8;74,3;73,9;80,2;79,1;82,4;79,8;83,2;81,3;71,3
Rio das Ostras;49,7;53,2;60,8;65,0;62,3;65,7;59,9;64,7;65,2;63,2;70,6;69,4;64,3;63,2;61,6;63,1;61,4;65,3;62,9;58,3
