Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Roraima;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Amajari;**;5,9;8,9;8,3;22,7;12,1;6,9;11,2;8,3;9,6;11,8;10,0;9,4;15,3;19,8;15,6;17,2;17,5;20,8;21,3
Alto Alegre;12,5;18,0;43,5;21,2;29,5;25,3;16,4;21,7;16,5;18,8;14,4;23,5;16,2;16,1;16,0;13,6;16,3;16,0;13,0;15,9
Boa Vista;36,7;45,9;37,3;36,8;41,1;54,9;46,1;45,1;46,5;51,6;49,2;47,2;44,8;45,4;50,7;52,5;56,0;55,6;50,5;51,1
Bonfim;9,9;19,1;21,9;19,0;17,3;20,3;14,4;12,1;9,7;16,1;24,5;20,3;17,6;18,0;18,2;24,5;20,0;23,9;21,0;26,0
Cantá;13,7;21,9;14,2;13,1;10,4;20,3;15,5;19,8;17,5;24,9;23,7;22,5;19,0;19,4;28,5;25,7;25,1;31,8;27,3;23,4
Caracaraí;22,3;18,8;17,5;18,0;22,0;29,2;18,3;15,5;13,8;22,0;21,9;23,5;24,2;27,4;34,1;42,8;38,6;39,6;36,2;40,7
Caroebe;21,5;35,5;22,2;15,0;28,4;39,3;48,8;37,0;29,9;49,2;49,4;46,9;47,1;53,0;51,9;61,9;51,0;56,3;58,0;61,3
Iracema;27,3;27,6;23,9;20,9;24,7;30,3;17,1;31,8;32,7;33,3;25,3;40,0;36,4;31,3;41,0;37,3;38,4;42,9;37,7;40,0
Mucajaí;28,0;47,5;35,7;35,2;30,1;41,3;28,6;29,7;36,4;38,2;37,3;43,0;52,6;46,7;51,2;49,0;55,5;49,2;45,2;46,2
Normandia;12,5;9,3;12,5;10,9;10,0;13,2;12,9;8,3;10,7;14,9;16,2;14,1;12,9;16,3;22,9;21,5;18,9;21,4;25,3;22,3
Pacaraima;8,5;21,4;19,0;16,2;18,8;29,6;18,9;18,4;20,3;24,0;33,2;33,6;26,6;28,8;30,9;32,7;25,5;32,1;26,7;24,1
Rorainópolis;24,3;21,7;26,7;24,5;20,8;30,9;26,0;31,6;27,4;29,7;37,2;41,0;44,8;47,6;51,6;53,9;51,3;46,9;48,9;60,7
São João da Baliza;26,3;35,3;20,3;26,7;23,5;40,8;23,7;37,2;30,4;42,6;47,4;67,5;54,3;50,8;52,1;53,8;45,2;50,8;56,3;49,6
São Luiz;37,5;40,7;29,4;22,1;32,5;34,6;17,4;36,0;35,1;35,2;41,7;52,8;44,0;41,3;58,2;54,9;56,6;51,9;61,6;53,3
Uiramutã;3,8;7,8;3,0;7,1;4,1;6,3;5,1;5,3;4,2;5,4;6,8;6,0;4,4;17,0;19,7;18,3;16,7;20,9;18,1;23,5
Roraima;29,5;37,1;32,4;29,9;33,1;43,6;35,1;35,8;35,4;40,7;40,2;39,8;36,8;37,9;43,0;44,0;45,4;46,3;42,6;43,7
Norte;24,8;26,1;26,1;28,0;28,3;28,7;29,8;31,1;31,0;33,3;36,6;39,6;40,1;41,6;44,7;47,2;48,5;49,9;50,7;53,5
Brasil;43,7;45,5;47,8;49,9;52,0;52,8;54,5;55,8;57,0;57,9;60,6;61,3;61,7;62,4;64,6;66,5;67,7;69,3;70,8;72,4
** - Para evitar a interpretação inadequada de taxas instáveis, foram suprimidos valores baseados em baixa frequência de casos (maior que 0 e menor que 5).;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
PROADESS - Projeto de Avaliação do Desempenho do Sistema de Saúde;;;;;;;;;;;;;;;;;;;;
URL: https://www.proadess.icict.fiocruz.br/;;;;;;;;;;;;;;;;;;;;
