Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Rio Grande do Sul;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Aceguá;**;12,2;11,9;36,6;40,5;49,3;69,5;52,5;70,0;86,9;77,6;89,5;74,1;84,2;72,6;81,8;81,6;73,1;85,9;83,9
Água Santa;11,9;9,6;**;60,9;45,5;50,0;65,9;78,8;95,3;75,0;94,3;94,4;83,3;79,5;81,3;91,7;79,1;84,4;77,8;86,3
Agudo;47,9;47,0;57,8;60,4;62,7;59,1;58,4;55,8;53,3;59,1;67,1;70,3;65,9;51,1;50,0;55,9;63,6;66,0;77,1;80,6
Ajuricaba;88,8;86,5;86,2;83,5;81,6;88,7;80,3;90,7;92,6;81,3;88,6;91,8;95,7;81,5;85,2;89,7;92,3;85,0;93,2;89,8
Alecrim;38,0;55,3;63,9;73,8;71,4;88,3;87,0;91,4;96,7;94,5;96,9;86,7;85,1;78,8;72,9;72,9;82,5;86,4;76,9;83,7
Alegrete;65,0;67,1;66,0;66,5;77,3;79,4;83,9;81,2;78,4;78,6;78,5;78,7;79,3;82,1;84,5;85,1;82,6;81,8;83,9;85,6
Alegria;9,5;26,4;53,6;86,0;100,0;97,8;97,8;94,4;100,0;100,0;95,5;97,6;84,8;97,1;67,6;80,6;86,8;76,3;88,4;90,0
Almirante Tamandaré do Su;**;**;68,4;76,5;64,3;81,8;54,5;53,3;77,4;70,0;68,8;81,8;71,4;79,2;90,9;62,5;77,3;68,0;87,5;82,4
Alpestre;11,5;25,5;24,1;55,3;81,5;61,0;76,9;82,1;85,7;93,9;93,8;98,5;81,4;72,1;72,2;85,9;90,3;88,6;78,1;84,0
Alto Alegre;76,5;83,3;93,3;94,4;100,0;94,1;100,0;100,0;82,4;81,3;83,3;84,6;71,4;90,5;100,0;77,8;80,0;92,3;93,3;68,8
Alto Feliz;56,5;72,7;75,0;88,0;61,1;85,0;72,7;100,0;100,0;100,0;87,0;88,9;78,9;90,5;88,5;87,5;81,3;84,6;85,7;81,3
Alvorada;35,4;40,4;42,5;46,9;48,6;50,0;53,4;59,8;60,2;60,8;62,0;63,1;63,2;66,3;64,3;64,5;67,7;70,9;71,8;73,8
Amaral Ferrador;41,4;39,5;43,9;45,9;45,5;67,9;70,5;63,6;70,8;81,2;78,6;78,8;69,2;83,3;78,7;66,7;74,5;60,4;75,9;70,5
Ametista do Sul;31,1;42,2;52,4;57,6;61,7;62,2;62,7;70,7;83,3;71,8;64,3;71,8;60,3;76,9;71,2;72,3;81,2;88,3;89,0;85,7
André da Rocha;88,9;80,0;88,9;87,5;100,0;76,5;87,5;77,8;58,3;93,3;80,0;66,7;80,0;46,2;72,7;78,6;90,9;**;66,7;**
Anta Gorda;31,5;33,3;48,4;41,4;57,6;65,0;81,1;75,0;83,0;81,6;68,3;72,5;81,5;96,2;78,0;93,3;89,8;94,6;89,3;86,9
Antônio Prado;78,9;88,2;87,1;97,0;95,1;91,4;96,7;97,4;88,7;95,3;96,7;83,7;73,2;82,9;85,4;81,2;89,1;85,6;82,0;76,4
Arambaré;37,3;56,6;50,0;50,0;63,8;60,0;65,0;62,2;63,6;71,8;84,0;50,0;77,5;72,1;84,6;84,4;88,1;92,7;92,9;95,7
Araricá;84,8;66,7;61,3;46,3;53,8;39,7;54,5;43,8;50,0;63,9;50,7;63,8;65,4;70,7;61,1;73,1;54,7;67,0;70,0;74,2
Aratiba;68,1;52,2;78,6;70,6;78,5;68,3;76,6;89,6;88,6;100,0;85,7;93,0;88,0;84,2;88,9;88,3;71,7;78,4;68,0;73,1
Arroio do Meio;67,0;69,9;69,1;84,7;88,8;88,0;92,4;77,8;82,4;81,3;77,7;78,7;88,5;82,5;81,3;81,6;85,2;84,6;89,6;84,5
Arroio do Sal;72,3;64,8;60,5;66,3;61,0;81,1;85,7;88,6;91,9;89,7;87,5;51,7;54,1;52,1;59,2;52,8;55,8;63,6;69,5;81,0
Arroio do Padre;**;81,5;71,4;83,3;81,5;93,3;80,0;78,4;84,4;71,4;77,8;55,0;57,1;52,6;62,5;53,6;73,7;81,0;60,0;85,0
Arroio dos Ratos;36,9;48,5;61,4;45,0;50,9;62,9;51,7;64,9;60,7;55,9;68,1;77,3;81,0;81,9;75,7;73,2;80,0;81,7;74,4;72,7
Arroio do Tigre;35,1;50,8;43,1;39,3;44,8;50,7;51,2;64,7;57,8;68,1;85,1;75,0;79,4;75,0;74,1;81,7;85,5;85,2;89,0;88,9
Arroio Grande;50,5;50,5;48,1;64,5;79,5;76,9;79,3;79,3;79,6;74,1;72,9;70,7;78,6;69,7;74,1;69,0;71,2;60,5;70,0;66,5
Arvorezinha;20,4;17,9;23,4;22,8;25,2;46,6;62,1;66,7;62,9;69,1;71,1;80,0;82,4;72,2;71,8;80,4;84,6;86,8;85,8;72,4
