Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Santa Catarina;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Abdon Batista;23,1;35,7;27,5;19,4;30,8;40,6;69,0;54,1;72,2;74,2;48,6;37,5;63,6;45,8;51,5;40,7;40,7;53,7;65,7;84,0
Abelardo Luz;42,9;43,0;37,8;41,8;48,8;52,4;42,7;49,0;49,8;70,7;73,5;63,1;75,1;72,5;72,6;70,0;73,9;75,5;75,6;71,6
Agrolândia;51,6;41,3;53,3;54,3;58,5;61,8;80,3;59,5;56,4;59,0;55,9;38,8;55,6;50,7;51,2;53,6;67,4;67,3;80,0;72,6
Agronômica;35,1;25,0;38,3;54,9;63,8;72,0;62,7;68,8;83,9;74,1;83,1;66,7;65,2;73,2;66,7;73,6;72,9;73,5;90,8;92,9
Água Doce;41,7;50,0;52,6;50,5;48,3;58,1;56,7;29,3;54,3;50,5;61,8;70,8;78,0;67,1;71,9;70,9;67,6;75,5;72,4;78,6
Águas de Chapecó;35,6;41,0;72,0;79,8;85,7;92,3;83,1;83,8;84,7;92,6;85,4;78,0;89,9;88,7;81,3;76,6;72,1;83,3;84,2;78,3
Águas Frias;34,1;35,1;52,2;79,4;84,6;80,5;87,5;80,0;90,6;80,0;92,0;75,0;69,0;87,5;82,1;97,4;82,6;82,1;85,0;87,9
Águas Mornas;33,8;45,9;42,9;61,8;56,9;46,9;48,2;52,1;48,4;67,5;68,6;69,8;67,2;63,3;56,7;76,9;80,5;84,6;80,8;87,8
Alfredo Wagner;8,5;12,8;28,6;53,3;57,3;56,6;63,2;53,2;62,0;64,9;53,2;70,9;56,2;54,4;60,9;60,7;64,5;76,1;72,0;71,7
Alto Bela Vista;68,0;84,6;70,6;70,0;76,5;88,2;82,6;82,6;100,0;68,8;88,2;88,2;83,3;75,0;81,3;84,6;57,1;**;94,4;100,0
Anchieta;18,2;21,1;41,3;77,2;70,9;64,0;58,9;62,7;67,5;75,0;82,1;79,7;71,2;89,7;78,8;76,2;79,7;80,3;87,5;87,9
