Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Sergipe;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Amparo de São Francisco;55,3;50,0;46,9;36,2;29,6;63,2;70,6;63,6;47,4;37,8;53,8;66,7;52,6;61,1;75,0;62,1;61,5;43,6;65,5;39,5
Aquidabã;34,9;29,4;24,9;27,9;27,9;34,6;31,7;39,9;37,0;35,2;33,6;37,9;40,1;36,9;53,8;54,4;62,1;60,5;69,2;61,6
Aracaju;75,4;84,6;82,7;74,8;80,1;74,6;61,2;60,6;55,7;58,7;57,0;54,1;57,1;56,2;54,6;58,7;56,7;54,4;59,5;63,9
Arauá;30,5;27,5;36,7;46,9;50,6;49,0;40,1;22,9;27,2;18,1;31,1;31,6;42,2;38,2;40,6;53,8;54,3;43,5;53,6;49,6
Areia Branca;31,1;38,9;40,1;36,5;38,4;27,0;52,6;75,7;76,5;82,0;74,0;36,2;40,4;50,4;46,1;48,3;57,4;45,5;54,5;58,5
Barra dos Coqueiros;70,9;80,7;79,9;74,5;79,1;66,2;48,8;53,3;43,7;46,4;49,0;45,2;51,2;59,4;57,0;60,8;61,0;63,9;62,6;69,6
Boquim;48,6;56,0;50,2;58,4;62,9;61,0;51,6;27,8;24,0;25,0;27,9;43,4;50,0;50,5;53,3;55,2;58,0;53,7;55,9;58,3
Brejo Grande;25,2;24,4;26,0;27,3;30,7;24,2;11,0;23,3;20,9;20,3;26,0;39,9;38,7;29,5;26,9;32,8;38,1;34,8;49,2;46,7
Campo do Brito;17,3;22,2;26,3;30,7;29,7;30,2;64,6;89,4;79,2;84,3;76,6;60,7;58,0;62,5;64,3;61,3;61,8;64,4;60,5;61,8
Canhoba;20,9;22,5;15,7;31,1;19,0;15,1;28,7;17,7;34,4;30,7;27,0;37,7;33,8;47,1;45,6;55,6;47,9;64,6;58,4;66,7
Canindé de São Francisco;11,0;15,1;19,0;24,9;21,5;16,6;21,5;23,1;30,0;27,0;45,9;61,5;61,9;58,4;64,8;69,3;60,5;67,6;69,4;72,6
Capela;21,5;33,4;33,1;38,3;27,7;19,3;18,8;25,4;28,9;25,7;32,3;43,6;39,9;30,6;45,6;51,3;59,8;54,7;55,2;58,6
Carira;21,1;21,5;23,6;31,2;28,3;18,0;49,6;64,6;65,1;75,9;75,2;31,3;41,9;40,1;44,1;58,7;47,4;63,8;62,2;56,2
Carmópolis;23,5;21,7;27,1;30,2;32,6;34,2;42,4;40,4;41,4;44,6;49,2;45,0;53,7;59,1;53,5;53,5;61,1;55,5;63,6;62,4
Cedro de São João;36,9;57,0;54,6;39,5;26,3;45,6;51,5;51,4;49,5;56,7;53,4;61,5;68,9;77,5;73,4;75,6;85,3;75,6;89,7;72,5
Cristinápolis;31,9;23,7;31,8;35,9;40,5;41,3;27,3;15,2;15,6;12,4;20,4;32,4;49,4;53,6;52,4;51,0;58,1;52,5;57,4;70,3
Cumbe;20,0;27,9;27,8;36,5;33,3;20,3;40,0;50,9;57,4;61,5;43,1;79,5;85,7;76,8;74,6;73,7;90,2;75,4;82,9;91,7
Divina Pastora;60,5;68,4;68,3;72,5;68,6;61,6;52,7;57,9;39,0;47,9;44,1;65,4;65,4;50,0;67,9;63,0;59,7;61,1;75,8;70,5
Estância;40,2;35,4;48,9;44,7;56,1;57,2;46,3;37,3;38,7;34,8;38,3;47,9;50,3;48,9;47,1;56,6;55,7;60,0;57,0;60,0
Feira Nova;21,7;7,4;14,2;18,5;30,6;19,7;17,5;24,7;17,2;21,2;31,8;37,9;35,9;28,2;37,5;43,6;51,2;62,8;75,7;64,5
Frei Paulo;21,3;17,4;23,7;37,4;31,8;25,4;60,7;79,2;76,6;76,3;79,1;36,0;40,9;40,7;57,9;65,4;62,5;59,2;50,5;57,0
Gararu;19,5;20,2;18,8;17,4;14,9;18,8;16,1;21,2;19,5;19,5;35,9;29,4;36,3;34,5;23,4;26,4;39,6;32,9;42,6;55,4
General Maynard;49,0;35,1;47,8;38,5;50,0;31,8;50,0;45,5;43,6;57,1;61,5;56,8;50,0;45,0;42,4;80,6;65,9;60,0;80,0;72,5
Gracho Cardoso;10,0;18,1;5,8;14,4;16,8;11,0;28,4;14,4;18,9;14,1;28,6;34,8;34,4;42,2;41,2;42,2;47,7;57,5;67,1;63,5
Ilha das Flores;11,3;15,9;24,4;30,2;46,3;25,3;19,6;20,8;19,7;23,0;41,9;59,6;43,7;41,8;52,4;60,9;53,4;56,4;67,3;67,4
Indiaroba;33,4;18,5;33,7;32,7;38,6;38,4;37,5;29,1;22,1;15,0;11,8;19,4;22,9;19,3;29,8;34,3;29,8;35,8;41,1;44,8
Itabaiana;21,4;26,5;27,6;37,4;34,4;27,6;68,6;85,1;82,6;81,3;81,1;52,2;52,8;53,3;53,8;57,7;64,2;61,7;67,1;67,3
Itabaianinha;22,9;15,0;17,6;30,4;27,7;34,6;29,5;20,3;24,8;26,7;26,7;31,2;38,2;46,0;49,3;59,4;67,1;68,5;70,3;69,4
Itabi;31,3;33,7;17,2;26,4;19,8;10,8;16,7;19,5;19,6;15,8;34,8;39,3;50,0;40,6;32,7;45,2;42,4;50,8;64,9;37,0
Itaporanga d'Ajuda;32,9;32,7;33,9;25,3;37,8;26,5;32,4;36,8;27,4;22,8;19,2;31,2;37,0;38,4;38,3;45,7;45,2;45,6;52,6;56,1
Japaratuba;34,4;40,7;33,5;36,8;39,8;40,0;44,5;54,1;51,3;50,7;52,9;52,0;57,9;59,5;61,9;61,6;52,5;55,0;65,9;65,6
Japoatã;27,4;30,2;25,4;27,9;17,3;23,3;33,3;36,8;37,0;34,4;25,1;33,6;37,8;49,1;58,3;59,0;54,0;58,1;55,8;72,5
Lagarto;18,5;12,9;19,3;31,0;16,8;15,1;20,6;26,3;32,4;33,5;31,6;45,1;59,0;55,1;59,1;61,6;64,4;64,5;71,4;75,2
Laranjeiras;59,3;67,4;68,9;68,4;71,2;63,0;44,6;50,4;46,2;41,5;40,5;42,2;44,3;46,4;56,1;51,8;50,2;51,4;51,0;57,3
Macambira;25,0;33,6;37,0;36,2;33,6;31,0;60,6;85,7;80,0;81,8;78,7;52,3;68,1;66,0;62,2;71,2;77,1;63,9;60,6;60,6
Malhada dos Bois;31,6;30,3;44,4;23,6;28,1;37,5;28,4;41,3;38,8;36,8;41,2;54,4;55,6;46,5;52,1;72,9;78,6;68,4;79,0;69,8
Malhador;38,1;25,7;31,0;38,7;44,0;30,7;66,2;83,4;78,2;83,8;73,2;58,6;64,9;57,2;65,6;55,8;57,5;56,3;61,2;63,2
Maruim;62,8;74,9;69,2;70,0;74,8;62,6;45,6;45,7;43,8;39,4;41,9;41,1;36,8;40,6;43,0;45,4;39,6;43,7;47,6;51,7
Moita Bonita;21,6;27,3;28,1;33,0;31,6;35,7;71,3;89,2;77,2;79,5;82,0;40,0;40,1;52,1;45,7;56,8;65,5;69,5;69,4;63,4
Monte Alegre de Sergipe;7,5;8,1;10,5;12,2;13,9;11,3;21,7;21,3;18,9;21,8;37,2;40,0;58,1;59,3;61,9;70,0;63,4;64,0;68,3;79,7
Muribeca;22,7;31,1;37,3;36,8;32,8;26,8;35,3;63,6;48,2;49,2;61,3;55,2;54,8;54,7;56,5;61,3;47,2;59,0;69,8;58,0
Neópolis;32,2;26,2;26,3;27,0;20,1;24,5;22,3;24,1;21,8;25,1;28,7;24,4;30,2;35,9;47,0;56,5;58,3;54,8;58,0;67,2
Nossa Senhora Aparecida;21,8;24,0;25,8;35,5;36,2;26,7;65,0;70,2;72,9;77,9;82,9;41,7;51,9;50,0;53,2;72,2;72,1;85,6;72,4;75,2
Nossa Senhora da Glória;11,6;15,3;15,1;17,4;14,2;11,4;25,0;20,6;19,2;17,3;37,7;43,5;58,3;56,6;56,1;55,6;64,2;63,0;64,0;62,2
Nossa Senhora das Dores;19,4;24,4;26,8;27,7;28,2;22,1;37,1;38,9;38,8;38,8;44,0;39,8;43,3;43,5;53,2;61,4;66,8;62,8;71,4;70,5
Nossa Senhora de Lourdes;31,7;43,6;46,4;16,5;24,5;32,2;32,5;28,9;33,9;48,3;57,3;58,9;62,5;59,6;53,3;69,1;56,7;75,8;77,8;64,4
Nossa Senhora do Socorro;69,2;77,6;70,1;68,4;70,4;65,7;55,5;51,4;42,1;41,5;42,0;38,0;40,4;42,2;42,6;45,1;47,8;43,7;46,5;54,1
Pacatuba;17,2;31,9;43,4;31,6;17,0;19,8;23,7;27,1;22,0;23,6;30,3;36,8;34,5;44,6;49,3;54,7;52,9;57,9;72,3;72,2
Pedra Mole;45,7;38,3;59,0;48,3;50,0;40,5;62,2;84,2;77,1;78,6;83,7;59,3;53,7;58,7;75,0;60,8;71,8;59,1;81,4;65,5
Pedrinhas;44,1;36,6;33,1;39,5;61,3;52,5;44,8;28,2;34,8;37,7;45,4;58,5;63,1;46,1;58,5;55,2;54,7;66,9;62,0;61,0
Pinhão;10,9;7,4;13,6;19,8;31,0;25,2;65,7;79,6;63,5;78,9;72,8;45,1;50,0;31,9;51,4;53,9;68,1;50,0;52,9;78,5
Pirambu;48,6;39,2;50,0;43,6;44,7;42,2;50,0;49,1;45,1;44,1;47,4;53,2;54,0;57,9;61,1;62,7;60,3;59,0;65,1;65,6
Poço Redondo;23,0;18,0;25,3;18,6;25,0;23,6;29,3;25,5;29,3;25,3;37,5;43,9;58,9;66,2;65,2;69,9;71,0;63,2;70,3;70,2
Poço Verde;8,7;14,2;21,8;15,8;20,2;26,3;34,7;28,5;36,3;36,3;32,5;51,2;58,2;57,4;59,4;56,8;57,4;60,2;70,1;63,8
Porto da Folha;14,2;15,0;14,3;14,5;13,5;16,1;19,0;17,2;21,5;16,7;30,8;34,2;38,0;41,0;57,5;62,0;69,1;68,7;65,7;70,4
Propriá;26,7;34,1;45,6;22,3;31,4;34,6;37,7;46,7;44,3;52,8;47,0;52,9;55,8;60,9;59,4;59,8;53,9;59,9;64,9;68,0
Riachão do Dantas;13,3;10,5;13,0;26,6;17,1;15,2;26,8;32,1;36,8;34,5;26,7;27,4;40,3;46,5;45,3;42,1;51,2;56,9;68,5;59,8
Riachuelo;27,4;56,4;67,7;51,2;59,8;57,0;45,2;41,8;36,5;38,2;36,6;40,3;52,4;41,1;48,7;55,1;63,1;63,0;61,7;51,2
Ribeirópolis;20,7;27,5;26,1;37,8;29,5;32,3;66,8;84,0;76,8;85,7;80,3;67,4;68,6;66,2;70,8;76,9;79,5;75,9;78,6;81,7
Rosário do Catete;49,7;44,8;51,1;52,5;66,0;60,5;48,5;47,4;44,3;47,4;45,9;41,8;52,0;45,0;46,9;63,9;64,6;59,0;66,7;69,4
Salgado;49,9;28,1;34,2;47,5;50,2;30,2;27,1;28,2;29,4;33,8;36,2;41,3;38,3;38,9;45,5;49,3;50,0;51,4;48,6;48,8
Santa Luzia do Itanhy;28,2;20,6;26,5;28,5;34,4;31,7;27,8;11,1;17,4;23,4;25,4;45,4;41,6;31,2;42,9;44,4;40,7;48,9;54,4;53,8
Santana do São Francisco;22,3;14,7;23,6;29,3;35,1;19,1;28,6;30,5;25,0;22,6;24,3;46,6;34,3;28,0;50,9;51,2;37,7;47,9;61,8;56,6
Santa Rosa de Lima;42,3;65,8;60,7;70,6;55,1;53,5;44,3;38,9;38,0;46,0;54,8;47,1;51,6;48,5;52,3;42,6;45,8;45,8;46,3;50,0
Santo Amaro das Brotas;73,7;82,8;82,1;65,5;69,3;56,1;56,9;49,0;44,3;36,0;42,9;43,5;46,5;45,3;40,3;41,2;40,6;41,1;56,4;51,2
São Cristóvão;68,3;75,9;74,9;67,3;71,8;63,3;49,7;50,1;44,0;45,9;45,4;39,1;38,8;41,6;46,8;45,9;45,9;39,6;43,0;51,7
São Domingos;19,9;22,1;27,7;44,0;36,1;23,5;59,8;83,5;81,4;84,4;76,4;59,1;67,9;58,0;63,1;60,0;67,2;66,2;64,3;59,7
São Francisco;30,7;38,6;31,8;39,5;29,7;40,0;50,0;78,0;56,0;43,6;69,6;69,6;69,4;72,7;69,8;77,4;59,1;75,0;67,7;75,6
São Miguel do Aleixo;20,0;31,1;24,4;32,9;27,9;25,0;50,0;75,6;75,9;72,5;68,3;43,3;38,5;46,2;53,7;53,8;60,5;62,7;67,3;65,9
Simão Dias;48,4;28,9;35,1;44,8;47,2;39,5;35,9;34,5;31,6;36,2;31,2;36,7;46,3;47,0;48,7;48,8;61,4;64,8;67,5;61,8
Siriri;36,4;43,9;31,5;36,8;33,9;38,8;46,1;35,4;31,3;31,1;29,4;23,3;38,9;33,3;44,8;68,8;59,6;66,7;64,6;62,9
Telha;31,3;44,4;35,9;**;32,1;42,6;52,8;52,5;37,3;36,8;37,1;28,3;50,9;65,4;58,8;67,4;42,9;63,0;69,6;87,5
Tobias Barreto;9,7;9,2;10,0;16,4;16,3;17,0;22,2;24,6;16,8;24,3;30,3;40,3;44,5;44,5;49,7;61,5;60,5;57,3;68,4;69,9
Tomar do Geru;29,2;26,7;30,8;35,9;42,7;45,2;37,5;28,1;23,4;19,4;36,3;53,9;64,4;63,9;68,5;72,9;65,7;71,9;71,2;75,1
Umbaúba;28,3;27,0;33,1;33,4;40,6;41,4;36,9;37,3;29,3;29,1;26,0;36,1;45,9;47,1;53,5;58,2;57,7;59,8;68,6;64,6
Sergipe;45,5;47,8;48,8;48,6;50,4;46,5;45,7;47,2;44,3;45,6;46,8;45,8;50,0;50,1;52,2;56,0;56,6;55,8;60,0;63,1
Nordeste;31,3;32,6;33,7;35,2;35,7;35,2;38,5;39,9;41,4;42,3;45,1;47,0;49,7;50,6;54,7;57,6;59,6;61,4;64,8;67,5
Brasil;43,7;45,5;47,8;49,9;52,0;52,8;54,5;55,8;57,0;57,9;60,6;61,3;61,7;62,4;64,6;66,5;67,7;69,3;70,8;72,4
** - Para evitar a interpretação inadequada de taxas instáveis, foram suprimidos valores baseados em baixa frequência de casos (maior que 0 e menor que 5).;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
PROADESS - Projeto de Avaliação do Desempenho do Sistema de Saúde;;;;;;;;;;;;;;;;;;;;
URL: https://www.proadess.icict.fiocruz.br/;;;;;;;;;;;;;;;;;;;;
