Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: São Paulo;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Adamantina;56,6;75,1;67,8;65,9;76,5;83,2;84,0;83,0;89,6;90,6;96,4;95,1;96,4;94,6;92,9;91,6;92,2;94,8;94,8;93,1
Adolfo;12,1;32,6;89,7;76,2;85,3;81,0;72,7;81,8;70,6;74,3;78,8;91,7;76,6;83,7;75,0;86,5;88,9;81,6;84,8;92,7
Aguaí;49,4;47,0;49,9;46,9;48,5;44,3;46,7;50,1;59,2;60,0;67,3;64,3;73,7;72,5;74,6;73,6;84,4;86,7;84,0;78,1
Águas da Prata;53,8;52,2;63,0;66,3;71,9;80,3;83,8;64,7;75,3;73,6;69,7;72,9;73,1;68,1;74,4;76,5;78,8;77,2;75,3;90,4
Águas de Lindóia;79,2;71,8;67,7;89,6;82,2;81,4;85,5;83,3;80,9;76,0;80,0;87,8;84,3;85,2;78,4;79,7;73,7;72,8;75,8;75,6
Águas de Santa Bárbara;55,7;60,8;75,5;75,0;76,3;77,8;79,4;62,7;72,6;73,7;78,5;77,9;70,6;69,2;73,7;74,4;72,1;77,5;64,6;82,4
Águas de São Pedro;85,7;70,8;68,4;63,3;70,8;81,0;87,1;87,5;94,7;82,1;77,8;76,2;72,2;63,6;88,5;88,5;86,2;81,1;96,2;94,7
Agudos;47,4;82,3;68,6;85,8;93,4;94,1;97,8;95,6;93,9;90,9;93,1;94,1;75,7;75,7;72,2;77,7;78,7;81,1;74,0;77,7
Alambari;25,0;53,2;60,3;57,8;82,0;75,0;63,9;70,2;69,4;76,9;70,3;78,9;75,9;67,6;74,1;82,5;86,3;81,4;82,6;75,0
Alfredo Marcondes;55,6;67,4;56,3;75,5;62,5;91,1;93,0;86,7;83,9;81,8;83,8;84,4;78,7;76,1;82,9;80,4;69,0;85,4;86,7;77,3
Altair;85,2;81,0;80,9;91,7;80,0;73,3;59,6;71,7;75,4;89,4;88,9;92,7;82,6;68,2;71,7;92,7;90,6;91,8;97,5;93,3
Altinópolis;49,0;80,1;79,2;62,4;58,3;81,1;81,4;80,7;88,2;87,8;87,4;93,1;89,0;84,0;87,3;85,9;90,6;87,4;88,2;91,4
Alto Alegre;65,9;59,2;84,2;89,8;89,8;83,3;93,3;74,4;88,6;77,8;78,4;79,5;75,0;68,1;79,2;86,7;89,5;87,8;78,8;94,1
Alumínio;86,7;92,6;87,6;90,1;93,5;90,4;90,2;86,5;87,4;88,0;89,2;85,8;75,4;73,3;72,5;77,7;78,2;76,8;84,8;81,9
Álvares Florence;80,6;44,1;97,1;88,0;87,9;82,4;86,4;100,0;94,7;80,0;92,0;94,9;90,2;84,8;86,8;79,3;89,2;80,0;85,7;90,6
Álvares Machado;61,7;66,3;79,8;76,3;90,2;90,9;88,5;74,4;80,4;83,2;94,4;92,4;84,5;64,8;76,6;79,1;72,6;76,7;83,5;78,2
Álvaro de Carvalho;52,3;66,2;61,5;74,0;73,1;52,6;59,7;64,2;75,8;80,0;67,4;70,0;72,0;71,4;79,1;80,7;73,9;72,5;71,4;75,0
Alvinlândia;50,9;73,1;78,6;81,3;91,7;81,0;85,0;91,7;82,2;90,2;95,7;83,3;94,6;72,3;80,4;77,8;66,7;83,3;77,4;90,9
Americana;81,1;78,2;78,4;84,8;88,6;87,4;90,4;85,4;86,0;87,9;91,2;86,6;83,9;83,9;81,9;79,5;80,4;80,7;84,0;83,8
Américo Brasiliense;81,5;68,4;55,7;67,1;60,6;70,7;65,9;66,5;68,4;63,0;77,9;73,8;78,4;78,0;81,2;85,1;74,5;85,6;85,2;87,1
Américo de Campos;82,1;91,5;93,5;96,6;92,2;69,6;69,6;76,0;81,0;86,4;83,9;89,8;87,0;86,3;79,7;87,9;89,7;80,9;96,8;94,8
Amparo;65,3;65,1;80,8;86,8;80,7;88,2;82,2;85,7;93,0;90,7;91,0;90,4;84,0;85,1;85,4;86,1;85,9;86,4;87,6;88,6
