Percentual de nascidos vivos de residentes do sexo feminino que fizeram mais de 6 consultas de pré-natal - Municípios da UF: Tocantins;;;;;;;;;;;;;;;;;;;;
Abrangências geográficas;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Abreulândia;15,4;35,9;30,4;57,6;44,1;33,3;22,2;26,8;14,3;26,5;15,0;45,5;59,3;37,8;31,7;33,3;44,4;63,0;54,5;65,6
Aguiarnópolis;**;**;12,0;**;20,9;**;17,6;26,5;38,4;40,0;37,0;47,6;63,1;63,1;62,5;58,4;56,5;63,2;63,6;75,0
Aliança do Tocantins;32,8;44,4;31,3;35,0;42,7;34,0;35,2;46,1;47,5;58,5;67,6;60,2;46,0;46,9;57,7;66,2;52,9;51,6;59,7;67,6
Almas;12,3;10,5;18,5;33,5;32,1;27,1;23,4;19,9;9,6;29,8;45,5;41,3;37,8;61,2;69,5;70,4;59,3;69,5;65,7;67,5
Alvorada;24,0;34,5;41,3;33,8;41,7;46,4;48,6;48,0;54,3;54,8;64,9;58,5;61,4;70,3;78,4;81,1;75,5;72,1;74,2;69,2
Ananás;12,3;17,5;29,2;38,0;34,5;37,5;35,0;48,1;78,8;84,5;73,4;64,2;56,1;58,4;60,7;58,3;70,5;67,1;70,7;78,2
Angico;14,0;14,5;36,8;39,6;51,9;49,0;18,6;36,2;56,6;68,2;45,2;40,4;55,3;55,6;75,0;51,1;54,2;62,8;79,5;69,4
Aparecida do Rio Negro;29,4;32,1;43,7;40,7;28,6;36,9;36,8;29,9;35,3;37,8;46,2;52,3;59,3;47,0;53,5;65,4;69,6;65,8;67,1;74,7
Aragominas;27,6;22,6;15,2;33,6;32,4;39,4;32,0;23,8;28,7;44,6;37,8;34,2;39,3;36,2;50,0;54,4;55,2;66,2;57,3;62,5
Araguacema;13,8;12,9;18,2;24,8;33,6;24,7;43,0;36,6;33,7;33,9;46,2;37,8;42,7;38,6;52,9;48,8;56,8;68,1;78,0;81,6
Araguaçu;33,9;37,7;37,1;46,2;50,0;52,0;58,7;62,8;55,6;46,5;60,4;55,6;73,0;67,3;57,7;53,5;55,9;71,1;75,6;84,2
Araguaína;28,5;36,2;36,2;40,9;46,0;50,3;50,9;48,9;50,0;57,4;59,4;59,6;57,6;57,8;59,2;60,7;69,4;64,0;67,4;72,8
Araguanã;7,8;15,7;13,5;21,3;27,9;22,0;23,5;21,3;25,5;39,8;47,4;43,9;46,7;38,7;49,4;41,3;55,2;50,5;56,7;62,6
Araguatins;11,6;17,3;18,2;27,2;29,4;28,2;24,7;30,5;37,6;36,2;32,1;25,5;52,5;54,2;59,5;59,6;60,2;66,8;66,5;70,6
Arapoema;11,7;34,2;42,0;34,1;55,2;53,8;53,9;33,1;23,3;38,6;59,8;48,5;48,0;58,1;61,7;60,0;71,1;66,7;92,1;79,8
Arraias;22,2;15,5;25,7;23,8;23,2;31,8;37,6;43,2;30,3;29,9;28,4;41,7;40,2;44,9;40,5;51,1;59,0;58,0;62,1;68,9
Augustinópolis;25,3;32,4;34,5;33,3;33,0;39,4;44,9;40,5;41,7;42,3;39,9;13,8;45,9;45,8;54,4;54,7;48,4;59,9;57,0;65,6
Aurora do Tocantins;23,5;46,4;44,2;51,0;36,5;38,5;57,4;60,8;59,6;44,7;41,9;38,8;39,5;32,4;53,1;61,3;70,7;83,3;80,0;69,4
Axixá do Tocantins;11,0;13,5;15,2;24,9;27,8;40,6;46,3;37,6;30,8;34,4;30,8;19,3;33,8;28,2;37,4;49,5;42,7;53,5;55,2;55,1
Babaçulândia;12,8;10,5;21,9;29,6;36,6;44,7;44,1;40,1;36,0;39,9;39,1;35,3;36,6;38,2;55,5;36,0;52,8;59,8;61,2;67,0
Bandeirantes do Tocantins;17,5;30,4;22,9;16,3;32,6;25,9;21,1;15,6;23,9;40,4;40,5;38,1;63,0;55,7;60,9;57,8;73,5;72,9;78,4;68,0
Barra do Ouro;**;**;**;12,7;29,7;26,1;35,4;37,7;28,0;38,5;44,3;54,4;42,4;40,8;42,4;43,2;64,5;60,0;49,4;60,0
Barrolândia;23,8;23,3;18,5;28,0;29,7;24,1;19,1;25,3;23,0;39,5;46,3;56,9;59,5;51,4;54,2;77,3;55,6;62,7;45,5;43,1
Bernardo Sayão;15,7;14,3;18,4;26,9;30,9;26,8;25,9;20,3;25,0;58,9;50,0;68,3;60,0;62,3;73,3;69,8;80,6;86,7;76,0;85,5
Bom Jesus do Tocantins;**;**;**;10,2;20,0;**;7,9;16,7;19,5;32,8;26,7;36,4;41,0;34,6;63,6;68,5;61,0;72,5;51,3;69,9
Brasilândia do Tocantins;27,9;48,6;27,0;30,3;65,0;50,0;43,8;58,1;57,9;63,0;42,4;68,0;60,5;66,7;60,6;51,7;69,2;68,2;53,8;58,3
Brejinho de Nazaré;37,9;24,8;28,8;50,6;45,5;43,8;60,2;54,5;66,7;60,5;56,5;77,1;64,4;66,0;57,3;78,9;71,6;63,3;73,8;88,1
Buriti do Tocantins;16,0;16,2;16,9;18,8;26,9;41,1;42,1;46,8;52,9;48,3;40,2;18,9;37,3;39,5;64,0;58,8;58,3;65,8;66,7;69,0
Cachoeirinha;**;20,9;16,7;35,5;25,8;38,9;45,5;25,0;55,2;58,3;41,3;34,5;48,1;48,3;51,1;65,4;56,0;55,2;77,5;72,4
Campos Lindos;**;0,0;**;7,8;18,5;11,5;10,4;18,9;19,4;19,7;37,7;21,4;37,4;28,2;22,9;37,4;38,0;40,4;61,9;63,1
Cariri do Tocantins;35,3;43,2;51,2;44,2;28,8;46,3;50,0;34,7;46,8;53,1;70,0;68,2;71,2;66,0;78,8;83,7;86,0;88,5;84,6;91,7
Carmolândia;28,9;41,2;45,2;43,8;44,6;41,5;55,6;30,4;41,5;50,0;58,1;50,0;62,5;31,9;49,0;46,7;78,1;73,3;70,3;61,1
Carrasco Bonito;13,6;24,7;20,3;23,6;20,0;30,7;41,0;54,4;56,4;34,8;22,0;27,0;38,2;43,2;67,7;66,0;53,8;61,8;70,0;56,9
Caseara;13,7;16,2;12,2;29,9;24,7;20,8;24,1;26,9;25,0;27,1;28,0;73,7;72,0;65,8;66,2;54,9;60,8;53,6;59,3;59,3
Centenário;**;11,5;**;19,6;19,0;11,6;26,7;26,8;15,2;46,5;40,6;62,5;52,2;60,0;26,7;41,7;50,0;72,0;52,0;73,1
Chapada de Areia;**;**;**;42,9;47,1;**;39,1;47,4;41,2;**;52,0;44,0;52,4;58,8;66,7;71,4;76,9;70,0;84,2;66,7
